direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15398906,ja,2026/7/2,2026年6月宿泊,3,3,3,大雨の温泉,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,340,yes,room_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture,,温泉,객실 내탕/내풍呂 맥락 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
2,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15396854,ja,2026/6/30,2026年6月宿泊,2,3,1,とにかく　残念,和室 【夕食17：30お約束】はじめての方におすすめ！温泉湯豆腐＆佐賀牛+若楠豚のしゃぶしゃぶプラン,474,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture,temperature,温泉;露天;露天風呂,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: temperature,mixed,body_negative_with_context,high,issue_caution_calibration_needed
3,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15395813,ja,2026/6/30,2026年6月宿泊,5,5,4,美味しくて、きれい,ツイン 【贅を極める】貴方はどっち？しゃぶしゃぶor焼肉から選べる極上佐賀牛＆若楠豚堪能プラン,61,yes,facility_wide,water_texture,,温泉;すべすべ,우레시노 물성/미인탕/원천 신호 언급,positive,body_positive,high,issue_caution_calibration_needed
4,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15395666,ja,2026/6/30,2026年5月宿泊,3,3,3,広い敷地がすごかった。,ツイン 【選べるペアリング付】レストラン個室食/うれしの茶or日本酒をチョイス～ワンランク上の贅沢懐石プラン,99,yes,unclear,booking_confusion,,古い;広い,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
5,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15394543,ja,2026/6/29,2026年6月宿泊,3,2,3,夕食は大満足,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,52,yes,public_bath,public_bath_hot_spring;booking_confusion,operation_recheck,,대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
6,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15392463,ja,2026/6/28,2026年6月宿泊,5,5,5,お部屋がよかった！,和洋室 【じゃらんスペシャルウィーク】夕食17：30限定ワンランク上の贅沢/北野茶園×瀬頭酒造×利休コラボ懐石,89,yes,room_open_air_bath;open_air_public_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring,,露天;露天風呂;露天風呂付,객실 노천탕 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급,positive,body_positive,high,issue_caution_calibration_needed
7,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15389910,ja,2026/6/27,2026年6月宿泊,4,4,4,スパが最高です！,ツイン 【アロマの香りに包まれて】魅惑のオリエンタルスパで珠玉の癒し体験プラン,438,yes,open_air_public_bath;public_bath,public_bath_hot_spring;booking_confusion,operation_recheck,露天;露天風呂;大浴場,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
8,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15388923,ja,2026/6/27,2026年6月宿泊,5,4,5,料理が最高！！,和室 【じゃらんスペシャルウィーク】夕食17：30限定ワンランク上の贅沢/温泉湯豆腐＆佐賀牛若楠豚しゃぶしゃぶ,111,yes,facility_wide,water_texture,aging_or_access,温泉,우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
9,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15385814,ja,2026/6/24,2026年6月宿泊,4,4,4,源泉かけ流しのお湯が良かった,和室 【夕食17：30お約束】ワンランク上の贅沢/人気No.1！温泉湯豆腐と特選佐賀牛・若楠豚しゃぶしゃぶプラン,117,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture,,温泉;源泉;かけ流し,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급,positive,body_positive,high,issue_caution_calibration_needed
10,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15383865,ja,2026/6/23,2026年6月宿泊,3,2,2,嬉野　老舗旅館に期待し過ぎ？だったかも,ツイン 【夕食17：30お約束】ワンランク上の贅沢/人気No.1！温泉湯豆腐と特選佐賀牛・若楠豚しゃぶしゃぶプラン,391,yes,room_bath;open_air_public_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture,insects,温泉;露天;露天風呂;大浴場;虫,객실 내탕/내풍呂 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: insects,negative,low_rating_negative_body,high,issue_caution_calibration_needed
11,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15380782,ja,2026/6/22,2026年6月宿泊,3,2,2,水道管工事,和室 【じゃらんのお得な10日間】夕食19：30限定ワンランク上の贅沢/きたの茶園×瀬頭酒造×利休コラボ懐石,388,yes,unclear,booking_confusion,operation_recheck;cleanliness,匂い,"주의 신호: operation_recheck,cleanliness",negative,low_rating_negative_body,high,issue_caution_calibration_needed
