slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,세이자쿠보 / Seijakubou,tokachigawa,北海道,luxury ryokan,Tier 1,"전실 원천가케나가시 노천풍로 신호","Ikkyu nationwide onsen ranking snippet",needs_official_crosscheck
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,The Lake Suite Ko no Sumika,hokkaido-toyako,北海道,lake resort ryokan,Tier 1,"호수 전망 객실 노천탕 후보","Rakuten rotsuki ranking historic/source follow-up",needs_official_crosscheck
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Bourou Noguchi Noboribetsu,noboribetsu,北海道,luxury ryokan,Tier 1,"노보리베쓰 고급 객실탕/대욕장 후보","regional high-demand seed",needs_source_crosscheck
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Jozankei Daiichi Hotel Suizantei,jozankei,北海道,ryokan hotel,Tier 1,"조잔케이 대형 온천숙소, 객실탕 후보","Rakuten Top20 area seed",needs_source_crosscheck
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Yunokawa Prince Hotel Nagisatei,yunokawa-hakodate,北海道,onsen hotel,Tier 1,"객실 노천탕 수량이 큰 유노카와 대표 후보","Rakuten Top20 area seed",needs_official_crosscheck
akiu-saryo-soen,茶寮宗園,Saryo Soen,akiu,宮城県,luxury ryokan,Tier 1,"아키우 고급 료칸, 객실 노천탕 후보","Rakuten Top20 area seed",needs_source_crosscheck
akiu-sakurareikyu,仙台 秋保温泉 迎賓館 櫻離宮,Sakurareikyu,akiu,宮城県,large ryokan hotel,Tier 1,"노천풍로 객실 인기 신호","Rakuten rotsuki ranking historic/source follow-up",needs_official_crosscheck
zao-daikon-no-hana,温泉山荘 だいこんの花,Daikon-no-Hana,miyagi-zao,宮城県,detached ryokan,Tier 1,"노천풍로 객실 추천 숙소 신호","Jalan 2026 rotsuki article",needs_official_crosscheck
kusatsu-tokino-niwa,湯宿 季の庭,Yuyado Tokinoniwa,kusatsu,群馬県,ryokan,Tier 1,"객실 노천탕/대욕장/유황천 후보","Jalan 2026 top area, 5-star ryokan list",needs_official_crosscheck
kusatsu-naraya,草津温泉 奈良屋,Naraya,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 노포 료칸, 유황천/대욕장 신호","Jalan 2026 top area, 5-star ryokan list",needs_bath_detail_crosscheck
kusatsu-hotel-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보","Jalan 2026 top area, 5-star ryokan list",needs_bath_detail_crosscheck
ikaho-kaichoro,奥伊香保 旅邸 諧暢楼,Kaichoro,ikaho,群馬県,luxury ryokan,Tier 1,"이카호 고급 객실탕 후보","Ikkyu nationwide onsen ranking snippet",needs_official_crosscheck
minakami-senjuan,別邸 仙寿庵,Bettei Senjuan,minakami,群馬県,luxury ryokan,Tier 1,"객실 노천탕 추천 숙소 신호","Jalan 2026 rotsuki article",needs_official_crosscheck
nasu-bettei-kai,那須別邸 回,Nasu Bettei Kai,nasu,栃木県,luxury ryokan,Tier 1,"나스 고급 온천 숙소 후보","Rakuten Top20 area seed",needs_source_crosscheck
kinugawa-kanaya,鬼怒川金谷ホテル,Kinugawa Kanaya Hotel,kinugawa,栃木県,luxury hotel ryokan,Tier 1,"기누가와 고급 온천호텔 후보","Rakuten/YuKoyuko top area seed",needs_source_crosscheck
hakone-ginyu,箱根吟遊,Hakone Ginyu,hakone,神奈川県,luxury ryokan,Tier 1,"객실 노천탕/전망형 대표 후보","Jalan 2026 top area seed",needs_official_crosscheck
hakone-suisyoen,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,luxury ryokan,Tier 1,"전 객실 스위트·객실 노천탕 후보","Ikkyu/Hakone luxury seed",needs_official_crosscheck
hakone-gora-kadan,強羅花壇,Gora Kadan,hakone,神奈川県,luxury ryokan,Tier 1,"하코네 고급 료칸 대표, 객실탕/대욕장 후보","Jalan/Ikkyu top area seed",needs_official_crosscheck
hakone-gen-gora,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,luxury ryokan,Tier 1,"객실 노천탕 추천 숙소 신호","Jalan 2026 rotsuki article",needs_official_crosscheck
hakone-matsuzakaya,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,traditional ryokan,Tier 1,"하코네 명탕·원천 신호 강함","Ikkyu nationwide onsen ranking snippet",needs_official_crosscheck
