slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
noboribetsu-daiichi-takimotokan,第一滝本館,Dai-ichi Takimotokan,noboribetsu,北海道,large ryokan hotel,Tier 1,"登別 대표 대형 온천호텔, 31湯めぐり/대욕장·객실 노천탕 후보","Jalan Noboribetsu room-open-air, Ikkyu couple list",needs_official_crosscheck
noboribetsu-mahoroba,ホテルまほろば,Hotel Mahoroba,noboribetsu,北海道,large ryokan hotel,Tier 1,"대형 대욕장·다양한 욕조·객실 노천탕 후보","Jalan Noboribetsu room-open-air page",needs_bath_detail_crosscheck
noboribetsu-grand,祝いの宿 登別グランドホテル,Noboribetsu Grand Hotel,noboribetsu,北海道,large ryokan hotel,Tier 1,"硫黄泉·食塩泉·鉄泉 3泉질, 객실 노천탕·鬼サウナ 신호","Ikkyu Noboribetsu room-open-air, official day-use page",needs_official_crosscheck
noboribetsu-manseikaku,登別万世閣,Noboribetsu Manseikaku,noboribetsu,北海道,large hotel ryokan,Tier 1,"객실 노천탕 목록 노출, 올인클루시브/대욕장 후보","Jalan Noboribetsu room-open-air page",needs_official_crosscheck
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Bourou Noguchi Noboribetsu,noboribetsu,北海道,luxury ryokan,Tier 1,"전실 전망 온천 스위트룸 신호, 성인형 고급 숙소","Jalan Noboribetsu room-open-air page",needs_official_crosscheck
noboribetsu-takinoya,登別温泉郷 滝乃家,Takinoya,noboribetsu,北海道,luxury ryokan,Tier 1,"고급 료칸, 객실 노천탕·대욕장 후보","Ikkyu Noboribetsu room-open-air list",needs_official_crosscheck
noboribetsu-hanayura,旅亭 花ゆら,Ryotei Hanayura,noboribetsu,北海道,ryokan,Tier 1,"원천을 끌어온 히노키 객실 노천탕 신호","Ikkyu Noboribetsu room-open-air list",needs_official_crosscheck
noboribetsu-sekisuitei,登別 石水亭,Noboribetsu Sekisuitei,noboribetsu,北海道,large hotel ryokan,Tier 2,"대형 온천호텔, 당일치기/대욕장 후보","Noboribetsu day-use association page",needs_bath_detail_crosscheck
noboribetsu-yumoto,登別温泉 ホテルゆもと登別,Hotel Yumoto Noboribetsu,noboribetsu,北海道,hotel ryokan,Tier 2,"登別 온천호텔, 다원천 대욕장 후보","Noboribetsu lodging exposure",needs_source_crosscheck
noboribetsu-izumi-villa,滝本イン / 登別温泉周辺ホテル候補,Takimoto Inn / Noboribetsu support lodging,noboribetsu,北海道,hotel,Tier 3,"대욕장 접근/제휴 가능성 확인 후보","Noboribetsu lodging exposure",needs_identity_crosscheck
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Jozankei Daiichi Hotel Suizantei,jozankei,北海道,ryokan hotel,Tier 1,"전 객실 온천 신호, 자가원천·대욕장·貸切風呂","Rakuten Jozankei listing",needs_official_crosscheck
jozankei-furukawa,ぬくもりの宿 ふる川,Nukumori no Yado Furukawa,jozankei,北海道,traditional ryokan,Tier 1,"객실 노천탕 추천·대욕장/온천감 후보","MyBest Jozankei room-open-air, Rakuten ranking",needs_official_crosscheck
jozankei-morino-uta,定山渓鶴雅リゾートスパ 森の謌,Jozankei Tsuruga Resort Spa Mori no Uta,jozankei,北海道,resort spa ryokan,Tier 1,"스파 리조트형, 온천·식음·당일치기 신호","MyBest Jozankei room-open-air, official site",needs_official_crosscheck
jozankei-chalet-ivy,シャレーアイビー定山渓,Chalet Ivy Jozankei,jozankei,北海道,luxury ryokan,Tier 1,"Ikkyu 고평점 고급숙, 객실탕 후보","Ikkyu Jozankei ranking",needs_official_crosscheck
jozankei-suigetsu,翠巌,Suigan,jozankei,北海道,luxury ryokan,Tier 1,"고급 소형 숙소, 객실탕/온천 세부 확인 후보","Ikkyu Jozankei ranking",needs_official_crosscheck
