slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
akiu-hotel-zuiho,仙台 秋保温泉 ホテル瑞鳳,Hotel Zuiho,akiu,宮城県,large ryokan hotel,Tier 1,split_needed;ready,"대형 온천호텔, 櫻離宮 연계/대욕장 리뷰풀 후보",room_open_air_bath;public_bath;open_air_public_bath,"Jalan shows very large visible pool; reviews mention many open-air baths, standing bath, buffet scale, wide building, and Sakurarikyu room open-air vs main-building public bath split",https://www.zuiho.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Ikkyu Akiu exposure,needs_bath_detail_crosscheck,0,0,https://www.zuiho.jp/ ; https://www.sakurarikyu.com/ ; https://travel.rakuten.co.jp/HOTEL/30766/review.html ; https://travel.rakuten.co.jp/HOTEL/30766/30766.html ; https://www.jalan.net/yad309236/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/128486/review.html ; https://www.jalan.net/yad382760/,공식/시설 주장: 公式/Rakuten/Jalanで日本庭園の中の6つの露天風呂、広い大浴場、サウナ、秋保温泉、別館櫻離宮の露天風呂付き客室連携を確認 本館大型温泉ホテルと櫻離宮を分ける。6露天、大浴場、立ち湯、サウナ、混雑/広い館内、ビュッフェ導線を確認 검증 배치: tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
akiu-ryokusuitei,仙台 秋保温泉 篝火の湯 緑水亭,Ryokusuitei,akiu,宮城県,ryokan hotel,Tier 1,ready,"객실 노천탕 인기, 대정원/대욕장 후보",room_open_air_bath;room_bath;public_bath;open_air_public_bath,"Rakuten/Yahoo surfaces mention illuminated outdoor bath, long walk/downstairs to open-air, bear/scary night concern, and a review says room open-air was not onsen while public bath warmed well",https://www.ryokusuitei.co.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Ikkyu/MyBest Akiu room-open-air,needs_bath_detail_crosscheck,0,0,https://www.ryokusuitei.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/15989/review.html ; https://travel.rakuten.co.jp/HOTEL/15989/15989.html ; https://travel.yahoo.co.jp/00002196/review/,공식/시설 주장: 公式/Rakutenで東日本屈指の広さを誇る露天風呂「篝火の湯」、天然温泉、美肌の湯、秋保温泉高台の一軒宿を確認 露天風呂付き客室を温泉扱いしない。篝火の湯/大浴場/客室露天非温泉/夜間導線/熊や階段不安を分ける 검증 배치: tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
akiu-sakurareikyu,仙台 秋保温泉 迎賓館 櫻離宮,Sakurareikyu,akiu,宮城県,large ryokan hotel,Tier 1,split_needed;ready,노천풍로 객실 인기 신호,room_open_air_bath;public_bath;open_air_public_bath,"Rakuten review surface mentions room open-air bath size and temperature comfort, shuttle/瑞鳳本館 transfer, quiet annex, buffet or counter-meal split",https://www.sakan.com/sakurareikyu/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,0,0,https://www.sakan.com/sakurareikyu/ ; https://travel.rakuten.co.jp/HOTEL/128486/review.html ; https://travel.rakuten.co.jp/HOTEL/128486/128486.html ; https://travel.gpoint.co.jp/daredoko/h25526/p2/,공식/시설 주장: 公式/Rakutenでホテル瑞鳳別館、露天風呂付客室、渓谷美を望む離れ宿表面を確認 瑞鳳別館として扱う。本館大浴場/別館客室露天/移動動線/食事会場を分ける 검증 배치: tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
akiu-saryo-soen,茶寮宗園,Saryo Soen,akiu,宮城県,luxury ryokan,Tier 1,ready,"아키우 고급 료칸, 객실 노천탕 후보",room_open_air_bath;room_bath;public_bath;open_air_public_bath,"Rakuten/MyTrip surfaces mention room hinoki bath, view from open-air, quiet public open-air with low crowding, but stairs/accessibility and carpet stain concerns appear",https://www.saryou-souen.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Rakuten Top20 area seed,needs_source_crosscheck,0,0,https://www.saryou-souen.com/ ; https://travel.rakuten.co.jp/HOTEL/38345/review.html ; https://travel.rakuten.co.jp/HOTEL/38345/38345.html ; https://travel.rakuten.co.jp/mytrip/howto/saryosouen-guide ; https://oyutabi.biglobe.ne.jp/h2696/,공식/시설 주장: 公式/Rakutenで秋保温泉の高級純和風旅館、大浴場、露天風呂、離れ露天風呂付き客室候補を確認 高級小規模旅館。離れ露天、部屋檜風呂、大浴場/露天、階段多さ、足腰不安、絨毯汚れを分ける 검증 배치: tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
zao-daikon-no-hana,温泉山荘 だいこんの花,Daikon-no-Hana,miyagi-zao,宮城県,detached ryokan,Tier 1,ready,노천풍로 객실 추천 숙소 신호,room_open_air_bath;room_bath;public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Ikkyu/Yahoo/Relux surfaces mention room bath, 24h large bath, 4 private open-air baths, nature open-air satisfaction; some reviews say room open-air may not be necessary due strong shared/private baths",https://www.daikon-no-hana.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Jalan 2026 rotsuki article,needs_official_crosscheck,0,0,https://www.daikon-no-hana.com/ ; https://www.ikyu.com/00000799/review/ ; https://travel.yahoo.co.jp/00000799/review/ ; https://rlx.jp/25551/review/,공식/시설 주장: 公式で18室の離れ、すべて自家源泉掛け流しの美肌の湯、自然林の中の湯浴みを確認 客室露天だけでなく大浴場/4貸切露天が強い。貸切風呂マナー/音漏れ/客室湯温調整も確認 검증 배치: tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
ginzan-fujiya,銀山温泉 藤屋,Fujiya,ginzan,山形県,luxury ryokan,Tier 1,ready,건축성 높은 온천료칸과 객실탕 후보,room_bath;public_bath;private_bath_or_family_bath_unclear,Jalan/Rakuten/4travel surfaces exist; small-room count and private bath completion signals visible,https://www.fujiya-ginzan.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-demand source,needs_official_crosscheck,0,0,https://www.fujiya-ginzan.com/ ; https://www.ginzanonsen.jp/yado/fujiya.html ; https://www.jalan.net/yad311571/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/68602/review.html ; https://4travel.jp/dm_hotel-10217809,공식/시설 주장: 公式/銀山温泉公式で8室の宿、5つの貸切風呂、全てプライベート空間の温泉を確認 大浴場型ではなく5つの貸切風呂が主要価値。デザイン性による使いづらさ/高齢者注意も確認対象 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
ginzan-kosekiya,銀山温泉 古勢起屋別館,Kosekiya Bekkan,ginzan,山形県,ryokan,Tier 1,ready,온천가 중심 전통 료칸 후보,public_bath,"Rakuten shows 315 review marker and bath score 3.60; visible reviews mention bath cold/underwhelming and no toilet rooms, while location/historic atmosphere strong",https://www.kosekiya.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_source_crosscheck,0,0,https://www.kosekiya.jp/ ; https://travel.rakuten.co.jp/HOTEL/111235/review.html ; https://travel.rakuten.co.jp/HOTEL/111235/111235_onsen.html ; https://oyutabi.biglobe.ne.jp/h3539/,공식/시설 주장: 公式/Rakutenで銀山温泉中心部、大正ロマン宿、源泉かけ流し、大浴場・天然温泉、含イオウナトリウム塩化物泉/硫酸温泉を確認 銀山の立地・雰囲気Tier1だが風呂満足は弱め/混在。温泉街価値と浴場評価を強く分離 검증 배치: tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
ginzan-notoya,銀山温泉 能登屋旅館,Notoya Ryokan,ginzan,山形県,historic ryokan,Tier 1,ready,상징적 목조 료칸과 온천가 후보,unclear,Jalan shows 68 reviews; Tripadvisor/Rakuten surfaces exist; booking difficulty and maze-like building signals visible,https://www.notoyaryokan.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-demand source,needs_official_crosscheck,0,0,https://www.notoyaryokan.com/ ; https://www.ginzanonsen.jp/yado/notoya.html ; https://www.jalan.net/yad321441/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/183204/183204.html ; https://www.tripadvisor.jp/Hotel_Review-g1023680-d1403956-Reviews-Notoya_Ryokan-Obanazawa_Yamagata_Prefecture_Tohoku.html,공식/시설 주장: 公式/銀山温泉公式で明治25年創業、登録有形文化財、源泉かけ流し温泉を確認 文化財宿としての街並み価値と源泉かけ流しを分ける。レビュー量は少なめだが象徴性が高い 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
kaminoyama-koyo,かみのやま温泉 日本の宿 古窯,Koyo,kaminoyama,山形県,large ryokan,Tier 1,ready,대형 고급 료칸과 전망 대욕장 후보,room_open_air_bath;public_bath;open_air_public_bath,"Rakuten shows 3,036 review marker; visible reviews mention hot source room open-air, temperature adjustment, large rooms and stable high service",https://www.koyoga.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.koyoga.com/ ; https://travel.rakuten.co.jp/HOTEL/27923/review.html ; https://travel.rakuten.co.jp/HOTEL/27923/27923.html,공식/시설 주장: 公式/Rakutenで蔵王連峰を望む大規模高級宿、美人の湯、客室露天風呂、大浴場表面を確認 高レビュー大規模宿。展望大浴場/客室露天/熱め源泉/温度調整を分ける 검증 배치: tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
kaminoyama-meigetsuso,かみのやま温泉 名月荘,Meigetsuso,kaminoyama,山形県,luxury ryokan,Tier 1,ready,고급 객실 노천탕 후보,room_open_air_bath;public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Ikkyu/Rakuten surfaces mention room open-air, large bath, reserved family bath, sauna, quiet 20-room luxury; winter room-open-air temperature can be low",https://www.meigetsuso.co.jp/index.html,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-end source,needs_official_crosscheck,0,0,https://www.meigetsuso.co.jp/index.html ; https://www.ikyu.com/00000972/review/ ; https://travel.rakuten.co.jp/HOTEL/67228/review.html,공식/시설 주장: 公式で全20室、大浴場、貸切露天風呂、家族風呂、客室半露天風呂等を確認 高級小規模宿。客室半露天/大浴場/家族風呂/貸切露天と冬季温度感を分ける 검증 배치: tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
