kind,queue_rank,slug,name_ja,area_slug,prefecture,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,verification_result,next_status,notes,source_urls
accommodation,241,minakami-senjuan,別邸 仙寿庵,minakami,群馬県,https://www.senjyuan.jp/,https://travel.rakuten.co.jp/HOTEL/28063/review.html,https://www.senjyuan.jp/guestroom/,"公式で全18室すべてに谷川岳を望む源泉かけ流し露天風呂、ルレ・エ・シャトー加盟、谷川温泉の高級小宿を確認","Rakuten/blog surfaces mention room open-air adjusted to comfortable temperature, public open-air seasonal view, source-flow weak alkaline sulfate spring, skin-smooth feel",official_and_high_volume_ota_bath_surface_confirmed,ready_for_deep_review_pool_count,"全室源泉かけ流し客室露天型。谷川岳眺望、客室露天の温度、弱アルカリ硫酸塩泉のすべすべ感、予約困難/高価格を分ける",https://www.senjyuan.jp/ ; https://www.senjyuan.jp/guestroom/ ; https://travel.rakuten.co.jp/HOTEL/28063/review.html ; https://note.com/cochie/n/n9ffed1ed9f66
accommodation,242,bessho-kashiwaya-honten,別所温泉 かしわや本店,bessho,長野県,https://www.kashiwayahonten.com/,https://www.jalan.net/yad351615/,https://www.kashiwayahonten.com/guestroom/,"公式/旅館組合/Jalanで天然温泉、露天風呂付き客室、内風呂付き客室、大岩風呂、悠々の湯、自適の湯、貸切常楽の湯を確認","Jalan/area association surfaces mention multi-bath setup, room open-air options, shuttle/access and traditional ryokan positioning",official_and_multi_surface_confirmed,ready_for_deep_review_with_private_bath_split,"客室露天、内風呂付き客室、貸切常楽の湯、大岩風呂を分ける。別所温泉駅アクセス/北向観音隣接も滞在価値に混ざる",https://www.kashiwayahonten.com/ ; https://www.kashiwayahonten.com/guestroom/ ; https://www.bessho-onsen.com/blog/stay/kashiwaya.html ; https://www.jalan.net/yad351615/
accommodation,243,bessho-nanjo-ryokan,別所温泉 旅館花屋,bessho,長野県,https://www.hanaya.ne.jp/,https://www.jalan.net/yad348992/shisetu/,https://www.jalan.net/yad348992/,"公式/Jalanで文化庁登録有形文化財、別所温泉の老舗旅館、大理石風呂、若草風呂、露天風呂の3浴場を確認","Jalan/blog surfaces mention cultural-property architecture, marble bath/stained glass atmosphere, garden open-air and retro lodging experience",official_and_multi_surface_confirmed,slug_identity_recheck_then_ready_for_deep_review,"slugはnanjo-ryokanだが日本語名/公式は旅館花屋。南條旅館とは別施設の可能性が高いためslug修正が必要。文化財/大理石風呂/露天を分ける",https://www.hanaya.ne.jp/ ; https://www.jalan.net/yad348992/shisetu/ ; https://www.jalan.net/yad348992/ ; https://ameblo.jp/naruru8854/entry-12782537952.html
accommodation,244,matsumoto-jujo,松本十帖,matsumoto,長野県,https://matsumotojujo.com/,https://www.ikyu.com/00002912/,https://matsumotojujo.com/journal/hotels/20718/,"公式/Ikkyuで松本本箱と小柳を含む2ホテル構成、両ホテル共通で全室源泉かけ流し露天風呂付き、源泉100%加温、湯小屋「小柳之湯」を確認","Ikkyu/4travel surfaces mention room open-air, book hotel experience, no large public bath, low lighting and amenity bring-your-own policy",official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_with_two_hotel_and_no_public_bath_split,"全室客室源泉かけ流し露天型だが大浴場なし。松本本箱/小柳、湯小屋、シャワー/アメニティ制限、照明暗めを分ける",https://matsumotojujo.com/ ; https://matsumotojujo.com/journal/hotels/20718/ ; https://matsumotojujo.com/journal/hotels/20930/ ; https://www.ikyu.com/00002912/ ; https://4travel.jp/travelogue/11886986
accommodation,245,tobira-myojinkan,扉温泉 明神館,matsumoto,長野県,https://www.tobira-group.com/myojinkan,https://travel.rakuten.co.jp/HOTEL/7112/review.html,https://www.tobira-group.com/myojinkan/spa,"公式で立ち湯「雪月花」、露天風呂付き大浴場「白龍」、寝湯「空山」、アルカリ性単純泉、38-40度の扉温泉を確認","Rakuten/Ikkyu surfaces show strong nature-view bath proposition but also low water pressure, lukewarm open-air, insects/leaves, narrow public bath complaints in readable low review",official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_with_negative_bath_operations_check,"高級秘境宿だが浴場ネガティブが読み取れる。立ち湯/大浴場/寝湯/客室露天、ぬるさ、水圧、虫/葉、洗い場狭さを必ず分ける",https://www.tobira-group.com/myojinkan ; https://www.tobira-group.com/myojinkan/spa ; https://travel.rakuten.co.jp/HOTEL/7112/review.html ; https://www.ikyu.com/00000228/ ; https://www.gltjp.com/ja/directory/item/11872/
accommodation,246,katakura-silk,湖畔の洋館かたくらシルクホテル,suwa,長野県,https://katakura-silkhotel.co.jp/,https://www.ikyu.com/00002871/review/,https://travel.yahoo.co.jp/00002871/review/,"公式/Yahooで全室源泉かけ流し露天風呂付き、上諏訪温泉、諏訪湖眺望の全9室ホテルを確認","Ikkyu/Yahoo surfaces mention room source-flow bath with Suwa Lake view, hotter water requiring cooling, high hospitality, wash/car service and refined amenities",official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_with_hot_water_temperature_check,"全室源泉かけ流し客室露天型。湯温が熱い信号、諏訪湖ビュー、全9室、片倉館連携/湖畔立地を分ける",https://katakura-silkhotel.co.jp/ ; https://www.ikyu.com/00002871/review/ ; https://www.ikyu.com/00002871/ ; https://travel.yahoo.co.jp/00002871/review/ ; https://travel.yahoo.co.jp/00002871/room/
accommodation,247,asamushi-kaisenkaku,浅虫温泉 南部屋・海扇閣,asamushi,青森県,https://www.kaisenkaku.com/,https://travel.rakuten.co.jp/HOTEL/4962/review.html,https://travel.rakuten.co.jp/HOTEL/4962/4962_onsen.html,"公式/Rakutenで最上階9階の陸奥湾ビュー展望温泉、掛け流し、露天風呂付展望大浴場、カルシウム/ナトリウム硫酸塩泉・塩化物泉を確認","Rakuten surface mentions panoramic sea-view bath as strong positive while one review says spring quality itself was not strongly felt; food/live performance signals also appear",official_and_high_volume_ota_bath_surface_confirmed,ready_for_deep_review_with_view_vs_water_texture_split,"むつ湾展望大浴場型。眺望評価と泉質実感を分ける。津軽三味線/食事/ショーがレビューで温泉信号を覆いやすい",https://www.kaisenkaku.com/ ; https://travel.rakuten.co.jp/HOTEL/4962/review.html ; https://travel.rakuten.co.jp/HOTEL/4962/4962_onsen.html ; https://www.gltjp.com/ja/directory/item/17319/ ; https://aomori-tourism.com/spot/detail_9317.html
accommodation,248,sukayu-onsen,酸ヶ湯温泉旅館,sukayu,青森県,https://sukayu.jp/,https://www.jalan.net/yad397533/kuchikomi/,https://sukayu.jp/facility/,"公式/Jalan/Rakutenで国民保養温泉地第1号、160畳の混浴大浴場ヒバ千人風呂、白濁した酸性硫黄泉、男女別小浴場「玉の湯」、女性専用時間と湯あみ着導線を確認","Jalan/Tripadvisor/Nifty surfaces strongly mention intense acidic milky water, tingling skin/eyes, mixed-bath anxiety, women-only time, rustic toji lodging and crowding/comfort tradeoffs",official_and_high_volume_multi_review_surface_confirmed,ready_for_deep_review_as_accommodation_and_facility_hybrid,"宿泊施設だが施設級の共同湯データ価値。ヒバ千人風呂、玉の湯、混浴/女性専用時間、湯あみ着、洗い場なし/シャワー有無、強酸性刺激を分ける",https://sukayu.jp/ ; https://sukayu.jp/facility/ ; https://sukayu.jp/information5/ ; https://sukayu.jp/information2/ ; https://travel.rakuten.co.jp/HOTEL/41009/41009.html ; https://www.jalan.net/yad397533/kuchikomi/ ; https://www.tripadvisor.jp/Hotel_Review-g298241-d1050414-Reviews-Sukayu_Onsen_Ryokan-Aomori_Aomori_Prefecture_Tohoku.html ; https://onsen.nifty.com/aomori-onsen/onsen000318/kuchikomi/
accommodation,249,izu-nagaoka-ishinoya,石のや 伊豆長岡,izu-nagaoka,静岡県,https://www.ishinoya.jp/izunagaoka/,https://www.ikyu.com/00002140/review/,https://travel.rakuten.co.jp/HOTEL/147933/review.html,"公式/Rakutenで全室温泉完備、1階客室に専用温泉露天風呂、全客室の室内浴室へ源泉口から直接温泉投入、大浴場、アルカリ単純泉/硫黄泉を確認","Ikkyu/Rakuten surfaces mention room open-air as main purpose, large room bath, repeated bathing, clean public bath and torotoro/smooth water texture",official_and_high_volume_ota_bath_surface_confirmed,ready_for_deep_review_pool_count,"全室温泉+一部専用露天型。1階露天付き客室、全室内湯、大浴場、庭園離れ、トロトロ水質を分ける",https://www.ishinoya.jp/izunagaoka/ ; https://www.ikyu.com/00002140/review/ ; https://travel.rakuten.co.jp/HOTEL/147933/review.html ; https://travel.rakuten.co.jp/HOTEL/147933/147933.html
accommodation,250,izu-nagaoka-sanyo-so,三養荘,izu-nagaoka,静岡県,https://www.princehotels.co.jp/sanyo-so/,https://www.ikyu.com/00000676/review/,https://travel.rakuten.co.jp/HOTEL/108565/review.html,"公式/Ikkyuで3,000坪の日本庭園、全室かけ流し温泉、部屋のかけ流し温泉、大浴場を確認","Ikkyu/Rakuten/Expedia surfaces mention room onsen, no-smell clear slightly thick water, beauty-serum-like texture, large garden; some service/room temperature frictions appear",official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_with_service_and_room_distance_split,"庭園別邸型。全室かけ流し室内温泉、大浴場までの距離、庭園、サービスばらつき、犬同伴部屋/広すぎる部屋信号を分ける",https://www.princehotels.co.jp/sanyo-so/ ; https://www.ikyu.com/00000676/review/ ; https://travel.rakuten.co.jp/HOTEL/108565/review.html ; https://www.expedia.co.jp/Izunokuni-Hotels-Sanyo-So.h9679840.Hotel-Information
