queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,verification_status,source_basis,official_url,google_maps_url,rakuten_url,jalan_url,ikkyu_url,agoda_or_booking_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_ota,visible_review_pool_global_ota,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
1,T1-01,arima-gekkoen-korokan,月光園 鴻朧館,Gekkoen Korokan,arima,兵庫県,ryokan,Tier 1,"금천/노천/객실탕 후보, 리뷰풀 가치",needs_official_crosscheck,Arima accommodation exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
2,T1-01,arima-hanamusubi,有馬温泉 御幸荘 花結び,Miyukiso Hanamusubi,arima,兵庫県,ryokan,Tier 1,금천 객실 노천탕 5실 신호,needs_official_crosscheck,Rakuten Arima room-open-air article,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
3,T1-01,arima-hatago,有馬温泉 四季の彩 旅篭,Shiki no Irodori Hatago,arima,兵庫県,luxury ryokan,Tier 1,전실 금천 노천탕 신호,needs_official_crosscheck,Ikkyu Arima room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
4,T1-01,arima-kinzan,有馬温泉 欽山,Kinzan,arima,兵庫県,luxury ryokan,Tier 1,"아리마 고급 료칸, 금천/은천 후보",needs_official_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
5,T1-01,arima-kosenkaku,有馬温泉 元湯 古泉閣,Kosenkaku,arima,兵庫県,traditional ryokan,Tier 1,"자가원천/금천 후보, 로지·료칸 혼합형",needs_official_crosscheck,Arima accommodation exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
6,T1-01,arima-maruyama,有馬温泉 竹取亭円山,Taketoritei Maruyama,arima,兵庫県,ryokan,Tier 1,"대절탕/객실탕 후보, 한국어 수요 가능성",needs_official_crosscheck,Arima accommodation exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
7,T1-01,arima-nakanobo,中の坊瑞苑,Nakanobo Zuien,arima,兵庫県,luxury ryokan,Tier 1,"아리마 최고급 숙소, 대욕장·객실탕 후보",needs_official_crosscheck,MyBest/Ikkyu Arima exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
8,T1-01,arima-okuno-hosomichi,天地の宿 奥の細道,Okuno Hosomichi,arima,兵庫県,luxury ryokan,Tier 1,객실 노천탕·자가원천/금천 신호,needs_official_crosscheck,Ikkyu Arima room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
9,T1-01,arima-shisui,SPA TERRACE紫翠,SPA TERRACE Shisui,arima,兵庫県,modern ryokan,Tier 1,"객실 노천탕 후보, 현대형 스파 숙소",needs_official_crosscheck,MyBest Arima room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
10,T1-01,kinosaki-kawaguchiya-riverside,川口屋城崎リバーサイドホテル,Kawaguchiya Kinosaki Riverside Hotel,kinosaki,兵庫県,ryokan hotel,Tier 1,객실 노천탕과 강변 대욕장 후보,needs_official_crosscheck,Jalan Kinosaki room-open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
