direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_1,ja,2026/6/30,2026年5月宿泊,4,3,4,寂しい旅になりました,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,137,yes,unclear,booking_confusion,,,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
2,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_2,ja,2026/6/21,2026年6月宿泊,5,5,5,記念日旅館,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,84,yes,facility_wide,water_texture,,温泉;湯;美肌,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
3,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_3,ja,2026/6/12,2026年5月宿泊,5,5,5,結婚記念日　いい思い出,【じゃらんスペシャルウィーク】東館客室◆匠の技が紡ぐ珠玉の逸品◆料理長特選会席《松会席◆食事処》,146,yes,open_air_public_bath,booking_confusion;public_bath_hot_spring;water_texture,sister_property_movement,お風呂;椎葉山荘;温泉;露天;露天風呂;風呂,공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
4,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_4,ja,2026/6/10,2026年6月宿泊,5,4,5,部屋風呂最高,【じゃらんスペシャルウィーク】東館客室◆匠の技が紡ぐ珠玉の逸品◆料理長特選会席《松会席◆食事処》,364,yes,public_bath;room_bath,public_bath_hot_spring;room_bath_hot_spring;water_texture,,サウナ;四季の湯;大浴場;温泉;湯;滝の湯;部屋風呂;風呂,대욕장/공용탕 이용 경험 언급; 객실탕/객실 노천탕 맥락 언급; 우레시노 물성/피부감 언급,positive,body_positive,high,issue_caution_calibration_needed
5,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_5,ja,2026/6/7,2026年4月宿泊,5,4,5,ゆったりとした旅館,【料理グレードアップ】趣向を凝らした珠玉の逸品◆匠の技が織りなす料理長特選会席《松会席◆食事処》,105,no,unclear,,aging_or_access,,주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
6,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_6,ja,2026/6/5,2026年6月宿泊,5,5,4,温泉おすすめ,【じゃらんのお得な10日間】20％OFF◆庭園側,59,yes,facility_wide,water_texture,,温泉,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
7,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_7,ja,2026/6/3,2026年4月宿泊,4,5,4,高齢者との旅行でした,【特室◆水昌・菊】眼前に臨む日本庭園と檜内風呂付客室、当館最高級会席を味わう《食事処◆松会席》,98,yes,facility_wide,water_texture,sister_property_movement,風呂,우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
8,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_8,ja,2026/6/2,2026年4月宿泊,5,5,5,妹と初の嬉野温泉へ,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,237,yes,open_air_public_bath;public_bath,booking_confusion;public_bath_hot_spring;water_texture,sister_property_movement,しいばの湯;とろとろ;温泉;湯;美人の湯;露天;露天風呂;風呂,대욕장/공용탕 이용 경험 언급; 공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
9,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_9,ja,2026/5/28,2026年5月宿泊,5,5,5,とても寛げました！,【じゃらんのお得な10日間】20％OFF◆庭園側,123,yes,facility_wide,water_texture,,お風呂;湯;風呂,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
10,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_10,ja,2026/5/19,2026年5月宿泊,5,5,5,念願の嬉野温泉で最高のお宿で最高でした！,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,515,yes,facility_wide,water_texture,sister_property_movement,温泉;湯;風呂,우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
