sample_id,platform,provider,review_date,rating,source_url,language,author_hash,lodging_context,onsen_related,bath_area_tags,signal_tags,caution_tags,original_keywords,paraphrase_ko,source_access,included_in_lodging_direct_count,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
shuhokan-0001,Jalan,,2026/6/29,,https://www.jalan.net/yad343812/kuchikomi/,ja,890ef88c44a4," 時期 2026年5月宿泊 プラン 【1泊2食／亜李蘭離宮コラボ】人気の焼肉店で楽しむ「極上おおいた和牛焼肉コース」と和朝食付プラン 和室 朝・夕 価格帯 29,001～30,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,temperature,温泉;ぬる,노후감·청결·온도 등 운영 주의 신호가 포함된 직접 리뷰.,direct_readable,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
shuhokan-0002,Jalan,,2026/6/15,,https://www.jalan.net/yad343812/kuchikomi/,ja,a0277583e063," 時期 2026年6月宿泊 プラン 【1泊朝食】心も身体も温まる♪炊き立てご飯と大分の郷土料理を楽しむ朝食付きプラン 和室 朝のみ 価格帯 13,001～14,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,,温泉;湯,숙박 경험을 평가한 직접 리뷰 표본.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0003,Jalan,,2026/5/27,,https://www.jalan.net/yad343812/kuchikomi/,ja,bfb3b9b028dd," 時期 2026年5月宿泊 プラン 【じゃらんのお得な10日間】1泊夕食／好きなラーメンをチョイス「ラーメンごくまる」夕食セット付きプラン 和室 夕のみ 価格帯 14,001～15,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,,露天;風呂;お風呂;湯,숙박 경험을 평가한 직접 리뷰 표본.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0004,Jalan,,2026/5/19,,https://www.jalan.net/yad343812/kuchikomi/,ja,ae2175204222," 時期 2026年5月宿泊 プラン 【1泊朝食】心も身体も温まる♪炊き立てご飯と大分の郷土料理を楽しむ朝食付きプラン 和室 朝のみ 価格帯 14,001～15,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,,温泉,숙박 경험을 평가한 직접 리뷰 표본.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0005,Jalan,,2026/5/18,,https://www.jalan.net/yad343812/kuchikomi/,ja,a83134f16fb5," 時期 2026年3月宿泊 プラン 【1泊2食】◆豊後牛ステーキ弁当◆精肉店が創るこだわり弁当と大分郷土料理がメインの和朝食付プラン 和室 朝・夕 夕/部屋出し 価格帯 16,001～17,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,,温泉;露天;風呂;露天風呂,숙박 경험을 평가한 직접 리뷰 표본.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0006,Jalan,,2026/5/1,,https://www.jalan.net/yad343812/kuchikomi/,ja,ee20dfe99610," 時期 2026年4月宿泊 プラン 【1泊2食／亜李蘭離宮コラボ】人気の焼肉店で楽しむ「極上おおいた和牛焼肉コース」と和朝食付プラン 和室 朝・夕 価格帯 30,001円以上(大人１名あたり/税込)",false,unclear,booking_confusion,,送迎,"역 접근, 도보, 택시, 송영 등 이동 동선을 함께 언급한 직접 리뷰.",direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
shuhokan-0007,Jalan,,2026/4/5,,https://www.jalan.net/yad343812/kuchikomi/,ja,0e581a846745," 時期 2026年2月宿泊 プラン 【じゃらんスペシャルウィーク】素泊りプラン◆展望露天風呂から由布岳を眺めてゆったりと♪ 和洋室 食事なし 価格帯 14,001～15,000円(大人１名あたり/税込)",true,facility_wide,booking_confusion;onsen_related,,露天;風呂;お風呂;露天風呂;駅,"역 접근, 도보, 택시, 송영 등 이동 동선을 함께 언급한 직접 리뷰.",direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
shuhokan-0008,Jalan,,2026/3/21,,https://www.jalan.net/yad343812/kuchikomi/,ja,8d556af8e863," 時期 2026年2月宿泊 プラン 【素泊りプラン】展望露天風呂から由布岳を眺めてゆったりと♪ 和室 食事なし 価格帯 14,001～15,000円(大人１名あたり/税込)",true,open_air_public_bath;public_bath,onsen_related;public_bath_hot_spring,,温泉;露天;風呂;大浴場;露天風呂,전망 대욕장과 공용 노천탕을 함께 언급한 직접 리뷰.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0009,Jalan,,2026/3/10,,https://www.jalan.net/yad343812/kuchikomi/,ja,2cbc5fa937f5," 時期 2026年3月宿泊 プラン 【1泊朝食】心も身体も温まる♪炊き立てご飯と大分の郷土料理を楽しむ朝食付きプラン ツイン 朝のみ 価格帯 17,001～18,000円(大人１名あたり/税込)",true,facility_wide,onsen_related,,露天;風呂;露天風呂,숙박 경험을 평가한 직접 리뷰 표본.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
shuhokan-0010,Jalan,,2026/3/8,,https://www.jalan.net/yad343812/kuchikomi/,ja,ad3afb8fc89c," 時期 2026年2月宿泊 プラン 【じゃらんのお得な10日間】素泊りプラン◆展望露天風呂から由布岳を眺めてゆったりと♪ 和室 食事なし 価格帯 17,001～18,000円(大人１名あたり/税込)",true,open_air_public_bath;public_bath,booking_confusion;onsen_related;public_bath_hot_spring,,露天;風呂;大浴場;湯;露天風呂;駅,전망 대욕장과 공용 노천탕을 함께 언급한 직접 리뷰.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
