slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
dogo-miyu,道後御湯,Dogo Miyu,dogo,愛媛県,luxury ryokan,Tier 1,"도고 고급 숙소, 온천 노천풍로 객실 후보","Ikkyu Dogo room-open-air list",needs_official_crosscheck
dogo-kotononiwa,道後温泉 琴の庭,Koto no Niwa,dogo,愛媛県,luxury ryokan,Tier 1,"전 객실 원천가케나가시 노천풍로 신호","Ikkyu Dogo room-open-air list",needs_official_crosscheck
dogo-dogokan,道後舘,Dogo Kan,dogo,愛媛県,large ryokan,Tier 1,"도고 대표 료칸, 객실 노천탕/대욕장 후보","Ikkyu Dogo room-open-air list",needs_bath_detail_crosscheck
dogo-oborozukiyo,別邸 朧月夜,Bettei Oborozukiyo,dogo,愛媛県,luxury ryokan,Tier 1,"고급 소형 숙소, 객실 노천탕 후보","Ikkyu Dogo room-open-air list",needs_official_crosscheck
dogo-funaya,道後温泉 ふなや,Funaya,dogo,愛媛県,traditional ryokan,Tier 1,"도고 노포 료칸, 대욕장/객실탕 후보","Ikkyu station ranking, existing seed",needs_bath_detail_crosscheck
dogo-kowakuen-haruka,ホテル古湧園 遥,Hotel Kowakuen Haruka,dogo,愛媛県,hotel ryokan,Tier 1,"도고 대형 현대형 숙소, 대욕장/객실탕 후보","Ikkyu station ranking",needs_bath_detail_crosscheck
dogo-yachiyo,道後温泉 八千代,Yachiyo,dogo,愛媛県,ryokan,Tier 1,"객실 노천탕 인기 신호","Rakuten/MyBest Dogo room-open-air",needs_official_crosscheck
dogo-hakuro,道後hakuro,Dogo Hakuro,dogo,愛媛県,modern hotel ryokan,Tier 2,"현대형 도고 숙소, 대욕장/온천 후보","Ikkyu station ranking",needs_bath_detail_crosscheck
dogo-chaharu,道後温泉 茶玻瑠,Chaharu,dogo,愛媛県,hotel ryokan,Tier 2,"도고 접근성·대욕장/노천 후보","Dogo lodging exposure",needs_bath_detail_crosscheck
dogo-okudogo-ichiyunomori,奥道後 壱湯の守,Okudogo Ichiyu no Mori,dogo,愛媛県,large ryokan hotel,Tier 2,"오쿠도고 대형 노천/대욕장 후보","Dogo/Okudogo lodging exposure",needs_bath_detail_crosscheck
shirahama-kaishu,浜千鳥の湯 海舟（共立リゾート）,Hamachidori no Yu Kaishu,shirahama,和歌山県,seaside ryokan,Tier 1,"바다 전망 노천·객실탕 인기 신호","Ikkyu Shirahama room-open-air list",needs_official_crosscheck
shirahama-xyz-speciale,海絶景とギネス認定の宿 全室露天風呂付離れ XYZスペチアーレ,XYZ Speciale,shirahama,和歌山県,detached ryokan,Tier 1,"전실 노천풍로離れ, 해절경·미라바스 신호","Ikkyu Shirahama room-open-air ranking",needs_official_crosscheck
shirahama-kawakyu,ホテル川久,Hotel Kawakyu,shirahama,和歌山県,luxury resort hotel,Tier 1,"객실 노천탕 인기, 대형 리조트형 후보","MyBest/Jalan Shirahama room-open-air",needs_bath_detail_crosscheck
shirahama-kachofugetsu,南紀白浜 和みの湯 花鳥風月,Kachofugetsu,shirahama,和歌山県,ryokan,Tier 1,"객실 노천탕/온천 숙소 후보","Jalan Shirahama room-open-air page",needs_official_crosscheck
shirahama-yanagiya,白浜温泉 家族とすごす白浜の宿 柳屋,Yanagiya,shirahama,和歌山県,traditional ryokan,Tier 1,"가족형 료칸, 객실 노천탕 후보","Jalan Shirahama room-open-air page",needs_bath_detail_crosscheck
shirahama-sanrakuso,ホテル三楽荘,Hotel Sanrakuso,shirahama,和歌山県,seaside hotel ryokan,Tier 1,"객실 노천탕 인기 신호, 바다 전망 후보","Jalan/Rakuten Shirahama room-open-air",needs_official_crosscheck
shirahama-tengoku,ホテル天山閣 海ゆぅ庭 / ホテル天山閣候補,Hotel Tenzankaku seed,shirahama,和歌山県,hotel ryokan,Tier 2,"객실 노천탕 후보, 명칭/계열 확인 필요","Jalan Shirahama room-open-air page",needs_identity_crosscheck
shirahama-key-terrace,SHIRAHAMA KEY TERRACE HOTEL SEAMORE,Hotel Seamore,shirahama,和歌山県,large resort hotel,Tier 1,"바다 전망 대형 리조트, 온천·족탕·당일이용 후보","Nanki Shirahama tourism onsen page",needs_bath_detail_crosscheck
shirahama-koganoi,白浜古賀の井リゾート＆スパ,Koganoi Resort & Spa,shirahama,和歌山県,resort hotel,Tier 2,"대형 리조트, 온천·스파·당일입욕 노출","Nanki Shirahama tourism onsen page",needs_bath_detail_crosscheck
shirahama-ohedo-premium,大江戸温泉物語 Premium 白浜御苑,Ooedo Onsen Premium Shirahama Gyoen,shirahama,和歌山県,large hotel ryokan,Tier 2,"대형 온천호텔, 가격형/리뷰풀 후보","MyBest Shirahama room-open-air",needs_bath_detail_crosscheck
yugawara-ashikari,懐石旅庵 阿しか里,Ashikari,yugawara,神奈川県,kaiseki ryokan,Tier 1,"원천가케나가시 노천풍로 객실 신호","Ikkyu Yugawara room-open-air list",needs_official_crosscheck
