kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,candidate_status,initial_tier,property_or_facility_type,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,directly_read_reviews,onsen_related_direct_reviews,verification_result,next_status_raw,normalization_notes,source_urls,source_verification_file,source_master_file
facility,18,gero-kua-garden,クアガーデン露天風呂,쿠아가든 노천탕,gero,岐阜県,ready,Tier 1,open_air_public_bath,https://gero-onsen.com/kua-garden-rotenburo/,https://www.city.gero.lg.jp/site/kanko/1226.html,,公式/下呂市で日帰り露天温泉施設 확인. 市ページで営業時間・料金・定休日・同一泉質管理 신호 확인,review count not locked,0,0,official_and_municipal_surface_confirmed,needs_review_pool_count,下呂市ページ가 운영 기본정보에 유용. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://gero-onsen.com/kua-garden-rotenburo/ ; https://www.city.gero.lg.jp/site/kanko/1226.html,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
facility,19,gero-sachinoyu,幸乃湯,사치노유,gero,岐阜県,operation_recheck|ready,Tier 1,public_bath_facility,https://gero-sachinoyu.com/,https://www.gero-spa.or.jp/search/22.html,,公式で日帰り入浴/銭湯형 7種風呂를 확인. 家族風呂は老朽化等で休止中と公式記載,review count not locked,0,0,official_product_and_closure_notice_confirmed,needs_review_pool_count,가족탕 후보였으나 현재 휴止. 시설 신호에서 큰 주의점. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://gero-sachinoyu.com/ ; https://www.gero-spa.or.jp/search/22.html,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
facility,20,gero-shirasagi,白鷺の湯,시라사기노유,gero,岐阜県,operation_recheck|ready,Tier 1,historic_public_bath,https://gero-onsen.com/shirasagi-no-yu/,https://www.city.gero.lg.jp/site/kanko/1226.html,,公式 URL 후보와 下呂市 당일입욕시설 페이지로 공중탕 후보 확인,review count not locked,0,0,source_surface_probable,needs_official_site_open_check,공식 개별 페이지 본문 추가 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://gero-onsen.com/shirasagi-no-yu/ ; https://www.city.gero.lg.jp/site/kanko/1226.html,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
facility,52,tsukioka-bijin-no-izumi,月岡温泉 美人の泉,Bijin no Izumi,tsukioka,新潟県,ready,Tier 1,public_bath_facility,https://niigata-kankou.or.jp/spot/11321,https://onsen.nifty.com/shibata-onsen/onsen006679/kuchikomi/,https://www.jalan.net/kankou/spt_guide000000172317/kuchikomi/,観光公式で含硫黄-ナトリウム-塩化物泉、エメラルドグリーンの湯を確認,Nifty shows 22 reviews; Jalan/NAVITIME review surfaces exist,0,0,tourism_official_and_review_surface_confirmed,needs_review_pool_count,硫黄臭/緑色/つるつる浴感が強い施設。床ぬめりや混雑も別タグ / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://niigata-kankou.or.jp/spot/11321 ; https://onsen.nifty.com/shibata-onsen/onsen006679/kuchikomi/ ; https://www.jalan.net/kankou/spt_guide000000172317/kuchikomi/,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,53,wakura-soyu,和倉温泉 総湯,Wakura Soyu,wakura,石川県,operation_recheck|ready,Tier 1,public_bath_facility,https://www.wakura.co.jp/,https://onsen.nifty.com/notohantou-onsen/onsen001887/kuchikomi/,https://www.hot-ishikawa.jp/spot/detail_10943.html,公式で共同浴場・源泉保全、観光公式で通常営業と料金を確認,Nifty shows 38 reviews; post-earthquake/recovery context comments visible,0,0,official_and_tourism_operation_surface_confirmed,needs_current_operation_and_review_pool_count,能登復興文脈が 있어 현재 운영/혼잡/지역 분위기 리뷰를 별도 확인해야 함 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.wakura.co.jp/ ; https://onsen.nifty.com/notohantou-onsen/onsen001887/kuchikomi/ ; https://www.hot-ishikawa.jp/spot/detail_10943.html,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,54,yamanaka-kikunoyu,山中温泉 菊の湯,Kiku no Yu,yamanaka,石川県,ready,Tier 1,historic_public_bath,https://www.tabimati.net/spot/detail_185.html,https://www.jalan.net/kankou/spt_17206cd2112071674/kuchikomi/,https://onsen.nifty.com/kagashuuhen-onsen/onsen001885/kuchikomi/,観光公式で男湯/女湯別棟の総湯、さらりとした湯を確認,Jalan shows 149 reviews; Nifty surface has bath texture detail,0,0,tourism_official_and_review_surface_confirmed,needs_review_pool_count,地元利用型の総湯。さらり/すべすべ/熱め/混雑を中心に回収 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.tabimati.net/spot/detail_185.html ; https://www.jalan.net/kankou/spt_17206cd2112071674/kuchikomi/ ; https://onsen.nifty.com/kagashuuhen-onsen/onsen001885/kuchikomi/,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,55,yamashiro-ko-soyu,山代温泉 古総湯,Yamashiro Ko-Soyu,yamashiro,石川県,ready,Tier 1,historic_public_bath,https://yamashiro-spa.or.jp/spa/,https://www.jalan.net/kankou/spt_17206cd2112071676/,https://www.hot-ishikawa.jp/spot/detail_6657.html,観光協会で湯あみ再現の古総湯、ほっと石川で営業時間/料金を確認,Jalan recent reviews visible; Nifty bath texture surface exists,0,0,association_and_review_surface_confirmed,needs_review_pool_count,洗い場なし・石鹸不可が核心条件。施設説明に 반드시 반영 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://yamashiro-spa.or.jp/spa/ ; https://www.jalan.net/kankou/spt_17206cd2112071676/ ; https://www.hot-ishikawa.jp/spot/detail_6657.html,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,56,yamashiro-soyu,山代温泉 総湯,Yamashiro Soyu,yamashiro,石川県,ready,Tier 1,historic_public_bath,https://yamashiro-spa.or.jp/spa/,https://www.jalan.net/kankou/spt_17206cd2112071675/kuchikomi/,https://www.tabimati.net/spot/detail_148.html,観光協会で加水なし100%源泉の共同浴場、公式観光で料金/営業時間を確認,Jalan/Nifty review surfaces exist; hot/normal baths comments visible,0,0,association_and_review_surface_confirmed,needs_review_pool_count,古総湯와 혼동 방지. 洗い場ありの総湯として 별도 태깅 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://yamashiro-spa.or.jp/spa/ ; https://www.jalan.net/kankou/spt_17206cd2112071675/kuchikomi/ ; https://www.tabimati.net/spot/detail_148.html,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,62,nozawa-furusato-no-yu,野沢温泉 ふるさとの湯,Furusato no Yu,nozawa,長野県,operation_recheck|ready,Tier 1,public_bath_facility,https://www.vill.nozawaonsen.nagano.jp/www/contents/1050000000241/index.html,https://www.jalan.net/kankou/spt_20563cc3362070231/kuchikomi/,https://www.tripadvisor.jp/Attraction_Review-g1120620-d7811032-Reviews-Furusatono_Yu-Nozawaonsen_mura_Shimotakai_gun_Nagano_Prefecture_Koshinetsu_Chubu.html,村公式で内湯あつ湯/ぬる湯・露天風呂・シャワー/シャンプー/ボディソープありを確認,Jalan/Tripadvisor/NAVITIME surfaces exist; no parking note official,0,0,municipal_and_review_surface_confirmed,needs_current_price_recheck,2026年7月料金改定らしきSNS信号あり。公式ページ料金との鮮度差確認 필요 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.vill.nozawaonsen.nagano.jp/www/contents/1050000000241/index.html ; https://www.jalan.net/kankou/spt_20563cc3362070231/kuchikomi/ ; https://www.tripadvisor.jp/Attraction_Review-g1120620-d7811032-Reviews-Furusatono_Yu-Nozawaonsen_mura_Shimotakai_gun_Nagano_Prefecture_Koshinetsu_Chubu.html,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,63,nozawa-ogama,野沢温泉 麻釜,Ogama,nozawa,長野県,route_or_pass,Tier 1,food_steam,https://nozawakanko.jp/spot/spot-0-241/,https://www.jalan.net/kankou/spt_20563aj2200165100/kuchikomi/,https://4travel.jp/dm_shisetsu/11338754,観光公式で90度以上の源泉・生活利用される麻釜を確認。入浴施設ではなく見学/生活文化スポット,Jalan shows 178 reviews for 麻釜; 4travel/Yahoo map surfaces exist,0,0,official_tourism_spot_confirmed_not_bathing_facility,reclassify_as_food_steam_or_culture_spot,入浴施設ではない。온천시설 마스터에서는 food_steam/local_culture spot으로 분리 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://nozawakanko.jp/spot/spot-0-241/ ; https://www.jalan.net/kankou/spt_20563aj2200165100/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11338754,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_facility_batch_e_v0_6_2026-07-03.csv
