slug,name_ja,area_slug,candidate_status,backlog_bucket,next_action
senami-haginoya,瀬波温泉 瀬波グランドホテル はぎのや,senami,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
senami-seiunsou,瀬波温泉 くつろぎの宿 旅館 静雲荘,senami,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
senami-taikanso,瀬波温泉 大観荘せなみの湯,senami,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
tsukioka-kahou,月岡温泉 白玉の湯 華鳳,tsukioka,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
tsukioka-senkei,月岡温泉 摩周,tsukioka,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yamashiro-araya-totoan,山代温泉 あらや滔々庵,yamashiro,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yamashiro-beniya-mukayu,山代温泉 べにや無何有,yamashiro,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yamashiro-rurikoh,山代温泉 瑠璃光,yamashiro,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yamashiro-yunokuni-tensyo,山代温泉 ゆのくに天祥,yamashiro,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
nozawa-grand-hotel,野沢温泉 野沢グランドホテル,nozawa,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
nozawa-kawamotoya,野沢温泉 河一屋旅館,nozawa,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
nozawa-sakaya,野沢温泉 旅館さかや,nozawa,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
shirahonet-onsen-awano-yu,白骨温泉 泡の湯,shirahonet,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
shirahonet-sasaya,白骨温泉 湯元齋藤旅館,shirahonet,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
shibu-kanaguya,渋温泉 歴史の宿 金具屋,yudanaka-shibu,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
shibu-kokuya,渋温泉 古久屋,yudanaka-shibu,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
shibu-sakaeya,渋温泉 春蘭の宿さかえや,yudanaka-shibu,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yudanaka-aburaya-tousen,湯田中温泉 あぶらや燈千,yudanaka-shibu,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
yudanaka-tsubakino,湯田中温泉 ホテル椿野,yudanaka-shibu,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
echigo-yuzawa-hatago-isen,越後湯澤 HATAGO井仙,echigo-yuzawa,ready,딥리서치 원천 없음,숙소별 직접 본문 300건과 온천 관련 200건 이상을 목표로 원천 수집을 진행합니다.
amaharashi-iso-hanabi,雨晴温泉 磯はなび,amaharashi,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
unazuki-suginoi,宇奈月温泉 やまのは,unazuki,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
unazuki-yamanoi,宇奈月温泉 延楽,unazuki,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
myoko-akakura-kanko,赤倉観光ホテル,myoko,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
katayamazu-morimoto,片山津温泉 湖畔の宿 森本,katayamazu,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-beniya,あわら温泉 光風湯圃 べにや,awara,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-grandia-housen,あわら温泉 グランディア芳泉,awara,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-matsuya-sensen,まつや千千,awara,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-mimatsu,あわら温泉 美松,awara,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-tsuruya,あわら温泉 つるや,awara,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
bessho-kashiwaya-honten,別所温泉 かしわや本店,bessho,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
bessho-nanjo-ryokan,別所温泉 旅館花屋,bessho,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
tobira-myojinkan,扉温泉 明神館,matsumoto,ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
katakura-silk,湖畔の洋館かたくらシルクホテル,suwa,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
awara-seifuso,あわら温泉 清風荘,awara,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
bessho-nakamatsuya,別所温泉 旅館中松屋,bessho,split_needed|ready,DB seed 기준 미달,"직접 수, 온천 관련 수, 플랫폼 수, 채택 item 수를 다시 검산합니다."
