kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,candidate_status,initial_tier,property_or_facility_type,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,directly_read_reviews,onsen_related_direct_reviews,verification_result,next_status_raw,normalization_notes,source_urls,source_verification_file,source_master_file
facility,21,hakone-yunessun-morinoyu,箱根小涌園ユネッサン 森の湯,유넷상 모리노유,hakone,神奈川県,ready,Tier 1,wellness_spa,https://www.yunessun.com/morinoyu/,https://www.yunessun.com/,https://www.hakone-hotelkowakien.jp/yunessun.html,公式で日帰り本格温泉「森の湯」・露天風呂/内湯/サウナを確認,review count not locked,0,0,official_product_surface_confirmed,needs_review_pool_count,ユネッサン(水着エリア)와 森の湯(裸浴) 분리 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.yunessun.com/morinoyu/ ; https://www.yunessun.com/ ; https://www.hakone-hotelkowakien.jp/yunessun.html,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,30,hakone-tenzan,天山湯治郷,텐잔토지쿄,hakone,神奈川県,ready|split_needed,Tier 1,public_bath_facility,https://tenzan.jp/,https://tenzan.jp/,,公式で箱根奥湯本の日帰り湯治施設 identity 확인,review count not locked,0,0,official_identity_confirmed,needs_product_detail_and_review_pool_count,施設構成 하위ページ 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://tenzan.jp/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,31,hakone-yuryo,箱根湯寮,하코네유료,hakone,神奈川県,ready,Tier 1,large_day_use_complex,https://www.hakoneyuryo.jp/,https://www.hakoneyuryo.jp/,,公式で宿泊設備なしの日帰り温泉施設・大浴場・貸切個室露天風呂を確認,review count not locked,0,0,official_product_surface_confirmed,needs_review_pool_count,貸切個室露天と大浴場을 분리. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.hakoneyuryo.jp/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,108,mizonokuchi-kirari,溝口温泉 喜楽里,미조노쿠치온천 키라리,kanagawa-metro,神奈川県,hold,Tier 1,public_bath_facility,https://www.yurakirari.com/kirari/mizonokuchi/,https://onsen.nifty.com/kawasaki-onsen/onsen007460/,https://onsen.nifty.com/kawasaki-onsen/onsen007460/kuchikomi/,公式候補は喜楽里系施設。Niftyで温泉・炭酸泉・寝湯・岩盤浴・食事表面を確認,"Nifty has recent 2026 reviews; weekday vs holiday crowding,炭酸泉 crowding, seat-taking signals visible",0,0,official_needs_url_crosscheck_review_surface_confirmed,needs_operator_url_crosscheck,公式URLは推定なので次回確認。大人向け静かな都市温浴として混雑/休憩席/炭酸泉人気を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://onsen.nifty.com/kawasaki-onsen/onsen007460/ ; https://onsen.nifty.com/kawasaki-onsen/onsen007460/kuchikomi/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,109,shonan-ryusenji,湘南RESORT SPA 竜泉寺の湯,쇼난 리조트 스파 류센지노유,kanagawa-metro,神奈川県,ready,Tier 1,wellness_spa,https://ryusenjinoyu.com/chigasaki/,https://onsen.nifty.com/shounan-onsen/onsen009500/,https://www.asoview.com/base/152436/asorepo/list/,公式で竜泉寺の湯湘南茅ヶ崎店、炭酸泉/岩盤浴等とNifty年間ランキング受賞表面を確認,Nifty/Asoview/local news surfaces exist; high-volume day-use spa candidate,0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,炭酸泉・岩盤浴・コスパ評価が強い。天然温泉の水質より大型スパ満足度 중심 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://ryusenjinoyu.com/chigasaki/ ; https://onsen.nifty.com/shounan-onsen/onsen009500/ ; https://www.asoview.com/base/152436/asorepo/list/ ; https://shonanjin.com/news/chigasaki-ryusenjinoyu-ranking/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,110,manten-no-yu,天然温泉 満天の湯,만텐노유,yokohama,神奈川県,ready,Tier 1,public_bath_facility,https://mantennoyu.com/,https://onsen.nifty.com/yokohama-onsen/onsen006655/,https://sauna-ikitai.com/saunas/2208,公式で上星川駅前の天然温泉スーパー銭湯、15種の風呂・3種サウナを確認,"Nifty/Sauna-ikitai/Lemon8 surfaces exist; black hot spring,炭酸泉, elderly local-use friction signals visible",0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,駅近街の名湯型。黒湯/炭酸泉/サウナ/地元常連マナーを分けて収集 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://mantennoyu.com/ ; https://onsen.nifty.com/yokohama-onsen/onsen006655/ ; https://onsen.nifty.com/yokohama-onsen/onsen006655/kuchikomi/ ; https://sauna-ikitai.com/saunas/2208,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,111,yokohama-aoba-kirari,横浜青葉温泉 喜楽里 別邸,요코하마 아오바온천 키라리 벳테이,yokohama,神奈川県,ready,Tier 1,large_day_use_complex,https://www.yurakirari.com/aoba/,https://onsen.nifty.com/yokohama-onsen/onsen018532/kuchikomi/,https://onsen.nifty.com/yokohama-onsen/onsen018532/,公式で小学生以上対象の日帰り温浴施設、竹林露天、高濃度炭酸泉、サウナ、岩盤浴を確認,Nifty review surface has 2026 reviews; PR/official surfaces note high Nifty ranking,0,0,official_and_review_surface_confirmed,ready_for_facility_deep_review_pool_count,大人向け静かな都市型温浴。温泉・炭酸泉・サウナ・岩盤浴・館内動線を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.yurakirari.com/aoba/ ; https://onsen.nifty.com/yokohama-onsen/onsen018532/kuchikomi/ ; https://onsen.nifty.com/yokohama-onsen/onsen018532/ ; https://prtimes.jp/main/html/rd/p/000000028.000043281.html,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,112,yokohama-manyoclub,横浜みなとみらい 万葉倶楽部,요코하마 미나토미라이 만요클럽,yokohama,神奈川県,ready,Tier 1,wellness_spa,https://manyo.co.jp/mm21/,https://www.jalan.net/kankou/spt_guide000000197331/kuchikomi/,https://travel.rakuten.co.jp/HOTEL/50200/review.html,公式で日帰り/宿泊/個室/温泉/足湯/館内サービスを確認,"Rakuten shows 336 marker; Jalan review surface includes crowding, family bath, chlorine-smell negative signal",0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,横浜都市型スパ。展望足湯・家族風呂・混雑・塩素臭/弱泉質レビューを深掘り価値あり / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://manyo.co.jp/mm21/ ; https://www.jalan.net/kankou/spt_guide000000197331/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/50200/review.html ; https://travel.rakuten.co.jp/HOTEL/50200/50200.html,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,113,yokohama-spa-hills-ryusenji,横濱スパヒルズ 竜泉寺の湯,요코하마 스파힐즈 류센지노유,yokohama,神奈川県,ready,Tier 1,wellness_spa,https://tsurugamine.ryusenjinoyu.com/,https://onsen.nifty.com/yokohama-onsen/onsen011489/kuchikomi/,https://onsen.nifty.com/yokohama-onsen/onsen011489/,公式で横濱スパヒルズ、炭酸泉/岩盤浴/混雑状況/2025ランキング表面を確認,"Nifty review surface has 2026 review praising clean facility, ganbanyoku, carbonated bath",0,0,official_and_review_surface_confirmed,ready_for_facility_deep_review_pool_count,竜泉寺系の大型スパ。天然温泉より炭酸泉/岩盤浴/コスパ/混雑が主信号 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://tsurugamine.ryusenjinoyu.com/ ; https://onsen.nifty.com/yokohama-onsen/onsen011489/kuchikomi/ ; https://onsen.nifty.com/yokohama-onsen/onsen011489/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,114,yugawara-soyu,湯河原惣湯 Books and Retreat,유가와라 소유,yugawara,神奈川県,ready|operation_recheck,Tier 1,wellness_spa,https://yugawarasoyu.jp/,https://4travel.jp/dm_shisetsu/11915104,https://www.yugawara.or.jp/sightseeing/722/,公式で惣湯テラス/玄関テラス、源泉かけ流し温泉、食事・読書・リトリート型施設を確認。観光協会で料金/営業時間表面あり,"4travel surface mentions reservation, no amenities, clocks absent, outdoor movement, private bath wait; official notes 2026 reopening notice",0,0,official_and_review_surface_confirmed,needs_current_operation_and_reservation_rule_check,普通の日帰り温泉ではなく高価格リトリート型。予約/待ち/アメニティなし/再開情報が重要 / 운영시간/예약/휴무 등 변동 정보는 사용자 노출 전 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://yugawarasoyu.jp/ ; https://yugawarasoyu.jp/soyu-terrace/ ; https://4travel.jp/dm_shisetsu/11915104 ; https://www.yugawara.or.jp/sightseeing/722/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
