kind,queue_rank,slug,name_ja,area_slug,prefecture,initial_tier,initial_signals,source_basis,verification_status,source_files
accommodation,101,yunokawa-bourou-noguchi,HAKODATE 海峡の風 / 望楼NOGUCHI函館候補,yunokawa-hakodate,北海道,Tier 1,"유노카와 고급 숙소군, 객실탕/대욕장 후보",Yunokawa luxury lodging exposure,needs_identity_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,102,takeo-koyokaku,武雄温泉 懐石宿 扇屋,takeo,佐賀県,Tier 1,요리 료칸과 온천 체류 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,103,takeo-mifuneyama-rakuen,御船山楽園ホテル,takeo,佐賀県,Tier 1,사우나와 온천 리조트 수요 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,104,ureshino-oyado-nonoka,嬉野温泉 大正屋,ureshino,佐賀県,Tier 1,우레시노 대표 료칸과 대욕장 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,105,ureshino-shiibasanso,嬉野温泉 椎葉山荘,ureshino,佐賀県,Tier 1,계곡 노천탕과 조용한 체류 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,106,ureshino-wataya-besso,嬉野温泉 和多屋別荘,ureshino,佐賀県,Tier 1,미인탕과 대형 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,107,jozankei-chalet-ivy,シャレーアイビー定山渓,jozankei,北海道,Tier 1,"Ikkyu 고평점 고급숙, 객실탕 후보",Ikkyu Jozankei ranking,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,108,jozankei-furukawa,ぬくもりの宿 ふる川,jozankei,北海道,Tier 1,객실 노천탕 추천·대욕장/온천감 후보,"MyBest Jozankei room-open-air, Rakuten ranking",needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,109,jozankei-morino-uta,定山渓鶴雅リゾートスパ 森の謌,jozankei,北海道,Tier 1,"스파 리조트형, 온천·식음·당일치기 신호","MyBest Jozankei room-open-air, official site",needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,110,jozankei-suigetsu,翠巌,jozankei,北海道,Tier 1,"고급 소형 숙소, 객실탕/온천 세부 확인 후보",Ikkyu Jozankei ranking,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,111,noboribetsu-daiichi-takimotokan,第一滝本館,noboribetsu,北海道,Tier 1,"登別 대표 대형 온천호텔, 31湯めぐり/대욕장·객실 노천탕 후보","Jalan Noboribetsu room-open-air, Ikkyu couple list",needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,112,noboribetsu-grand,祝いの宿 登別グランドホテル,noboribetsu,北海道,Tier 1,"硫黄泉·食塩泉·鉄泉 3泉질, 객실 노천탕·鬼サウナ 신호","Ikkyu Noboribetsu room-open-air, official day-use page",needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,113,noboribetsu-hanayura,旅亭 花ゆら,noboribetsu,北海道,Tier 1,원천을 끌어온 히노키 객실 노천탕 신호,Ikkyu Noboribetsu room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,114,noboribetsu-manseikaku,登別万世閣,noboribetsu,北海道,Tier 1,"객실 노천탕 목록 노출, 올인클루시브/대욕장 후보",Jalan Noboribetsu room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,115,noboribetsu-takinoya,登別温泉郷 滝乃家,noboribetsu,北海道,Tier 1,"고급 료칸, 객실 노천탕·대욕장 후보",Ikkyu Noboribetsu room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,116,yunokawa-hanabishi,函館・湯の川温泉 花びしホテル,yunokawa-hakodate,北海道,Tier 1,"리뉴얼 노천풍로 스위트 신호, 대욕장 후보",Jalan Yunokawa room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,117,yunokawa-heiseikan-hanatsuki,平成館 しおさい亭 別館 花月,yunokawa-hakodate,北海道,Tier 1,전실 쓰가루해협 조망 객실 노천탕 신호,Jalan Yunokawa room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,118,yunokawa-nagisatei,湯の川プリンスホテル渚亭,yunokawa-hakodate,北海道,Tier 1,객실 노천탕 수량이 큰 유노카와 대표 후보,Rakuten Top20 area seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,119,ginzan-fujiya,銀山温泉 藤屋,ginzan,山形県,Tier 1,건축성 높은 온천료칸과 객실탕 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,120,ginzan-notoya,銀山温泉 能登屋旅館,ginzan,山形県,Tier 1,상징적 목조 료칸과 온천가 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,121,zao-lucent,蔵王温泉 蔵王国際ホテル,zao-yamagata,山形県,Tier 1,백탁 유황 대욕장과 스키 수요 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,122,zao-miyagiya,蔵王温泉 深山荘高見屋,zao-yamagata,山形県,Tier 1,강산성 유황천과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,123,tamatsukuri-chorakuen,玉造温泉 湯之助の宿 長楽園,tamatsukuri,島根県,Tier 1,대형 혼욕 노천과 미인탕 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,124,tamatsukuri-kasuien-minami,玉造温泉 佳翠苑皆美,tamatsukuri,島根県,Tier 1,옥상 노천탕과 미인탕 후보,Jalan Chugoku room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,125,tamatsukuri-yunosuke,玉造グランドホテル長生閣,tamatsukuri,島根県,Tier 1,메노우 욕조와 미인탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,126,echigo-yuzawa-nakaya,越後湯沢温泉 一望千里 御湯宿 中屋,echigo-yuzawa,新潟県,Tier 1,객실 노천탕과 전망 온천 후보,Rakuten Echigo Yuzawa room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,127,echigo-yuzawa-quattro,四季Yuzawa QUATTRO,echigo-yuzawa,新潟県,Tier 1,전실 원천가케나가시 노천과 내탕 후보,Rakuten MyTrip Niigata source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,128,echigo-yuzawa-ryugon,ryugon,echigo-yuzawa,新潟県,Tier 1,설국 고택형 료칸과 온천 체류 후보,Rakuten Echigo Yuzawa source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,129,echigo-yuzawa-takahan,越後湯沢温泉 雪国の宿 高半,echigo-yuzawa,新潟県,Tier 1,원천가케나가시와 설국 문학성 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,130,senami-haginoya,瀬波温泉 瀬波グランドホテル はぎのや,senami,新潟県,Tier 1,객실 노천탕 다수와 일본해 해안 온천 후보,Rakuten Kaetsu source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,131,senami-seiunsou,瀬波温泉 くつろぎの宿 旅館 静雲荘,senami,新潟県,Tier 1,해변 객실 노천탕 후보,Rakuten Niigata rotsuki source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,132,senami-taikanso,瀬波温泉 大観荘せなみの湯,senami,新潟県,Tier 1,일본해 전망 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,133,tsukioka-kahou,月岡温泉 白玉の湯 華鳳,tsukioka,新潟県,Tier 1,에메랄드 온천과 대형 고급 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,134,tsukioka-senkei,月岡温泉 摩周,tsukioka,新潟県,Tier 1,황화수소계 미인탕과 고급 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,135,wakura-kagaya,和倉温泉 加賀屋,wakura,石川県,Tier 1,전국 인지도 높은 대형 고급 온천 료칸 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
