slug,accommodation_name,bath_area,bath_area_confidence,signal_type,signal_direction,mention_count,source_count,platform_count,contradiction_level,review_signal_status
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,room_open_air_bath,specific,room_bath_hot_spring,mixed,205,205,7,low,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,open_air_public_bath,specific,public_bath_hot_spring,positive,102,102,7,low,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,public_bath,specific,public_bath_hot_spring,mixed,81,81,7,low,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,room_open_air_bath,specific,water_texture,mixed,52,52,7,medium,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,room_open_air_bath,specific,booking_confusion,negative,56,56,7,medium,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,facility_wide,facility_wide,crowding,negative,34,34,6,medium,strong_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,room_open_air_bath,specific,weak_onsen_feeling,negative,11,11,4,medium,weak_signal
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,facility_wide,facility_wide,booking_confusion,negative,45,45,6,medium,strong_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_bath,specific,room_bath_hot_spring,positive,112,112,6,low,strong_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,public_bath,specific,public_bath_hot_spring,positive,68,68,6,low,strong_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_open_air_bath,specific,room_bath_hot_spring,mixed,39,39,5,medium,strong_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,private_bath,probable,private_bath_experience,mixed,21,21,3,medium,moderate_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_bath,specific,weak_onsen_feeling,negative,11,11,3,medium,weak_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_bath,specific,crowding,mixed,18,18,4,low,moderate_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_bath,specific,booking_confusion,negative,17,17,4,low,moderate_signal
jozankei-suizantei,定山渓第一寶亭留 翠山亭,room_bath,specific,water_texture,positive,28,28,4,low,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,room_bath_hot_spring,mixed,216,216,3,medium,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,public_bath_hot_spring,mixed,114,114,3,medium,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_open_air_bath,specific,room_bath_hot_spring,mixed,95,95,3,medium,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_open_air_bath,specific,public_bath_hot_spring,mixed,18,18,2,medium,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,facility_wide,facility_wide,water_texture,positive,28,28,3,none,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,public_bath,specific,public_bath_hot_spring,mixed,43,43,3,medium,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,public_bath,specific,water_texture,mixed,3,3,1,medium,weak_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,public_bath,specific,crowding,negative,32,32,3,none,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,booking_confusion,negative,88,88,3,none,strong_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,crowding,negative,4,4,1,none,weak_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,water_texture,mixed,6,6,1,medium,weak_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_open_air_bath,specific,booking_confusion,negative,2,2,2,none,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_open_air_bath,specific,water_texture,mixed,2,2,1,medium,weak_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,unclear,unclear,booking_confusion,negative,2,2,2,none,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_open_air_bath,specific,crowding,negative,3,3,2,none,moderate_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,room_bath,specific,weak_onsen_feeling,negative,6,6,2,none,weak_signal
jozankei-grand-blissen,グランドブリッセンホテル定山渓,facility_wide,facility_wide,weak_onsen_feeling,negative,1,1,1,none,insufficient
