kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,candidate_status,initial_tier,property_or_facility_type,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,directly_read_reviews,onsen_related_direct_reviews,verification_result,next_status_raw,normalization_notes,source_urls,source_verification_file,source_master_file
accommodation,14,gero-kawakamiya,下呂温泉 川上屋花水亭,Kawakamiya Kasuitei,gero,岐阜県,ready,Tier 1,traditional ryokan,https://www.kawakamiyakasuitei.jp/,https://www.jalan.net/yad352260/room/,https://www.jalan.net/yad352260/,公式で現行宿泊施設確認。Jalan客室面で檜内風呂+御影石露天風呂付き客室を確認,review count not locked,0,0,official_and_ota_bath_surface_confirmed,needs_review_pool_count,客室露天は部屋タイプ限定。全室로 오해 금지. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.kawakamiyakasuitei.jp/ ; https://www.jalan.net/yad352260/ ; https://www.jalan.net/yad352260/room/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,15,gero-miyako,下呂温泉 こころをなでる静寂 みやこ,Miyako,gero,岐阜県,ready,Tier 1,small ryokan,https://www.miyako21.co.jp/,https://www.jalan.net/yad349049/,https://www.gero-spa.or.jp/search/34.html,公式で露天風呂付き客室・庭園大浴場を確認。下呂旅館協同組合で露天風呂付客室13室/その他3室を確認,Jalan visible 1096 reviews in search surface,0,0,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,露天付離れ/露天付スイート/標準和室を分리해야 함. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.miyako21.co.jp/ ; https://www.jalan.net/yad349049/ ; https://www.gero-spa.or.jp/search/34.html,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,16,gero-shogetsu,下呂温泉 今宵 天空に遊ぶ しょうげつ,Shogetsu,gero,岐阜県,ready,Tier 1,small luxury ryokan,https://www.shougetsu.jp/,https://travel.rakuten.co.jp/HOTEL/4732/4732.html,https://travel.yahoo.co.jp/00000864/,公式で宿泊施設確認。Rakutenで大浴場/露天風呂あり、Yahooで内風呂と露天風呂および貸切露天風呂を確認,Rakuten visible 556 reviews; Yahoo visible 133 reviews in search surfaces,0,0,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,客室露天の有無는 OTA별 표현을 더 확인해야 함. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.shougetsu.jp/ ; https://travel.rakuten.co.jp/HOTEL/4732/4732.html ; https://travel.yahoo.co.jp/00000864/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,17,gero-suihoen,下呂温泉 懐石宿 水鳳園,Suihoen,gero,岐阜県,split_needed|ready,Tier 1,kaiseki ryokan,https://www.e-onsen.co.jp/,https://www.gero-spa.or.jp/search/20.html,https://www.e-onsen.co.jp/room/kochoran.php,公式で全15室中露天風呂付客室8室を確認。旅館協同組合で全16室中露天風呂付9室と表記差あり,review count not locked,0,0,official_bath_detail_confirmed_with_count_diff,needs_room_count_recheck,室数表記が公式/協会で差分。객실탕 유무 자체는強いが 최신 객실수 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.e-onsen.co.jp/ ; https://www.gero-spa.or.jp/search/20.html ; https://www.e-onsen.co.jp/room/kochoran.php,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,18,gero-tsukinoakari,下呂温泉 離れの宿 月のあかり,Tsuki no Akari,gero,岐阜県,split_needed|ready,Tier 1,detached ryokan,https://www.gero-kanko.co.jp/tsukinoakari/,https://www.jalan.net/uw/uwp3000/uww3001.do?yadNo=323084,,離れ宿として候補だが今回検索表面では十分な公式 bath detail を未固定,review count not locked,0,0,identity_probable_bath_detail_unlocked,needs_official_bath_detail_check,公式 하위 페이지 직접 확인 필요. 이번 확장에서는 보류성 확인. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.gero-kanko.co.jp/tsukinoakari/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,19,gero-yunoshimakan,下呂温泉 湯之島館,Yunoshimakan,gero,岐阜県,split_needed|ready,Tier 1,traditional ryokan,https://www.yunoshimakan.co.jp/,https://www.ikyu.com/00001193/,,公式宿泊施設 확인. 문화재급 숙소로 대욕장/客室風呂 detail은 다음 확인 필요,review count not locked,0,0,official_identity_confirmed,needs_bath_detail_and_review_pool_count,고급/역사성은 강하지만 객실탕 신호는 별도 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.yunoshimakan.co.jp/ ; https://www.ikyu.com/00001193/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,78,gero-ogawaya,下呂温泉 小川屋,Ogawaya,gero,岐阜県,ready,Tier 1,large ryokan,https://www.gero-ogawaya.net/,https://travel.yahoo.co.jp/00030267/review/,https://gero-ogawaya.com/,公式で館内湯巡りできる豊富な温泉施設を確認。別公式風ページで下呂温泉のまろやかな肌触り説明あり,Yahoo review surface exists; count not locked,0,0,official_and_review_surface_confirmed,needs_review_pool_count,大浴場・露天への階段など高齢者利用 신호가 보임. 객실탕형보다 대욕장 중심 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.gero-ogawaya.net/ ; https://travel.yahoo.co.jp/00030267/review/ ; https://gero-ogawaya.com/,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,79,gero-suimeikan,下呂温泉 水明館,Suimeikan,gero,岐阜県,ready,Tier 1,large ryokan hotel,https://www.suimeikan.co.jp/,https://travel.rakuten.co.jp/HOTEL/8886/review.html,https://www.jalan.net/yad328767/,公式で3か所の温泉大浴場、温泉プール等を確認。Jalanで3大浴場の利用条件を確認,Rakuten/Jalan/Agoda/JTB surfaces exist; large review pool likely,0,0,official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_pool_count,下呂のとろみ/しっとり浴感レビューが見える。館内移動・朝食混雑も別信号 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.suimeikan.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/8886/review.html ; https://www.jalan.net/yad328767/ ; https://www.agoda.com/ja-jp/gero-onsen-suimeikan/hotel/gero-jp.html,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,126,echigo-yuzawa-nakaya,越後湯沢温泉 一望千里 御湯宿 中屋,Oyado Nakaya,echigo-yuzawa,新潟県,ready,Tier 1,ryokan,https://www.onyuyado-nakaya.co.jp/,https://travel.rakuten.co.jp/HOTEL/28757/review.html,https://www.jalan.net/yad326010/,公式/Rakutenで高台の老舗宿、源泉かけ流し露天風呂、露天風呂付客室、眺望を確認,"Rakuten shows 181 marker; Jalan/Rakuten surfaces mention toromi, low-temp sauna, room open-air bath",0,0,official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_pool_count,源泉かけ流し露天と客室露天/眺望が強み。建物古さと温泉評価を 분리 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.onyuyado-nakaya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/28757/review.html ; https://travel.rakuten.co.jp/HOTEL/28757/28757.html ; https://www.jalan.net/yad326010/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,127,echigo-yuzawa-quattro,四季Yuzawa QUATTRO,Shiki Yuzawa Quattro,echigo-yuzawa,新潟県,ready,Tier 1,luxury suite ryokan,https://www.quattro-yuzawa.jp/,https://www.jalan.net/yad379381/,https://travel.rakuten.co.jp/HOTEL/141245/review.html,公式/Jalan/Rakutenで全室源泉かけ流し露天風呂付き、客室露天風呂、単純温泉を確認,Rakuten shows 137 marker; Jalan notes all rooms have source-flow open-air bath,0,0,official_and_multi_ota_bath_surface_confirmed,ready_for_deep_review_pool_count,全室客室露天型。大浴場よりroom_open_air_bath中心に扱う / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.quattro-yuzawa.jp/ ; https://www.jalan.net/yad379381/ ; https://travel.rakuten.co.jp/HOTEL/141245/review.html ; https://travel.rakuten.co.jp/HOTEL/141245/141245_onsen.html,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
