kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
accommodation,kusatsu-tokino-niwa,湯宿 季の庭,Yuyado Tokinoniwa,kusatsu,群馬県,ryokan,Tier 1,ready,verification_result: official_and_review_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式/Jalan/Rakutenで全室天然温泉客室露天風呂・23種湯処を確認 | visible_review_pool_observation: Jalan visible 3421 reviews in search surface | notes: 리뷰풀 풍부. 전실 객실노천과 대욕장 23湯処 분리.,公式/Jalan/Rakutenで全室天然温泉客室露天風呂・23種湯処を確認,Jalan visible 3421 reviews in search surface,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://dormy-hotels.com/resort/hotels/tokinoniwa/ ; https://www.jalan.net/yad375013/ ; https://travel.rakuten.co.jp/HOTEL/107756/107756.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
accommodation,kusatsu-naraya,草津温泉 奈良屋,Naraya,kusatsu,群馬県,traditional ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: needs_official_bath_detail_check | official_bath_or_product_fact: 公式で草津老舗旅館の温泉浴場を確認。詳細浴場別情報は深掘り対象 | visible_review_pool_observation: Rakuten review surface shows 944 marker; Jalan review surface exists | notes: 草津老舗・高レビュー量候補。白旗/湯守/貸切など浴場別公式 detail を次回固定,公式で草津老舗旅館の温泉浴場を確認。詳細浴場別情報は深掘り対象,Rakuten review surface shows 944 marker; Jalan review surface exists,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kusatsu-naraya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/70807/review.html ; https://www.jalan.net/yad362465/kuchikomi/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kusatsu-hotel-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で大浴場は湯畑前白旗源泉、露天風呂は白根山万代鉱源泉、源泉かけ流しを確認 | visible_review_pool_observation: Rakuten/Jalan review surfaces exist; high-volume legacy hotel candidate | notes: 湯畑前立地と2源泉の浴場差が主要価値。次行 kusatsu-ichii と同一宿のため統合 기준점,公式で大浴場は湯畑前白旗源泉、露天風呂は白根山万代鉱源泉、源泉かけ流しを確認,Rakuten/Jalan review surfaces exist; high-volume legacy hotel candidate,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hotel-ichii.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/39705/review.html ; https://www.jalan.net/yad332252/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,ikaho-kaichoro,奥伊香保 旅邸 諧暢楼,Kaichoro,ikaho,群馬県,luxury ryokan,Tier 1,ready,"verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_with_gold_silver_split | official_bath_or_product_fact: 公式/Yahoo/Rakutenで全8室、全客室に伊香保「白銀の湯」の専用露天風呂、姉妹館福一で黄金の湯/白銀の湯大浴場利用を確認 | visible_review_pool_observation: Ikkyu/JTB/Agoda surfaces mention room open-air comfort, terrace after-bath, privacy, almost no encounter with other guests, high cleanliness | notes: 高級小規模客室露天型。客室は白銀の湯、姉妹館大浴場は黄金/白銀の2湯。伊香保だからと黄金の湯扱いしない",公式/Yahoo/Rakutenで全8室、全客室に伊香保「白銀の湯」の専用露天風呂、姉妹館福一で黄金の湯/白銀の湯大浴場利用を確認,"Ikkyu/JTB/Agoda surfaces mention room open-air comfort, terrace after-bath, privacy, almost no encounter with other guests, high cleanliness",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kaichoro.jp/ ; https://www.kaichoro.jp/japanese-suite/ ; https://www.ikyu.com/00001420/review/ ; https://travel.yahoo.co.jp/00001420/info/ ; https://travel.rakuten.co.jp/HOTEL/80625/80625.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
accommodation,minakami-senjuan,別邸 仙寿庵,Bettei Senjuan,minakami,群馬県,luxury ryokan,Tier 1,ready,"verification_result: official_and_high_volume_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で全18室すべてに谷川岳を望む源泉かけ流し露天風呂、ルレ・エ・シャトー加盟、谷川温泉の高級小宿を確認 | visible_review_pool_observation: Rakuten/blog surfaces mention room open-air adjusted to comfortable temperature, public open-air seasonal view, source-flow weak alkaline sulfate spring, skin-smooth feel | notes: 全室源泉かけ流し客室露天型。谷川岳眺望、客室露天の温度、弱アルカリ硫酸塩泉のすべすべ感、予約困難/高価格を分ける",公式で全18室すべてに谷川岳を望む源泉かけ流し露天風呂、ルレ・エ・シャトー加盟、谷川温泉の高級小宿を確認,"Rakuten/blog surfaces mention room open-air adjusted to comfortable temperature, public open-air seasonal view, source-flow weak alkaline sulfate spring, skin-smooth feel",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.senjyuan.jp/ ; https://www.senjyuan.jp/guestroom/ ; https://travel.rakuten.co.jp/HOTEL/28063/review.html ; https://note.com/cochie/n/n9ffed1ed9f66,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
accommodation,nasu-bettei-kai,那須別邸 回,Nasu Bettei Kai,nasu,栃木県,luxury ryokan,Tier 1,ready,"verification_result: official_and_high_volume_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_with_access_price_expectation_check | official_bath_or_product_fact: 公式/Rakuten/Ikkyuで全10室オールスイート、全客室専用風呂に新那須温泉、那須御用邸と同泉質、掛け流し/24時間利用できる客室温泉を確認 | visible_review_pool_observation: Rakuten/Ikkyu/Yahoo surfaces mention spacious open-air room bath, hot source-flow, quiet detached stay, but stairs/access, poor public transport and price-to-service concerns appear in low review | notes: 客室温泉は強いが運営/アクセスリスクあり。全室専用温泉、掛け流し高温、階段、送迎なし、食事/価格期待値を分ける",公式/Rakuten/Ikkyuで全10室オールスイート、全客室専用風呂に新那須温泉、那須御用邸と同泉質、掛け流し/24時間利用できる客室温泉を確認,"Rakuten/Ikkyu/Yahoo surfaces mention spacious open-air room bath, hot source-flow, quiet detached stay, but stairs/access, poor public transport and price-to-service concerns appear in low review",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://bettei-kai.jp/ ; https://travel.rakuten.co.jp/HOTEL/136100/review.html ; https://travel.rakuten.co.jp/HOTEL/136100/136100.html ; https://www.ikyu.com/00001830/review/ ; https://travel.yahoo.co.jp/00001830/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
accommodation,kinugawa-kanaya,鬼怒川金谷ホテル,Kinugawa Kanaya Hotel,kinugawa,栃木県,luxury hotel ryokan,Tier 1,ready,"verification_result: official_and_high_volume_ota_bath_surface_confirmed | next_status: ready_for_deep_review_with_room_onsen_and_service_split | official_bath_or_product_fact: 公式で温泉大浴場「四季の湯」「古代檜の湯」、古代檜内風呂、白御影石露天風呂、サウナ、客室風呂を確認 | visible_review_pool_observation: Rakuten/Jalan/4travel surfaces mention room bath is onsen, public bath quality, chocolate/free service, high-end dining and quiet stay; service/food signals are very strong | notes: 高級ホテル型。客室温泉、大浴場四季の湯/古代檜の湯、サウナ、渓谷ビュー、無料サービス/食事評価を分ける",公式で温泉大浴場「四季の湯」「古代檜の湯」、古代檜内風呂、白御影石露天風呂、サウナ、客室風呂を確認,"Rakuten/Jalan/4travel surfaces mention room bath is onsen, public bath quality, chocolate/free service, high-end dining and quiet stay; service/food signals are very strong",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://kinugawakanaya.com/ ; https://kinugawakanaya.com/hotspring/onsen/ ; https://travel.rakuten.co.jp/HOTEL/28440/review.html ; https://travel.rakuten.co.jp/HOTEL/28440/28440.html ; https://www.jalan.net/yad375132/shisetu/ ; https://4travel.jp/dm_hotel-10035603,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
accommodation,kusatsu-konoha,お宿 木の葉,Oyado Konoha,kusatsu,群馬県,ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で湯宿 季の庭と共用の23種湯処、草津名湯・わたの湯系の湯めぐり体験を確認 | visible_review_pool_observation: Rakuten review surface shows 235 marker; Ikkyu/Expedia surfaces exist | notes: 同敷地共用浴場型。木の葉単体レビューと季の庭共用浴場レビューの混線に注意,公式で湯宿 季の庭と共用の23種湯処、草津名湯・わたの湯系の湯めぐり体験を確認,Rakuten review surface shows 235 marker; Ikkyu/Expedia surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://dormy-hotels.com/resort/hotels/konoha/ ; https://travel.rakuten.co.jp/HOTEL/108128/review.html ; https://www.ikyu.com/00030551/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kusatsu-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,merge,verification_result: semantic_duplicate_confirmed | next_status: merge_with_kusatsu-hotel-ichii | official_bath_or_product_fact: 公式情報は rank 82 の草津温泉 ホテル一井と同一 | visible_review_pool_observation: Same Rakuten/Jalan surfaces as kusatsu-hotel-ichii | notes: 日本語名・公式URL・OTA面が同一。masterでは rank 82 に統合し、このslugは削除/alias化推奨 | normalization_action: merge into kusatsu-hotel-ichii; same Japanese name 草津温泉 ホテル一井 appears twice in target master,公式情報は rank 82 の草津温泉 ホテル一井と同一,Same Rakuten/Jalan surfaces as kusatsu-hotel-ichii,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hotel-ichii.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/39705/review.html ; https://www.jalan.net/yad332252/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kusatsu-sakurai,草津温泉 ホテル櫻井,Hotel Sakurai,kusatsu,群馬県,large ryokan hotel,Tier 1,ready,verification_result: official_and_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で3源泉を源泉掛け流しで大浴場・露天風呂を楽しめると確認。Jalanで天然温泉100%・掛け流し・にごり湯表面確認 | visible_review_pool_observation: review count not locked | notes: 大型大浴場型. 객실탕 중심은 아님.,公式で3源泉を源泉掛け流しで大浴場・露天風呂を楽しめると確認。Jalanで天然温泉100%・掛け流し・にごり湯表面確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hotel-sakurai.co.jp/hotspa/ ; https://www.jalan.net/yad310401/ ; https://travel.rakuten.co.jp/HOTEL/56137/56137.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
