queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,verification_status,source_basis,official_url,google_maps_url,nifty_url,jalan_or_4travel_url,tripadvisor_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_review,visible_review_pool_global,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
1,T1-01,arima-kin-no-yu,有馬本温泉 金の湯,아리마 금탕,arima,兵庫県,historic_public_bath,Tier 1,"금천 공중탕, 온천감/혼잡 신호 후보",needs_official_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
2,T1-01,arima-suzurannoyu,有馬街道温泉すずらんの湯,아리마가도온천 스즈란노유,arima,兵庫県,large_day_use_complex,Tier 1,"대형 노천, 원천가케나가시, 허브욕/요모기찜",needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
3,T1-01,arima-taikounoyu,有馬温泉 太閤の湯,아리마 온천 타이코노유,arima,兵庫県,large_day_use_complex,Tier 1,금천·은천·혼합탕·탄산천·증기탕·사우나,needs_official_crosscheck,Nifty Onsen 2025 nationwide ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
4,T1-01,kinosaki-goshono-yu,城崎温泉 御所の湯,Goshono-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,노천과 정원 이미지가 강한 대표 외탕,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
5,T1-01,kinosaki-ichino-yu,城崎温泉 一の湯,Ichino-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,동굴탕과 대표 외탕 순례 신호,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
6,T1-01,kinosaki-jizou-yu,城崎温泉 地蔵湯,Jizo-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 칠외탕 중 가족형 상징탕,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
7,T1-01,kinosaki-kouno-yu,城崎温泉 鴻の湯,Kouno-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 발상지 전승과 노천탕 후보,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
8,T1-01,kinosaki-mandara-yu,城崎温泉 まんだら湯,Mandara-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,칠외탕 순례와 작은 탕 기대차 후보,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
9,T1-01,kinosaki-satono-yu,城崎温泉 さとの湯,Satono-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,기노사키 외탕 순례의 역앞 대형탕,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
10,T1-01,kinosaki-yanagi-yu,城崎温泉 柳湯,Yanagi-yu,kinosaki,兵庫県,historic_public_bath,Tier 1,소형 외탕과 온천가 순례 후보,needs_official_crosscheck,Kinosaki tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
11,T1-01,kurokawa-kounoyu-dayuse,こうの湯 日帰り入浴,Kounoyu day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,노천탕 당일입욕과 탕순례 후보,needs_official_crosscheck,Kurokawa official day-use status source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
12,T1-01,kurokawa-kurokawaso-dayuse,黒川荘 日帰り入浴,Kurokawaso day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,대형 노천탕과 휴업 정보 확인 필요,needs_official_crosscheck,Kurokawa official day-use status source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
13,T1-01,kurokawa-senomoto-kogen-dayuse,瀬の本高原ホテル 日帰り入浴,Senomoto Kogen Hotel day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,고원 전망 노천 당일온천 후보,needs_official_crosscheck,Kurokawa official day-use status source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
