sample_id,platform,provider,review_date,rating,source_url,language,author_hash,lodging_context,onsen_related,bath_area_tags,signal_tags,caution_tags,original_keywords,paraphrase_ko,source_access,included_in_lodging_direct_count,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
tosyoan-jalan-1,Jalan,Jalan,2026/5/23,5 5,https://www.jalan.net/yad331264/kuchikomi/,ja,f1b25e89de,lodging_direct,True,room_open_air_bath;room_bath,room_bath_hot_spring;water_texture,,露天風呂;露天;温泉;由布岳;部屋,객실 노천탕과 객실 내탕을 함께 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다.,direct_readable_existing_jalan,true,positive,rating_positive_signal,medium,issue_caution_calibration_needed
tosyoan-jalan-2,Jalan,Jalan,2026/4/23,5 5,https://www.jalan.net/yad331264/kuchikomi/,ja,09bb94ca53,lodging_direct,True,room_open_air_bath;room_bath,room_bath_hot_spring,,露天;内風呂;内湯;温泉;部屋,객실 노천탕과 객실 내탕을 함께 언급한 후기다.,direct_readable_existing_jalan,true,positive,rating_positive_signal,medium,issue_caution_calibration_needed
tosyoan-jalan-3,Jalan,Jalan,2025/12/30,4 4,https://www.jalan.net/yad331264/kuchikomi/,ja,90b222d56c,lodging_direct,True,room_open_air_bath;room_bath,room_bath_hot_spring;water_texture,,露天風呂;露天;温泉;由布岳;眺望;部屋,객실 노천탕과 객실 내탕을 함께 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다.,direct_readable_existing_jalan,true,positive,rating_positive_signal,medium,issue_caution_calibration_needed
tosyoan-jalan-4,Jalan,Jalan,2025/12/14,4 4,https://www.jalan.net/yad331264/kuchikomi/,ja,818c02f323,lodging_direct,True,room_open_air_bath;room_bath,room_bath_hot_spring;water_texture,,露天風呂;露天;温泉;由布岳;眺望,객실 노천탕과 객실 내탕을 함께 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다.,direct_readable_existing_jalan,true,positive,rating_positive_signal,medium,issue_caution_calibration_needed
tosyoan-jalan-5,Jalan,Jalan,2025/9/23,5 5,https://www.jalan.net/yad331264/kuchikomi/,ja,423fb9ce80,lodging_direct,True,room_bath,room_bath_hot_spring;water_texture;booking_confusion,booking_confusion,温泉;由布岳;眺望;部屋;予約,객실탕을 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다; 송영·예약·안내 신호가 함께 보인다.,direct_readable_existing_jalan,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
tosyoan-jalan-6,Jalan,Jalan,2025/9/19,4 4,https://www.jalan.net/yad331264/kuchikomi/,ja,6c17fddb3b,lodging_direct,False,,water_texture;booking_confusion,booking_confusion,由布岳;予約,숙박 경험 중심 후기다; 유후다케 조망·수질 체감 표현이 붙는다; 송영·예약·안내 신호가 함께 보인다.,direct_readable_existing_jalan,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
tosyoan-jalan-7,Jalan,Jalan,2025/9/15,5 5,https://www.jalan.net/yad331264/kuchikomi/,ja,55177fec3b,lodging_direct,True,facility_wide,water_texture;booking_confusion,booking_confusion,由布岳;部屋;予約,숙소 온천을 넓게 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다; 송영·예약·안내 신호가 함께 보인다.,direct_readable_existing_jalan,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
tosyoan-jalan-8,Jalan,Jalan,2025/9/3,5 5,https://www.jalan.net/yad331264/kuchikomi/,ja,35008502d4,lodging_direct,True,facility_wide,water_texture;booking_confusion;operation_caution,booking_confusion;operation_caution,温泉;由布岳;部屋;虫;予約,숙소 온천을 넓게 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다; 송영·예약·안내 신호가 함께 보인다; 벌레·청결·동선 등 운영 주의가 보인다.,direct_readable_existing_jalan,true,mixed,body_negative_with_context,high,issue_caution_calibration_needed
tosyoan-jalan-9,Jalan,Jalan,2025/8/24,4 4,https://www.jalan.net/yad331264/kuchikomi/,ja,8f14a445cd,lodging_direct,False,,water_texture,,由布岳;部屋,숙박 경험 중심 후기다; 유후다케 조망·수질 체감 표현이 붙는다.,direct_readable_existing_jalan,true,positive,rating_positive_signal,medium,issue_caution_calibration_needed
tosyoan-jalan-10,Jalan,Jalan,2025/8/16,4 4,https://www.jalan.net/yad331264/kuchikomi/,ja,3706ef6dc0,lodging_direct,True,facility_wide,water_texture;booking_confusion,booking_confusion,温泉;源泉;由布岳;眺望;予約,숙소 온천을 넓게 언급한 후기다; 유후다케 조망·수질 체감 표현이 붙는다; 송영·예약·안내 신호가 함께 보인다.,direct_readable_existing_jalan,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
