canonical_name_ja,aliases,research_priority_seed,research_priority_score,priority_reasons,preliminary_status,lodging_type_guess,max_visible_ota_reviews,rakuten_review_count,jalan_review_count,bath_signal_keywords,discovered_sources,official_url,rakuten_url,jalan_url,official_room_text,official_bath_text,jalan_desc,source_checked_at
楓の小舎,楓の小舎 | 由布院温泉 楓の小舎,Tier 1 seed / 정밀조사 우선,119,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,907,275,907,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.yufuin-kaede.com,https://travel.rakuten.co.jp/HOTEL/72793/72793.html,https://www.jalan.net/yad332520/,離6（和3・和洋2・洋1） 全室内湯・露天付,露1（貸切）・全室岩盤浴付,4.7 907件 接客、朝食、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布院駅より車で５分。由布岳の麓に佇む隠れ宿。露天風呂、内湯完備の客室でのんびりとお過ごし下さい。お一人様用客室もございます。地元食材を使った料理はすべて手作りの拘り。 【アクセス】 湯布院ＩＣより車で８分。由布院駅よりタクシーで５分。 MAP,2026-06-30
湯布院別荘 四季彩ホテル,湯布院別荘 四季彩ホテル,Tier 1 seed / 정밀조사 우선,113,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,324,304,324,has_onsen_keyword | has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.yufuin-bessou.jp/,https://travel.rakuten.co.jp/HOTEL/141911/141911.html,https://www.jalan.net/yad331600/,洋29,露2・家2（露）,4.0 324件 接客、清潔感、夕食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 全室、35㎡以上の広い洋室 旬の食材をふんだんに使用した当館自慢の会席料理は絶品です。 無料駐車場30台 源泉掛け流し露天風呂と貸切風呂の湯彩をお楽しみ下さい。 【アクセス】 JR由布院駅より車で5分、徒歩25分、湯布院ＩＣより車で7分、大分空港より湯布院直行高速バスで55分。 MAP,2026-06-30
由布の癒 友里,由布の癒 友里 | 由布の癒 友里 ～大人2名様限定の全室露天付き離れ宿～,Tier 1 seed / 정밀조사 우선,109,official_ryokan_association | jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,912,,912,has_onsen_keyword | has_room_open_air | has_private_bath,official_ryokan_association | jalan_spot_list,https://hpdsp.jp/yuhri/,,https://www.jalan.net/yad382450/,離10（洋1・和洋9）,個室露・個室内風呂,4.3 912件 接客、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ◆全て趣の異なる離れ全１０室に内湯と源泉かけ流しの露天風呂◆１２時チェックアウト≪通常プラン≫◆１室大人２名様限定の隠れ家的癒し宿◆『由布の癒 友里』を是非ご堪能下さいませ＜全室Wi-Fi完備＞ 【アクセス】 大分自動車道 湯布院ICより車で約10分 MAP,2026-06-30
由布院ユウベルホテル,由布院ユウベルホテル,Tier 1 seed / 정밀조사 우선,109,official_ryokan_association | jalan_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,596,,596,has_onsen_keyword | has_public_bath,official_ryokan_association | jalan_spot_list,http://yufuin-ublhotel.jp/,,https://www.jalan.net/yad336879/,和27・和洋2・洋4（内湯付10）,内2・露2・サ2,4.2 596件 風呂、夕食、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 大分の絶景・由布院の麓、自然に抱かれた癒しの空間。全室から四季折々の景観を楽しめる贅沢な造り。源泉かけ流し温泉と豊後牛で五感を満たす。全室40平米以上の広い特別室は記念日やグループ旅行にも最適。 【アクセス】 JR由布院駅下車、車、タクシーで５分 MAP,2026-06-30
由布岳一望の宿 美星,由布院温泉 由布岳一望の宿 美星〜きらら〜 | 由布岳一望の宿 美星,Tier 1 seed / 정밀조사 우선,105,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_50_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,178,178,,has_onsen_keyword | has_room_open_air,rakuten_area_list | official_ryokan_association | jalan_spot_list,https://kirara-yufuin.jp/,https://travel.rakuten.co.jp/HOTEL/80661/80661.html,https://www.jalan.net/yad393248/,離2 和洋7,各部屋にあり,～客室すべて源泉かけ流しの半露天風呂付き～客室温泉からは由布岳の望みます。 おおいた和牛や関さばなど大分を代表する食材と、自社農園のとれたて野菜を使った季節の会席料理をお楽しみください。 【アクセス】 由布院駅から車で5分(送迎アリ：予約制) 湯布院インターから617号線経由15分 MAP,2026-06-30
草庵 秋桜,草庵 秋桜 | 由布院温泉 草庵秋桜 | 草庵 秋桜（そうあん こすもす）,Tier 1 seed / 정밀조사 우선,105,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_50_plus | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,195,195,,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.yufuin-kosumosu.jp/,https://travel.rakuten.co.jp/HOTEL/139452/139452.html,https://www.jalan.net/yad316085/,和6・洋1・離6 （離・全室露天付）,露2・内2・家2,【ミシュランガイド2018熊本・大分版にて4レッドパビリオン認定】豪華観光列車ななつ星を手掛けた水戸岡鋭治トータルデザイン。「金鱗湖」や「湯の坪街道」にほど近く、それでいて、静かな佇まいの宿。 【アクセス】 大分空港よりお車・高速バスご利用で約５０分。由布院駅より徒歩約１５分・お車約５分。 MAP,2026-06-30
御宿 八遇來,御宿 八遇來 | 由布院温泉 御宿 八遇來 | 露天風呂付き客室 湯布院 御宿 八遇來（おんじゅく やぐら）,Tier 1 seed / 정밀조사 우선,103,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,209,139,209,has_room_open_air | has_public_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://onjukuyagura.com/,https://travel.rakuten.co.jp/HOTEL/44895/44895.html,https://www.jalan.net/yad331808/,和9・和洋1（全室露天風呂付）,内2・露2,4.6 209件 夕食、接客、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 特撰和牛や地鶏の炭火焼・手造り豆腐など、旬の素材をアレンジした創作料理は、体にも優しくホッと寛げる。全室には掛流しの露天風呂付で、他のお客様との接触はご心配なし！湯布院ならではの贅沢をご堪能！ 【アクセス】 大分自動車道湯布院ICより車で10分。由布院駅より車で５分。 MAP,2026-06-30
由布院ZEN,由布院ZEN | 由布院 ＺＥＮ,Tier 1 seed / 정밀조사 우선,101,official_ryokan_association | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,261,,261,has_onsen_keyword | has_room_open_air | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.hanare-yufuin-zen.com/,,https://www.jalan.net/yad348816/,和洋10,全室半露天風呂付,4.7 261件 接客、清潔感、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ◆由布院盆地一望の【絶景の個室】でお食事。◆「全室・一戸建て離れ」【１００％源泉・かけ流し】の客室の温泉 スロープ、エレベーター有り。【料理の鉄人】から推薦されたシェフ監修の宿 【アクセス】 九州自動車道湯布院インターから車で５分・ＪＲ由布院駅から車で５分 MAP,2026-06-30
御宿 由府両築,御宿 由府両築 | 大正ロマンの宿 御宿 由府両築,Tier 1 seed / 정밀조사 우선,99,official_ryokan_association | jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,650,,650,has_onsen_keyword | has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://hpdsp.jp/yufuin-ryoutiku/,,https://www.jalan.net/yad309147/,和5・和洋1・離1（檜風呂付）・ 特室1（露天付）,内2・露2,4.7 650件 朝食、接客、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 大正14年創業、築約百年の古民家を活かした小さな湯宿。湯の坪街道沿いでも静かで、源泉かけ流し貸切風呂は24時間自由。 時の重なりを感じる空間で日常を忘れ、心ほどけるひとときをゆっくりどうぞ。 【アクセス】 JR由布院駅から徒歩10分、湯布院ICより車で7分、湯布院の中心・湯の坪街道まで徒歩30秒 MAP,2026-06-30
旅の宿 ぽっぽ庵,旅の宿 ぽっぽ庵,Tier 1 seed / 정밀조사 우선,99,official_ryokan_association | jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,707,,707,has_onsen_keyword | has_room_open_air | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.poppoan.com/,,https://www.jalan.net/yad316662/,和1・離4（半露天付）,家2（露天付）,4.6 707件 風呂、朝食、夕食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院盆地の田園を見渡せる場所にある静かな宿。全6室のうち4室は離れ形式になっていて半露天温泉付。他に内湯、露天の貸切風呂もあり良質な源泉かけ流し100%のお湯はお肌がスベスベと評判のアルカリ温泉。 【アクセス】 由布院駅よりタクシー３分。大分自動車道由布院ICから車で８分 MAP,2026-06-30
