slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status
dogo-honkan,道後温泉本館,도고온천 본관,dogo,愛媛県,historic_public_bath,Tier 1,"역사형 공중탕 대표, 요금/영업시간/예약 가능 구역 분리 신호","Dogo official honkan and time pages",needs_review_pool_crosscheck
dogo-asukanoyu,道後温泉別館 飛鳥乃湯泉,도고온천 별관 아스카노유,dogo,愛媛県,historic_public_bath,Tier 1,"신탕 콘셉트 외탕, 특별욕실/예약 신호 후보","Dogo official Asuka no Yu page",needs_review_pool_crosscheck
dogo-tsubakinoyu,道後温泉 椿の湯,도고온천 츠바키노유,dogo,愛媛県,historic_public_bath,Tier 1,"시민 친화 공중탕, 무가온·무가수 원천가케나가시 신호","Dogo official Tsubaki no Yu page",needs_review_pool_crosscheck
shirahama-sakinoyu,崎の湯,사키노유,shirahama,和歌山県,open_air_public_bath,Tier 1,"바다 바로 앞 최고 조망 노천, 샴푸/비누 사용 불가, 계절별 시간","Shirahama town official page",needs_review_pool_crosscheck
shirahama-muronoyu,牟婁の湯,무로노유,shirahama,和歌山県,historic_public_bath,Tier 1,"외탕巡り 핵심 공중탕, 두 원천 비교 후보","Nanki Shirahama tourism onsen page",needs_review_pool_crosscheck
shirahama-shirasunayu,露天風呂しらすな / しらすな足湯,시라스나 노천탕/족탕,shirahama,和歌山県,open_air_public_bath,Tier 2,"해변형 노천/족탕, 계절성·수영복 여부 확인 후보","Nanki Shirahama tourism onsen page",needs_official_detail_crosscheck
shirahama-shirarayu,白良湯,시라라유,shirahama,和歌山県,historic_public_bath,Tier 2,"시라하마 외탕, 관광객/로컬 공중탕 신호 후보","Nanki Shirahama tourism onsen page",needs_review_pool_crosscheck
shirahama-matsunoyu,松乃湯,마쓰노유,shirahama,和歌山県,historic_public_bath,Tier 2,"시라하마 외탕, 가격/어메니티 신호 후보","Nanki Shirahama tourism onsen page",needs_review_pool_crosscheck
shirahama-toretore,とれとれの湯,토레토레노유,shirahama,和歌山県,large_day_use_complex,Tier 1,"식음/시장 관광동선형 대형 당일온천 후보","Nanki Shirahama tourism onsen page",needs_review_pool_crosscheck
shirahama-tsubaki-hananoyu,道の駅 椿はなの湯,쓰바키 하나노유,shirahama,和歌山県,public_bath_facility,Tier 2,"도노에키 온천, 족탕/당일입욕 후보","Nanki Shirahama tourism onsen page",needs_review_pool_crosscheck
yugawara-soyu,湯河原惣湯 Books and Retreat,유가와라 소유,yugawara,神奈川県,wellness_spa,Tier 1,"사전예약제 소유테라스, 원천가케나가시, 2025-10-14부터 휴업 예정 공지","Yugawara tourism and official pages",needs_current_operation_crosscheck
yugawara-kogomenoyu,こごめの湯,코고메노유,yugawara,神奈川県,public_bath_facility,Tier 1,"만요공원 입구 당일온천, 관광동선·공중탕 신호 후보","Official Kogome no Yu page",needs_review_pool_crosscheck
yugawara-mamane,湯河原温泉 ままねの湯,마마네노유,yugawara,神奈川県,historic_public_bath,Tier 2,"로컬 공동탕/원천 신호 후보","Yugawara day-use seed",needs_source_crosscheck
yugawara-izuminoyu,ニューウェルシティ湯河原 いずみの湯,이즈미노유,yugawara,神奈川県,large_day_use_complex,Tier 2,"대형 당일온천·숙박 겸용 시설 후보","Yugawara day-use seed",needs_source_crosscheck
kawaguchiko-yurari,富士眺望の湯 ゆらり,후지조망탕 유라리,kawaguchiko,山梨県,large_day_use_complex,Tier 1,"후지산 조망 16종 욕조, 식음/휴게, 손빈방문 가능 신호","Official/Yamanashi tourism pages",needs_review_pool_crosscheck
kawaguchiko-kaiun,河口湖温泉 寺露天風呂の宿 夢殿 日帰り候補,카와구치코 고급숙 당일입욕 후보,kawaguchiko,山梨県,hotel_dayuse_bath,Tier 3,"고급숙 일일입욕 가능성 확인 후보","Kawaguchiko lodging exposure",needs_source_crosscheck
