scope,slug,name_ja,area_slug,candidate_status,backlog_bucket,next_action
izu_shizuoka,ito-yumenoya,全室半露天付 離れ御宿 夢のや,ito-izu,ready;split_needed;operation_recheck,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-akazawa-geihinkan,赤沢迎賓館,ito-izu,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-uchiyama,お宿うち山 伊豆高原 全室露天風呂付き隠れ宿,ito-izu,ready,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-kamenoi-izukogen,亀の井ホテル 伊豆高原,ito-izu,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-anda-resort,ホテル＆スパ アンダリゾート伊豆高原,ito-izu,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-fugetsumuhen,御宿 風月無辺,ito-izu,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-kissho-carens,吉祥CAREN,ito-izu,ready;split_needed;operation_recheck,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-zagyo-so,ABBA RESORTS IZU - 坐漁荘,ito-izu,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-il-azzurri,il azzurri,ito-izu,ready,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,ito-atagawa-suiko,伊豆リトリート 熱川粋光 by 温故知新,ito-izu,ready,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,izu-nagaoka-yoshiharu,湯めぐりの宿 吉春,izu-nagaoka,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,izu-nagaoka-sanyo-so,三養荘,izu-nagaoka,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
izu_shizuoka,izu-nagaoka-ishinoya,石のや 伊豆長岡,izu-nagaoka,ready;split_needed,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
tohoku,nyuto-tsurunoyu-yamanoyado,鶴の湯別館 山の宿,nyuto,ready,딥리서치 원천 없음,숙소별 구조화 표본을 확보한 뒤 판정 seed를 재생성합니다.
