slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
kurokawa-gekkoujyu,黒川温泉御処 月洸樹,Gekkoju,kurokawa,熊本県,luxury ryokan,Tier 1,고급 객실 노천탕과 프라이빗 체류 신호,Ikkyu Kurokawa room-open-air source,needs_official_crosscheck
kurokawa-okunoyu,黒川温泉 旅館奥の湯,Ryokan Okunoyu,kurokawa,熊本県,ryokan,Tier 1,대형 노천과 객실탕 후보 신호,MyBest and Rakuten Kurokawa sources,needs_official_crosscheck
kurokawa-sanga,黒川温泉 旅館山河,Ryokan Sanga,kurokawa,熊本県,ryokan,Tier 1,자연형 노천탕과 탕순례 후보 신호,Kurokawa regional ranking source,needs_source_crosscheck
kurokawa-noshiyu,黒川温泉 お宿 のし湯,Oyado Noshiyu,kurokawa,熊本県,ryokan,Tier 1,정원형 노천과 숙박자 온천경험 후보,Kurokawa regional ranking source,needs_source_crosscheck
kurokawa-kounoyu,黒川温泉 こうの湯,Kounoyu,kurokawa,熊本県,ryokan,Tier 1,노천탕과 대절탕 후보 신호,Kurokawa day-use status and regional ranking,needs_official_crosscheck
kurokawa-kurokawaso,黒川温泉 黒川荘,Kurokawaso,kurokawa,熊本県,ryokan,Tier 1,대형 노천과 자연 온천경험 후보,Kurokawa official day-use status source,needs_official_crosscheck
kurokawa-kiyashiki,黒川温泉 いやしの里 樹やしき,Iyashi no Sato Kiyashiki,kurokawa,熊本県,ryokan,Tier 1,전망 노천과 대절탕 후보 신호,Kurokawa official day-use status source,needs_official_crosscheck
kurokawa-yumotoso,黒川温泉 湯本荘,Yumotoso,kurokawa,熊本県,ryokan,Tier 2,강변 노천탕과 온천마을 접근성 후보,Kurokawa regional source,needs_source_crosscheck
kurokawa-yumerindo,黒川温泉 夢龍胆,Yumerindo,kurokawa,熊本県,ryokan hotel,Tier 2,대욕장과 노천탕 후보 신호,Kurokawa regional source,needs_source_crosscheck
kurokawa-ikoi,黒川温泉 いこい旅館,Ikoi Ryokan,kurokawa,熊本県,ryokan,Tier 1,명물 노천탕과 탕순례 후보 신호,Kurokawa regional ranking source,needs_source_crosscheck
