kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,candidate_status,initial_tier,property_or_facility_type,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,directly_read_reviews,onsen_related_direct_reviews,verification_result,next_status_raw,normalization_notes,source_urls,source_verification_file,source_master_file
accommodation,28,hakone-byakudan,箱根強羅 白檀,Hakone Gora Byakudan,hakone,神奈川県,ready,Tier 1,luxury ryokan,https://www.byakudan.co.jp/,https://travel.rakuten.co.jp/HOTEL/153496/review.html,https://www.ikyu.com/00002343/review/,公式で全16室源泉掛け流し露天風呂と大浴場へ自家源泉供給を確認,Rakuten visible 77 reviews in search surface,0,0,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,객실노천·원천가케나가시 신호가 강함. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.byakudan.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/153496/review.html ; https://www.ikyu.com/00002343/review/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,29,hakone-fontainebleau,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,hakone,神奈川県,ready,Tier 1,auberge ryokan,https://www.fontenu-hakone.com/,https://www.fontenu-hakone.com/room/,https://www.hakone.or.jp/331,公式で全室露天風呂付き・源泉100%かけ流し白濁湯を確認。箱根観光協会で全13室の展望露天風呂を確認,review count not locked,0,0,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,오베르주형이라 식사 평가와 온천 평가를 분리할 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.fontenu-hakone.com/ ; https://www.fontenu-hakone.com/room/ ; https://www.hakone.or.jp/331,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,30,hakone-gen-gora,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,ready,Tier 1,luxury ryokan,https://www.gen-hakone.com/,https://www.hakone-ryokan.or.jp/search/00517/,https://www.489pro.com/asp/489/menu.asp?id=14000045&lan=JPN&ty=ser,箱ぴたで全18室すべて源泉かけ流し露天風呂付きと確認,review count not locked,0,0,official_and_association_bath_surface_confirmed,needs_review_pool_count,공식 사이트 본문보다 협회/예약表면에서 bath detail이 더 선명. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.gen-hakone.com/ ; https://www.hakone-ryokan.or.jp/search/00517/ ; https://www.489pro.com/asp/489/menu.asp?id=14000045&lan=JPN&ty=ser,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,31,hakone-ginyu,箱根吟遊,Hakone Ginyu,hakone,神奈川県,ready,Tier 1,luxury ryokan,https://www.hakoneginyu.co.jp/,https://www.hakoneginyu.co.jp/guestroom.html,https://www.hakone.or.jp/337,公式で全室露天風呂付き客室を確認。箱根観光協会でも全室専用露天風呂表面確認,review count not locked,0,0,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,전실 객실노천형. 객실별 전망/프라이버시 후기 가치 큼. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.hakoneginyu.co.jp/ ; https://www.hakoneginyu.co.jp/guestroom.html ; https://www.hakone.or.jp/337,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,32,hakone-gora-kadan,強羅花壇,Gora Kadan,hakone,神奈川県,ready|split_needed,Tier 1,luxury ryokan,https://www.gorakadan.com/,https://www.hakone.or.jp/1681,https://otonatabi-japan.com/stay/gorakadan/,公式で高級旅館 identity 확인. 관광/외부 표면에서 일부 객실源泉かけ流し露天風呂 후보 확인,review count not locked,0,0,official_identity_confirmed_bath_partial,needs_room_type_bath_detail_check,일부 객실형으로 보이며 전실로 오해하면 안 됨. / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.gorakadan.com/ ; https://www.hakone.or.jp/1681 ; https://otonatabi-japan.com/stay/gorakadan/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,33,hakone-gora-karaku,箱根・強羅 佳ら久,Hakone Gora Karaku,hakone,神奈川県,ready,Tier 1,luxury ryokan,https://gora-karaku.orixhotelsandresorts.com/,https://www.ikyu.com/00002805/,https://www.tabiulala.com/odahako/spot357/,公式で全70室温泉露天風呂を確認。Ikkyu visible 362 reviews in search surface,Ikkyu visible 362 reviews,0,0,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,全室温泉露天+展望露天+貸切風呂의 복합형. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://gora-karaku.orixhotelsandresorts.com/ ; https://www.ikyu.com/00002805/ ; https://www.tabiulala.com/odahako/spot357/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,34,hakone-kanaya-resort,KANAYA RESORT HAKONE,KANAYA RESORT HAKONE,hakone,神奈川県,ready,Tier 1,luxury resort ryokan,https://hakonekanaya.com/,https://www.hakone.or.jp/4872,https://www.ikyu.com/00002486/,公式で全14室の温泉リゾート identity 확인. 箱根観光協会で14室それぞれに源泉かけ流し温泉風呂を確認,review count not locked,0,0,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,露天/内風呂 표현이 표면별로 다르므로 room detail 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://hakonekanaya.com/ ; https://www.hakone.or.jp/4872 ; https://www.ikyu.com/00002486/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,35,hakone-kowakien-tenyu,箱根小涌園 天悠,Hakone Kowakien Ten-yu,hakone,神奈川県,ready,Tier 1,large resort ryokan,https://www.ten-yu.com/,https://www.hakone.or.jp/3676,https://www.hakone-ryokan.or.jp/search/01389/,公式で全客室温泉露天風呂付きと大浴場「浮雲の湯」を確認. 箱ぴたで150室すべて露天風呂付きと確認,review count not locked,0,0,official_and_association_bath_surface_confirmed,needs_review_pool_count,대형 전실노천 숙소. 리뷰풀 볼륨 클 가능성 높음. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.ten-yu.com/ ; https://www.hakone.or.jp/3676 ; https://www.hakone-ryokan.or.jp/search/01389/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,36,hakone-matsuzakaya,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,ready,Tier 1,traditional ryokan,https://kinnotake-resorts.com/matsuzakayahonten/?lang=ja,https://kinnotake-resorts.com/matsuzakayahonten/room/,https://www.hakone-ryokan.or.jp/search/00557/,公式で全21室・露天風呂付客室/離れ/メゾネット等を確認。箱ぴたで一部温泉付客室・貸切風呂5・源泉かけ流しを確認,review count not locked,0,0,official_and_association_bath_surface_confirmed,needs_review_pool_count,全室温泉付ではなく一部温泉付客室. 貸切風呂와 구분. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://kinnotake-resorts.com/matsuzakayahonten/?lang=ja ; https://kinnotake-resorts.com/matsuzakayahonten/room/ ; https://www.hakone-ryokan.or.jp/search/00557/,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
accommodation,37,hakone-suisyoen,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,ready,Tier 1,luxury ryokan,https://www.hakonesuishoen.jp/,https://www.hakone-ryokan.or.jp/search/00512/,https://www.hakone.or.jp/325,公式で自家源泉の客室露天風呂を確認。箱ぴたで全23室源泉掛け流し自家源泉露天風呂を確認,review count not locked,0,0,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,전실 스위트 객실노천형. 대욕장/사우나도 별도. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.hakonesuishoen.jp/ ; https://www.hakone-ryokan.or.jp/search/00512/ ; https://www.hakone.or.jp/325,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv,nationwide_accommodation_master_v0_6_2026-07-03.csv
