sample_id,platform,provider,review_date,rating,source_url,language,author_hash,lodging_context,onsen_related,bath_area_tags,signal_tags,caution_tags,original_keywords,paraphrase_ko,source_access,included_in_lodging_direct_count,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
enokiya-rakuten_travel-33123477713380,Rakuten Travel,Rakuten Travel,2026-05-26,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,6abf0facf3,lodging_direct,True,private_bath,private_bath_experience;crowding,room_no_shower_or_small_wet_area;pet_friendly_context,貸切風呂;貸切;湯;シャワー;部屋にシャワーがない,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477605129,Rakuten Travel,Rakuten Travel,2026-05-12,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,a71c422a0f,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477398314,Rakuten Travel,Rakuten Travel,2026-04-16,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,923f9936a7,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477988542,Rakuten Travel,Rakuten Travel,2026-06-29,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,5048279ee4,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477814998,Rakuten Travel,Rakuten Travel,2026-06-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,824637f704,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477594086,Rakuten Travel,Rakuten Travel,2026-05-10,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,5b8393ffdc,lodging_direct,True,private_bath,private_bath_experience,,露天風呂;露天,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477482304,Rakuten Travel,Rakuten Travel,2026-04-27,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,facility_wide,water_texture,pet_friendly_context,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 원천·수질 체감 표현이 포함된다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477419982,Rakuten Travel,Rakuten Travel,2026-04-19,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,ad79b4954e,lodging_direct,False,,,,予約,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477388656,Rakuten Travel,Rakuten Travel,2026-04-15,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477348586,Rakuten Travel,Rakuten Travel,2026-04-10,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,aff3507c3b,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123478055518,Rakuten Travel,Rakuten Travel,2026-07-07,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,12866f8813,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477953398,Rakuten Travel,Rakuten Travel,2026-06-25,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,12866f8813,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477815109,Rakuten Travel,Rakuten Travel,2026-06-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,824637f704,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477815058,Rakuten Travel,Rakuten Travel,2026-06-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,824637f704,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
