slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
arima-kin-no-yu,有馬本温泉 金の湯,아리마 금탕,arima,兵庫県,historic_public_bath,day_use_onsen,Tier 1,ready,"금천 공중탕, 온천감/혼잡 신호 후보",footbath;public_bath,Nifty review surface exists but count not locked,https://arimaspa-kingin.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten Top20 area seed,needs_official_crosscheck,0,0,https://arimaspa-kingin.jp/ ; https://www.feel-kobe.jp/facilities/0000000063/ ; https://onsen.nifty.com/arimaonsen-onsen/onsen005630/,공식/관광 표면에서 금泉 외탕 및 무료 족욕 병설 신호 확인 | 아리마 시설형 핵심 후보. 혼잡/대기/온도/관광객 기대차 확인 필요. | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_review_pool_count
arima-suzurannoyu,有馬街道温泉すずらんの湯,아리마가도온천 스즈란노유,arima,兵庫県,large_day_use_complex,day_use_onsen,Tier 1,ready,"대형 노천, 원천가케나가시, 허브욕/요모기찜",open_air_public_bath;public_bath,Nifty review surface exists but count not locked,https://suzurannoyu.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,0,0,https://suzurannoyu.jp/ ; https://onsen.nifty.com/arimaonsen-onsen/onsen006827/ ; https://page.line.me/317bckhc,공식에서 신戸最大級露天風呂와 日帰り温泉 정체성 확인 | 대형 당일온천형. 가격/혼잡/암반욕/요모기찜 등 상품 분리 필요. | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_review_pool_count
arima-taikounoyu,有馬温泉 太閤の湯,아리마 온천 타이코노유,arima,兵庫県,large_day_use_complex,day_use_onsen,Tier 1,ready,금천·은천·혼합탕·탄산천·증기탕·사우나,public_bath,Nifty shows current 2026 review bodies in search/opened surface,https://www.taikounoyu.com/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,0,0,https://www.taikounoyu.com/ ; https://onsen.nifty.com/arimaonsen-onsen/onsen003229/ ; https://www.arima-onsen.com/pickup/59/996/,공식/관광 표면에서 金泉 포함 26종 욕장·岩盤浴 복합시설 확인 | 시설형 데이터 가치 큼. 혼잡·쿠폰·주차·체류시간·암반욕 신호를 별도 태그. | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_deep_facility_sampling
kinosaki-goshono-yu,城崎温泉 御所の湯,Goshono-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,노천과 정원 이미지가 강한 대표 외탕,open_air_public_bath,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/,기노사키 7외탕 공식 페이지에 포함. 공통泉質/온도와 외탕패스 정보 확인 | 개별 외탕 URL/지도 URL 분리가 필요. 현재 운영/혼잡 페이지는 매우 중요. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-ichino-yu,城崎温泉 一の湯,Ichino-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,동굴탕과 대표 외탕 순례 신호,public_bath;family_bath_or_private_bath_unclear,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/ ; https://kinosaki-onsen.wixsite.com/kinosaki-onsen,기노사키 7외탕 공식 페이지에 포함. 가족風呂 이용중지 신호는 별도 운영공지 표면에서 확인 | 가족탕 이용중지 같은 운영 신호가 서비스 가치 높음. 최신 공식성 재확인 필요. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-jizou-yu,城崎温泉 地蔵湯,Jizo-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,기노사키 칠외탕 중 가족형 상징탕,public_bath;family_bath_or_private_bath_unclear,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/ ; https://kinosaki-onsen.wixsite.com/kinosaki-onsen,기노사키 7외탕 공식 페이지에 포함. 가족風呂 이용중지 신호는 별도 운영공지 표면에서 확인 | 일의탕과 함께 가족탕 혼선 가능성 확인 필요. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-kouno-yu,城崎温泉 鴻の湯,Kouno-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,기노사키 발상지 전승과 노천탕 후보,open_air_public_bath,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/,기노사키 7외탕 공식 페이지에 포함. 혼잡상황/휴탕 상태 확인 가능한 공식 페이지 존재 | 휴탕/혼잡 변동성이 커서 최신 운영 확인 필수. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-mandara-yu,城崎温泉 まんだら湯,Mandara-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,칠외탕 순례와 작은 탕 기대차 후보,public_bath,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/,기노사키 7외탕 공식 페이지에 포함. 외탕패스 및 공식 혼잡상황 페이지 존재 | 개별 지도 URL과 리뷰풀 분리 필요. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-satono-yu,城崎温泉 さとの湯,Satono-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,기노사키 외탕 순례의 역앞 대형탕,public_bath,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/,기노사키 7외탕 공식 페이지에 포함. 외탕패스 및 공식 혼잡상황 페이지 존재 | 역앞 대형 외탕으로 별도 리뷰풀 가치 큼. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
kinosaki-yanagi-yu,城崎温泉 柳湯,Yanagi-yu,kinosaki,兵庫県,historic_public_bath,day_use_onsen,Tier 1,hold,소형 외탕과 온천가 순례 후보,public_bath,review count not checked; official congestion page exists,https://kinosaki-spa.gr.jp/about/spa/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Kinosaki tourism source,needs_official_crosscheck,0,0,https://kinosaki-spa.gr.jp/about/spa/ ; https://kinosaki-spa.gr.jp/congestion/,기노사키 7외탕 공식 페이지에 포함. 외탕패스 및 공식 혼잡상황 페이지 존재 | 소형 외탕일 가능성이 있어 혼잡/대기 리뷰 신호를 별도 확인. | verification_result=official_route_confirmed | next_status_raw=needs_individual_review_pool_count
