slug,region_group,region,area,previous_display_name_ko,verified_display_name_ko,name_ja,name_en,aliases_ko,name_verification_status,review_note
toyako-lake-suite-konosisu,hokkaido,hokkaido-toyako,홋카이도 hokkaido-toyako,ザ・レイクスイート湖の栖,더 레이크 스위트 고노스미카,ザ・レイクスイート湖の栖,,더 레이크 스위트 고노스미카 | 도야코 더 레이크 스위트 고노스미카 | 더 레이크 스위트 코노스미카,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
jozankei-grand-blissen,hokkaido,jozankei,홋카이도 jozankei,グランドブリッセンホテル定山渓,그랜드 블리센 호텔 조잔케이,グランドブリッセンホテル定山渓,,그랜드 블리센 호텔 조잔케이 | 조잔케이 그랜드 블리센 호텔,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
jozankei-chalet-ivy,hokkaido,jozankei,홋카이도 jozankei,シャレーアイビー定山渓,샬레 아이비 조잔케이,シャレーアイビー定山渓,,샬레 아이비 조잔케이 | 조잔케이 샬레 아이비,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
jozankei-suizantei,hokkaido,jozankei,홋카이도 jozankei,定山渓第一寶亭留 翠山亭,조잔케이 다이이치 호텔 스이잔테이,定山渓第一寶亭留 翠山亭,,조잔케이 다이이치 호텔 스이잔테이 | 조잔케이 스이잔테이 | 스이잔테이,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-mahoroba,hokkaido,noboribetsu,홋카이도 noboribetsu,ホテルまほろば,호텔 마호로바,ホテルまほろば,,호텔 마호로바 | 노보리베츠 호텔 마호로바,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-hanayura,hokkaido,noboribetsu,홋카이도 noboribetsu,旅亭 花ゆら,료테이 하나유라,旅亭 花ゆら,,료테이 하나유라 | 노보리베츠 하나유라,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-bourou-noguchi,hokkaido,noboribetsu,홋카이도 noboribetsu,望楼NOGUCHI登別,보로 노구치 노보리베츠,望楼NOGUCHI登別,,보로 노구치 노보리베츠 | 노보리베츠 보로 노구치,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-manseikaku,hokkaido,noboribetsu,홋카이도 noboribetsu,登別万世閣,노보리베츠 만세이카쿠,登別万世閣,,노보리베츠 만세이카쿠 | 호텔 노보리베츠 만세이카쿠,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-takinoya,hokkaido,noboribetsu,홋카이도 noboribetsu,登別温泉郷 滝乃家,노보리베츠 타키노야,登別温泉郷 滝乃家,,노보리베츠 타키노야 | 타키노야,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
noboribetsu-grand,hokkaido,noboribetsu,홋카이도 noboribetsu,祝いの宿 登別グランドホテル,노보리베츠 그랜드 호텔,祝いの宿 登別グランドホテル,,노보리베츠 그랜드 호텔 | 노보리베츠 그랜드,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
