slug,region_group,display_name_ko,level,direct,onsen_related,platform_count,item_count,source_family,recommended_status,severity,issue_count,issue_codes,next_action,accommodation_source_file,verdict_source_file
dogo-funaya,chugoku_shikoku,도고온천 후나야,full,535,277,5,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
dogo-miyu,chugoku_shikoku,도고 미유,lite,344,239,6,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
dogo-yachiyo,chugoku_shikoku,도고온천 야치요,lite,323,196,7,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
kaike-yugetsu,chugoku_shikoku,가이케 유게츠,lite,542,290,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
misasa-izanro-iwasaki,chugoku_shikoku,이잔로 이와사키,full,372,253,7,4,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
misasa-mansuirou,chugoku_shikoku,미사사 만스이로,full,579,319,6,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
tamatsukuri-chorakuen,chugoku_shikoku,초라쿠엔,full,304,238,6,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
tamatsukuri-kasuien-minami,chugoku_shikoku,가스이엔 미나미,full,606,320,4,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
tamatsukuri-konya,chugoku_shikoku,호텔 교쿠센,full,680,360,5,4,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
tamatsukuri-yunosuke,chugoku_shikoku,다마쓰쿠리 그랜드 호텔 조세이카쿠,lite,599,336,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
