slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
akiu-hananoyu-dayuse,ホテル華乃湯 日帰り温泉,호텔 하나노유 당일온천,akiu,宮城県,hotel_dayuse_bath,bathe,Tier 1,operation_recheck;ready,"아키우 당일온천 추천 노출, 노천/대욕장 후보",open_air_public_bath;private_bath_or_family_bath_unclear;public_bath,Nifty/Jalan surfaces include day-use praise and negative chlorine/food/room condition signals,https://www.hananoyu.com/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Jalan/Akiu day-use exposure,needs_review_pool_crosscheck,0,0,https://www.hananoyu.com/ ; https://onsen.nifty.com/akiu-onsen/onsen005521/kuchikomi/ ; https://www.jalan.net/kankou/spt_guide000000181928/kuchikomi/,공식/시설 주장: 公式で4ヶ所の湯めぐり、源泉掛け流し貸切露天風呂、客室露天風呂を確認 日帰り温泉候補だが宿泊レビュー混入注意。貸切露天/湯めぐり/塩素臭 신호를 분리 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
akiu-zuiho-dayuse,ホテル瑞鳳 日帰り温泉,호텔 즈이호 당일온천,akiu,宮城県,hotel_dayuse_bath,bathe,Tier 1,operation_recheck,"대형 호텔 당일온천 후보, 운영일/혼잡 확인 필요",open_air_public_bath;public_bath,Nifty/JTB/地域ブログ surfaces exist; crowding and temperature variation signals visible,https://www.zuiho.jp/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Akiu day-use seed,needs_official_detail_crosscheck,0,0,https://www.zuiho.jp/ ; https://onsen.nifty.com/akiu-onsen/onsen005520/ ; https://www.jtb.co.jp/kokunai-hotel/htl/2417020/review/ ; https://mrs.living.jp/sendai/town_gourmet/reporter/4549464,공식/시설 주장: 公式で秋保温泉ホテルとして確認。口コミ/紹介面で大浴場、複数露天、立湯、ジャグジー、サウナ、日帰り昼食プラン表面あり ホテル日帰り枠。公式에서 최신 일귀리条件/料金을 추가 확인해야 함 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
ginzan-shirogane-yu,銀山温泉 しろがね湯,Shirogane-yu,ginzan,山形県,public_bath_facility,bathe,Tier 1,operation_recheck,온천가 중심 소형 공중탕 후보,public_bath,review count not locked,https://yamagatakanko.com/attractions/detail_10833.html,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,regional tourism source,needs_official_crosscheck,0,0,https://yamagatakanko.com/attractions/detail_10833.html ; https://www.city.obanazawa.yamagata.jp/kanko/kankochi/1346 ; https://www.ginzanonsen.jp/,공식/시설 주장: 山形観光/尾花沢市で銀山温泉共同浴場・営業時間・料金を確認 過去休業告知가 있어 최신 운영 확인 필요. 검증 배치: tier1_verification_batch_01_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
ginzan-warashiyu,銀山温泉 和楽足湯,Warashi-yu,ginzan,山形県,footbath,footbath,Tier 1,footbath_only,상징 온천가 무료 족욕과 야경 동선 후보,footbath,Jalan/4travel/Nifty surfaces exist; crowding and temperature variability signals visible,https://www.gltjp.com/ja/directory/item/14617/,전신 입욕 시설이 아닌 족탕/스톱오버 후보로 분리 유지,regional tourism source,needs_source_crosscheck,0,0,https://www.gltjp.com/ja/directory/item/14617/ ; https://www.jalan.net/kankou/spt_guide000000177519/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11352531 ; https://onsen.nifty.com/tendou-onsen/onsen006504/,공식/시설 주장: 観光公式系で銀山温泉街の無料足湯、夜まで利用可能な足湯として確認 footbath_only。フル浴場と比較せず、温泉街 stopover 価値として扱う 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
kaminoyama-shimo-oyu,かみのやま温泉 下大湯,Shimo-Oyu,kaminoyama,山形県,historic_public_bath,bathe,Tier 1,ready,가미노야마 대표 공동탕과 현지 이용 후보,public_bath,"Nifty/4travel/note surfaces mention very local old public bath, tourist/family expectation mismatch, shower/washing fee local rule, hot water",https://yamagatakanko.com/attractions/detail_10389.html,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional tourism source,needs_source_crosscheck,0,0,https://yamagatakanko.com/attractions/detail_10389.html ; https://onsen.nifty.com/kaminoyama-onsen/onsen000715/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11291771 ; https://note.com/shousanote/n/n6871b29d4463,공식/시설 주장: 山形観光公式で沢庵禅師も入浴したとされる最古級共同浴場、あつゆ・ぬるゆの広い浴槽を確認 historic_public_bath。洗髪券/シャワー/ローカルルール/熱湯を施設モデルに入れる 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
zao-dai-rotenburo,蔵王温泉 大露天風呂,Zao Dai Rotenburo,zao-yamagata,山形県,open_air_public_bath,bathe,Tier 1,hold,강산성 유황 대노천과 계절 운영 후보,public_bath,review count not locked,https://www.jupeer-zao.com/roten/,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",regional tourism source,needs_official_crosscheck,0,0,https://www.jupeer-zao.com/roten/ ; https://zaomountainresort.com/author/dairoten/ ; https://yamagatakanko.com/attractions/detail_2764.html,"공식/시설 주장: 公式/観光で源泉掛け流し強酸性硫黄泉・冬季休業・シャワー石鹸なしを確認 샤워/비누 없음, 겨울휴업, 강산성 온천이라는 기대차가 핵심. 검증 배치: tier1_verification_batch_01_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음."
zao-shinzaemon-no-yu,蔵王温泉 新左衛門の湯,Shinzaemon no Yu,zao-yamagata,山形県,public_bath_facility,bathe,Tier 1,operation_recheck,관광객 친화적 당일 유황온천 후보,open_air_public_bath;public_bath,review count not locked,https://zaospa.co.jp/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,regional tourism source,needs_official_crosscheck,0,0,https://zaospa.co.jp/ ; https://yamagatakanko.com/attractions/detail_10819.html ; https://zaomountainresort.com/post-6087/,공식/시설 주장: 公式/山形観光で源泉100%露天風呂・四六合わせ湯・かめ湯・打たせ湯・休憩/食事処を確認 複数露天風呂+休憩/食事処. 日帰り温泉チケット対象. 검증 배치: tier1_verification_batch_01_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
osawa-onsen-tojiya,大沢温泉 湯治屋,Osawa Onsen Tojiya,hanamaki,岩手県,historic_public_bath,bathe,Tier 1,operation_recheck;ready,탕치 문화와 강변 노천탕 후보,open_air_public_bath;public_bath,"Nifty/Agoda/blog surfaces exist; mixed bath, old toji-room, toilet distance, women-only time signals visible",https://www.oosawaonsen.com/touji/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,regional tourism source,needs_official_crosscheck,0,0,https://www.oosawaonsen.com/touji/ ; https://onsen.nifty.com/hanamaki-onsen/onsen000407/kuchikomi/ ; https://www.agoda.com/ja-jp/osawa-onsen-toujiya/hotel/default-city-km.html,공식/시설 주장: 公式で200年前の湯治屋、自炊部、名物混浴露天風呂と湯巡りを確認 宿泊施設でもあるが湯治/日帰り文化施設として価値大。混浴露天と湯治部屋 기대차를 분리 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
iizaka-horikiri-yu,飯坂温泉 波来湯,Hakoyu,iizaka,福島県,public_bath_facility,bathe,Tier 1,ready,역 인근 현대 공중탕과 당일 이용 후보,public_bath,"Jalan/Nifty surfaces mention clean rebuilt bath, no soap/shampoo included, hot and lukewarm tubs, narrow changing room/parking constraints, footbath outside",https://www.city.fukushima.fukushima.jp/shisetsu/kanko/2191.html,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional tourism source,needs_source_crosscheck,0,0,https://www.city.fukushima.fukushima.jp/shisetsu/kanko/2191.html ; https://iizaka.com/spa/ ; https://www.jalan.net/kankou/spt_guide000000190870/kuchikomi/ ; https://onsen.nifty.com/fukushima-onsen/onsen009752/,공식/시설 주장: 福島市公式で飯坂温泉共同浴場、駅徒歩1分、6:00-21:00、火曜休、源泉かけ流しの熱い湯と適温の温い湯の2浴槽を確認 historic_public_bath/public_bath_facility。熱湯・石鹸なし・駅近・共同浴場ローカル作法を分ける 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
iizaka-sabako-yu,飯坂温泉 鯖湖湯,Sabako-yu,iizaka,福島県,historic_public_bath,bathe,Tier 1,ready,이이자카 대표 공동탕과 고온탕 기대차 후보,public_bath,Jalan shows 110 reviews; Nifty/Jalan surfaces repeatedly mention very hot water and traditional communal bath feel,https://iizaka-onsen.fckk.co.jp/onnsen-guide/sabakoyu/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional tourism source,needs_official_crosscheck,0,0,https://iizaka-onsen.fckk.co.jp/onnsen-guide/sabakoyu/ ; https://iizaka.com/spa/ ; https://www.jalan.net/kankou/spt_guide000000172666/kuchikomi/ ; https://onsen.nifty.com/fukushima-onsen/onsen000814/kuchikomi/,공식/시설 주장: 公式で6:00-21:00、大人400円、飯坂最古の共同浴場、源泉51.0℃/pH8.6表面を確認 歴史共同浴場。熱すぎる湯温、石鹸/備品、駐車場なし、地元浴場文化を中心に深掘り 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
