slug,name_ja,source,url,rating,visible_review_count,access_status,directly_read_reviews,onsen_related_direct_reviews,snippet_only_count,bath_signal_keywords,notes
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Yahoo Maps,https://map.yahoo.co.jp/v3/place/7lSmo14btWo/review,4.39,205,aside_review_tab_read_mixed_origin,3,3,11,客室露天風呂; 客室のお風呂; 大浴場; シャワー; 熱い; 温度調整,"Yahoo Maps mixes Yahoo Travel, Ikkyu, Tabelog surfaces; duplicate-origin snippets not counted as independent direct bodies."
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Agoda,https://www.agoda.com/ko-kr/jozankei-daiichi-hotel-suizantei/hotel/sapporo-jp.html,9.0/10 aggregate; Agoda tab 9.0,3558 aggregate; Agoda tab 2789,aside_review_tab_read,12,10,2,온천(121); 객실 히노끼 욕조; 대욕장; 노천탕; 전세탕; 프라이빗 온천 욕조; QR 예약; 4400엔; 협소; 노후감,Korean localized Agoda page exposes full visible review bodies and keyword chips.
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Booking.com via Agoda,https://www.agoda.com/ko-kr/jozankei-daiichi-hotel-suizantei/hotel/sapporo-jp.html,9.2/10,305,aside_review_tab_read,5,3,0,온천 시설; 노천탕 분위기; 대욕탕 한산; 객실내 히노키탕; 딱 좋은 온도; 노후감,Booking.com tab embedded on Agoda was directly readable.
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Naver Blog,https://m.blog.naver.com/jiyoonsabina/223418074924,,,aside_search_snapshot_read_direct_blog_body,1,1,0,방마다 개인욕탕; 대욕장; 여탕/남탕 교체; 노천탕; 온탕 2개; 냉탕; 사우나; 붐비는 느낌 없음,Korean blog body dated 2024-04-17 read directly.
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Naver Blog,https://m.blog.naver.com/PostView.naver?blogId=boy0716&logNo=223288933138,,,aside_search_snapshot_read_direct_blog_body,1,1,0,개인욕조; 여러개의 대욕장; 별채 모리노유; 유료 전세탕; 예약 꽉차는편; 기본 객실 전망개인온천 없음,Korean guide/blog body dated 2023-12-11 read directly; use as Korean context not OTA review pool.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Google Hotels,https://www.google.com/travel/hotels/entity/CgsIq67omcaxzYmlARAB,4.2,1746,aside_review_tab_read,13,13,2,객실 노천탕; 개인온천; 대욕장; 바다뷰; 물 온도; 청결; 오래된 느낌; 아침 노천탕; 셀프 체크인,"Google Hotels review tab exposed full Korean/native bodies. Google Maps surface appears to share the same 1,746-review corpus, so Maps snippets are not double-counted as direct bodies."
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Google Maps,https://www.google.com/maps/search/?api=1&query=湯の川プリンスホテル渚亭,4.2,1746,aside_review_tab_snippet_mixed,0,0,7,객실 노천탕; 대욕장; 개인욕탕; 바다 전망; 아침 노천탕,Same visible corpus as Google Hotels; partner snippets and unexpanded visible snippets kept out of direct-review counts.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,JTB,https://www.jtb.co.jp/kokunai-hotel/htl/1610006/review/,4.3; bath 87,118,direct_fetch_partial_read,13,10,0,部屋風呂; 客室露天風呂; 大浴場; 露天風呂; 温質; 眺望; サビ; 壁の汚さ,JTB/Rurubu page bodies and expanded text fragments read directly where visible; older maintenance negatives kept as management notes.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Yahoo Travel,https://travel.yahoo.co.jp/00000746/review/,4.44 overall; onsen/bath 4.54,167,aside_review_tab_read,17,12,0,露天風呂; 客室露天風呂; 部屋付きの温泉露天風呂; 大浴場; 湯加減; 海; サウナ; 飲み物; タオル,First visible Yahoo Travel review page read directly. Counts exclude duplicate-origin Ikkyu/Yahoo cross-surface snippets.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Trip.com,https://kr.trip.com/hotels/hakodate-hotel-detail-1488002/yunokawa-prince-hotel-nagisatei/review.html,9.1/10,146,webfetch_direct_read,16,8,0,온천 추천(65); 전용 노천탕; 개인 온천탕; 바다 뷰; 뜨거움; 아침 운영; 객실 전용 온천 전망,"Korean localized Trip.com review page was readable; first visible review bodies counted, keyword buckets kept as platform-pool signal."
