area_slug,area_name_ja,area_name_ko,prefecture,region,priority_tier,primary_track,why_prioritized,source_basis,next_collection_target
kusatsu,草津温泉,구사쓰 온천,群馬県,関東,Tier 1,both,"Jalan 2026 재방문 의향 1위, 강한 온천감/유황천/공동탕 시설 가치","Jalan 2026, Rakuten Top20, Jalan room-open-air","숙소 30-50, 시설 8-15"
beppu,別府温泉郷,벳푸 온천향,大分県,九州,Tier 1,both,"Jalan 2026 2위, Rakuten Top20 2위, 숙소/시설 모두 표본 가치 큼","Jalan 2026, Rakuten Top20, existing Beppu work","숙소 후보 확장, 시설 후보 확장"
hakone,箱根温泉 / 箱根湯本温泉,하코네 온천,神奈川県,関東,Tier 1,both,"Jalan 2026 3위권, 객실노천 고급숙/당일치기 시설 모두 강함","Jalan 2026, Rakuten Top20, Ikkyu","숙소 50-80, 시설 10-20"
yufuin,由布院温泉,유후인 온천,大分県,九州,Tier 1,accommodation,"Jalan 2026 상위권 상승, 한국인 료칸 수요가 매우 큼","Jalan 2026, existing Yufuin work","숙소 후보 보강, 시설은 소수"
atami,熱海温泉,아타미 온천,静岡県,伊豆・箱根,Tier 1,both,"Rakuten 2025 인기 온천지 1위, YuKoyuko 전국 1위 노출, 대형 숙소/도심 접근성 강함","Rakuten Top20, YuKoyuko 2026","숙소 50-70, 시설 5-10"
gero,下呂温泉,게로 온천,岐阜県,東海,Tier 1,accommodation,"일본 3명천 인지도, Rakuten Top20, 고전 료칸/대형 숙소 후보","Rakuten Top20, general onsen demand","숙소 25-40, 시설 3-8"
arima,有馬温泉,아리마 온천,兵庫県,近畿,Tier 1,both,"금천/은천 개성이 강하고 숙소·당일치기 시설 모두 명확","Rakuten Top20, Nifty facility ranking","숙소 25-40, 시설 5-10"
dogo,道後温泉,도고 온천,愛媛県,四国,Tier 1,both,"Jalan 2026 4위권, 역사형 공중탕과 숙소 수요 모두 큼","Jalan 2026, Rakuten Top20","숙소 20-35, 시설 3-6"
shirahama,白浜温泉,시라하마 온천,和歌山県,近畿,Tier 1,both,"Rakuten Top20 5위, 바다 전망 노천/공공 노천탕 신호","Rakuten Top20","숙소 25-40, 시설 3-8"
noboribetsu,登別温泉,노보리베쓰 온천,北海道,北海道,Tier 1,both,"한국인 홋카이도 온천 수요, 유황천/대형 료칸/공중탕 후보","regional demand, Rakuten/Jalan follow-up needed","숙소 20-35, 시설 3-6"
jozankei,定山渓温泉,조잔케이 온천,北海道,北海道,Tier 1,accommodation,"Rakuten Top20, 삿포로 접근성, 대형 료칸/사우나 신호","Rakuten Top20","숙소 20-35, 시설 3-5"
yunokawa-hakodate,湯の川温泉 / 函館温泉,유노카와/하코다테 온천,北海道,北海道,Tier 1,accommodation,"Rakuten Top20에 函館温泉·湯の川温泉 모두 노출, 공항/시내 접근성","Rakuten Top20","숙소 20-35, 시설 2-5"
kinugawa,鬼怒川温泉,기누가와 온천,栃木県,関東,Tier 1,accommodation,"Rakuten Top20, YuKoyuko 상위권, 대형 온천호텔 리뷰풀 큼","Rakuten Top20, YuKoyuko 2026","숙소 30-50, 시설 3-6"
nasu,那須温泉,나스 온천,栃木県,関東,Tier 1,accommodation,"Rakuten Top20 3위, 리조트형/가족형 수요","Rakuten Top20","숙소 25-40, 시설 5-10"
ito-izu,伊東温泉 / 伊豆高原,이토/이즈고원 온천,静岡県,伊豆・箱根,Tier 1,accommodation,"Rakuten Top20, 객실노천·바다 전망 숙소 후보 밀집","Rakuten Top20, Ikkyu/Jalan follow-up","숙소 40-60, 시설 5-10"
ikaho,伊香保温泉,이카호 온천,群馬県,関東,Tier 2,both,"Jalan 2026 상승, 계단거리/공동탕/숙소 후보","Jalan 2026, Rakuten Top20","숙소 20-35, 시설 3-6"
akiu,秋保温泉,아키우 온천,宮城県,東北,Tier 2,accommodation,"Rakuten Top20, 센다이 접근성·대형 료칸 후보","Rakuten Top20","숙소 20-35, 시설 2-5"
toba,鳥羽温泉郷,도바 온천향,三重県,東海,Tier 2,accommodation,"Rakuten Top20, 바다 전망 온천 숙소 후보","Rakuten Top20","숙소 20-35, 시설 2-5"
yugawara,湯河原温泉,유가와라 온천,神奈川県,伊豆・箱根,Tier 2,both,"Rakuten Top20, 객실노천 고급숙과 당일치기 시설 모두 후보","Rakuten Top20, Ikkyu","숙소 25-40, 시설 3-8"
isawa,石和温泉,이사와 온천,山梨県,甲信越,Tier 2,accommodation,"Rakuten Top20 신규 진입, 수도권 접근성","Rakuten Top20","숙소 15-25, 시설 2-5"
kawaguchiko,河口湖温泉,가와구치코 온천,山梨県,甲信越,Tier 2,accommodation,"Rakuten Top20 신규 진입, 후지산 전망 객실노천 후보","Rakuten Top20, Ikkyu theme","숙소 25-40, 시설 2-5"
kurokawa,黒川温泉,구로카와 온천,熊本県,九州,Tier 2,both,"노천탕 순례/료칸 마을형으로 Bathtime 태깅 가치 큼","regional demand, follow-up needed","숙소 25-40, 시설/공용 노천 3-8"
ibusuki,指宿温泉,이부스키 온천,鹿児島県,九州,Tier 2,both,"모래찜질 시설형 신호가 강한 지역","facility model sample needed","숙소 15-25, 시설 2-5"
unzen,雲仙温泉,운젠 온천,長崎県,九州,Tier 2,accommodation,"유황천·고급 숙소 후보, 한국/외국인 수요 확인 가치","follow-up needed","숙소 15-25, 시설 2-5"
nyuto,乳頭温泉郷,뉴토 온천향,秋田県,東北,Tier 2,accommodation,"Jalan 구멍/동경 온천지 축에서 강함, 비일상·탕치 데이터 가치","Jalan 2026 related ranking","숙소 10-20, 시설 2-5"
