slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
noboribetsu-sagiriyu,登別温泉 さぎり湯,노보리베쓰 사기리유,noboribetsu,北海道,public_bath_facility,bathe,Tier 1,ready,"노보리베쓰 공중탕, 유황천/로컬탕 신호 후보",public_bath,Nifty/Jalan/4travel/Sauna Ikitai surface candidates exist; review bodies not counted in this candidate pass,https://sagiriyu-noboribetsu.com/,입욕 시설 후보로 딥리서치 가능,regional high-value seed,official_and_review_surface_checked,0,0,https://sagiriyu-noboribetsu.com/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000007/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11195229,keep_facility. 독립 공중탕 성격이 명확하고 강한泉質/저가격/로컬탕 가치가 있어 시설 딥리서치 ready. 공식 사실과 후기 신호 분리 필요.
noboribetsu-daiichi-dayuse,第一滝本館 日帰り入浴,다이이치 타키모토칸 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 1,operation_recheck,"대형 호텔 온천 당일입욕, 접수시간·요금 확인 필요",public_bath,Nifty/Rakuten/Jalan review surfaces exist; official day_spa page confirms day-use product but hours/price notices are volatile,https://takimotokan.co.jp/ja/day_spa/,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,official_checked_operation_recheck,0,0,https://takimotokan.co.jp/ja/day_spa/ ; https://takimotokan.co.jp/ja/spa/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000096/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/30109/30109.html,"mixed_use_hotel_day_spa. 1500坪 대욕장/5泉質/35浴槽은 강한 후보이나 호텔 부속 day-use라 요금, 시간, local discount, evening discount 종료 등 운영 최신 확인 필요."
noboribetsu-grand-dayuse,登別グランドホテル 日帰り温泉,노보리베쓰 그랜드호텔 당일온천,noboribetsu,北海道,large_day_use_complex,bathe,Tier 1,operation_recheck,"日帰り 2,000엔, 접수마감/혼잡시 단축 신호, 鬼サウナ",public_bath;sauna_addon,Rakuten/Nifty/Google-type surfaces exist; official page confirms day-use hot spring and 鬼サウナ but reception may stop/shorten by condition,https://www.nobogura.co.jp/hotspring/,운영/족탕/정체성 조건 분리 후 후속 처리,Official Noboribetsu Grand hot spring/news pages,official_checked_operation_recheck,0,0,https://www.nobogura.co.jp/hotspring/ ; https://www.nobogura.co.jp/ ; https://onsen.nifty.com/noboribetsu-onsen/onsen000136/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/39175/review.html,mixed_use_hotel_day_spa. 鬼サウナ와 대욕장 value가 강하지만 공식 NEWS 확인이 필요한 operation_recheck 후보.
noboribetsu-sekisuitei-dayuse,登別石水亭 日帰り入浴,노보리베쓰 세키스이테이 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 2,operation_recheck,"대형 호텔 당일입욕, 접수마감 신호",public_bath,official/tourism day-use information found; review pool not mapped in candidate pass,https://www.sekisuitei.com/onsen/,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,official_checked_operation_recheck,0,0,https://www.sekisuitei.com/onsen/ ; https://noboribetsu-spa.jp/oneday/oneday018/ ; https://www.instagram.com/noboribetsu_sekisuitei/,mixed_use_hotel_day_spa. 공식 day-use 시간/요금 표면 확인. 목욕 청소/성수기/만실시 변경 가능성이 명시되어 딥리서치 전 운영 최신 확인 필요.
noboribetsu-manseikaku-dayuse,登別万世閣 日帰り入浴,노보리베쓰 만세이카쿠 당일입욕,noboribetsu,北海道,large_day_use_complex,bathe,Tier 2,operation_recheck,"아침/오후 당일입욕 시간 분리, 요금/접수마감 신호",public_bath,official day-use and Sauna Ikitai-linked sauna surface exist; review pool still needs mapping,https://www.noboribetsu-manseikaku.jp/spa/daytrip/,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,official_checked_operation_recheck,0,0,https://www.noboribetsu-manseikaku.jp/spa/daytrip/ ; https://www.noboribetsu-manseikaku.jp/spa/ ; https://noboribetsu-spa.jp/oneday/oneday016/,mixed_use_hotel_day_spa. 源泉水風呂/ロウリュサウナ가 시설형 신호로 가치 있으나 입장 제한/만차시 거절/문신 정책 등 운영 조건 확인 필요.
noboribetsu-suzuki-karurusu,カルルス温泉 鈴木旅館,가루루스온천 스즈키료칸,noboribetsu,北海道,hotel_dayuse_bath,bathe,Tier 2,operation_recheck,가루루스 온천권 당일입욕 후보,public_bath,official site and Jalan day-use ticket surface confirm day-use possibility; review pool not yet mapped deeply,https://www.suzukiryokan.jp/,운영/족탕/정체성 조건 분리 후 후속 처리,Noboribetsu tourism day-use page,official_and_jalan_checked_review_pool_pending,0,0,https://www.suzukiryokan.jp/ ; https://www.jalan.net/kankou/spt_guide000000172538/ ; https://onsen.nifty.com/onsen-matome/240526299002/,mixed_use_hotel_day_spa. 숙박 료칸이지만 日帰り温泉 가능성이 확인되어 hold에서 operation_recheck로 조정. lodging-only 혼동을 막고 day-use product로만 후속 검토.
jozankei-hoheikyo,豊平峡温泉,호헤이쿄온천,jozankei,北海道,open_air_public_bath,bathe,Tier 1,ready,"대자연 대노천탕, 조망/접근성/혼잡 신호 후보",open_air_public_bath,official/Jozankei/Jalan/Nifty surfaces exist; large review pool expected but direct reviews not counted in candidate pass,https://hoheikyo.co.jp/,입욕 시설 후보로 딥리서치 가능,Jozankei Tourism official day-use page,official_and_review_surface_checked,0,0,https://hoheikyo.co.jp/ ; https://jozankei.jp/oneday/hoheikyo-onsen/ ; https://www.jalan.net/kankou/spt_guide000000178532/ ; https://onsen.nifty.com/jouzankei-onsen/onsen000045/kuchikomi/,"keep_facility. 독립 日帰り専用에 가까운 강후보. 露天風呂, 源泉, 인도카레, 결제/타월/송영/혼잡을 시설 딥리서치 축으로 분리."
jozankei-yunohana,湯の花 定山渓殿,유노하나 조잔케이덴,jozankei,北海道,large_day_use_complex,bathe,Tier 1,ready,"대중형 당일온천, 10:00-21:00/접수 20:30 노출, 셔틀 후보",public_bath,official/Jozankei/Nifty surfaces exist; price revision notice observed on official site,https://www.yunohana.org/jyouzankei/,입욕 시설 후보로 딥리서치 가능,Jozankei day-use search result,official_and_review_surface_checked,0,0,https://www.yunohana.org/jyouzankei/ ; https://jozankei.jp/oneday/yunohana-jozankei-den/ ; https://onsen.nifty.com/jouzankei-onsen/onsen000273/,keep_facility. 日帰り専用 대형 온욕시설. 2026-07 가격개정 공지가 있어 요금은 fresh confirmation 필요.
jozankei-morino-uta-dayuse,定山渓鶴雅リゾートスパ森の謌 日帰り,모리노우타 당일온천,jozankei,北海道,wellness_spa,experience,Tier 1,operation_recheck,"스파 리조트형 당일 플랜, 식사세트 요금 신호",public_bath,Yahoo Map/day-use comments surface exists; official page confirms meal/este set day-use condition,https://www.morino-uta.com/dayplans/,운영/족탕/정체성 조건 분리 후 후속 처리,"Official Mori no Uta, Jozankei Tourism day-use page",official_checked_operation_recheck,0,0,https://www.morino-uta.com/dayplans/ ; https://www.morino-uta.com/dayplans/lunch/ ; https://jozankei.jp/oneday/mori-no-uta/ ; https://travel.yahoo.co.jp/00001659/review/yahoomap/,mixed_use_hotel_day_spa / experience. 단독 입욕이 아니라 식사·에스테 세트 조건이 핵심이라 가격·정기휴무·예약 가능성 확인 후 deep review.
jozankei-shogetsu-dayuse,章月グランドホテル 日帰り,쇼게쓰 그랜드호텔 당일온천,jozankei,北海道,hotel_dayuse_bath,bathe,Tier 2,operation_recheck,"식사세트형 고가 당일온천, 예약/가격 신호 후보",public_bath,Jozankei tourism day-use page confirms meal-set day-use; review pool not mapped,https://www.shogetsugrand.com/,운영/족탕/정체성 조건 분리 후 후속 처리,Jozankei Tourism day-use page,tourism_and_official_checked_operation_recheck,0,0,https://www.shogetsugrand.com/ ; https://jozankei.jp/oneday/shougetsu-g/,mixed_use_hotel_day_spa. 전일 오전까지 예약제/식사세트/토·축전일 제외가 핵심. 단독 온천시설처럼 비교하면 안 됨.
