kind,queue_rank,slug,name_ja,area_slug,prefecture,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,verification_result,next_status,notes,source_urls
accommodation,61,ito-fugetsumuhen,御宿 風月無辺,ito-izu,静岡県,https://muhen.cc/,https://www.ikyu.com/00001893/review/,https://www.jalan.net/yad359433/kuchikomi/,公式で全19室すべて源泉掛け流し露天風呂付き客室を確認,Ikkyu/Jalan/Rakuten review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,高台・カート移動など体験条件も重要。客室露天の眺望評価と移動負荷を分ける,https://muhen.cc/ ; https://www.ikyu.com/00001893/review/ ; https://www.jalan.net/yad359433/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/142717/review.html
accommodation,62,ito-futarikomorebi,ホテルふたり木もれ陽,ito-izu,静岡県,https://komorebi.bz/,https://www.ikyu.com/00002295/review/,https://travel.yahoo.co.jp/00002295/,公式で全室オーシャンビュー半露天・客室風呂の掛け流し温泉を確認,Yahoo surface shows 352 reviews; Ikkyu review body surface exists,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,全室客室温泉型の強い候補。半露天/窓開放型の表現を客室露天と混同しない,https://komorebi.bz/ ; https://www.ikyu.com/00002295/review/ ; https://travel.yahoo.co.jp/00002295/
accommodation,63,ito-gensen-tsuki,伊東温泉 源泉と離れのお宿 月,ito-izu,静岡県,https://tsuki.cc/top/,https://www.ikyu.com/00001282/review/,https://travel.yahoo.co.jp/00001282/review/,公式/楽天で全棟客室専用露天風呂が源泉掛流し、大浴場も自家源泉掛け流しと確認,Ikkyu/Yahoo/Rakuten review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,硫黄の匂い・洗い場のない大浴場など温泉感と設備条件の両方が重要,https://tsuki.cc/top/ ; https://www.ikyu.com/00001282/review/ ; https://travel.yahoo.co.jp/00001282/review/ ; https://travel.rakuten.co.jp/HOTEL/62273/62273.html
accommodation,64,ito-il-azzurri,il azzurri,ito-izu,静岡県,https://ilazzurri.by-onko-chishin.com/,https://www.ikyu.com/00000960/,https://travel.rakuten.co.jp/HOTEL/182620/review.html,公式で全室オーシャンフロント・全室露天風呂付き、堂ヶ島温泉を確認,Ikkyu shows 308 reviews; Rakuten/Agoda review surfaces exist,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,全室露天と大浴場/足湯/フリーフローが混在。西伊豆で area_slug 再検討余地あり,https://ilazzurri.by-onko-chishin.com/ ; https://www.ikyu.com/00000960/ ; https://travel.rakuten.co.jp/HOTEL/182620/review.html ; https://www.agoda.com/ja-jp/dogashima-accueil-sanshiro/hotel/izu-jp.html
accommodation,65,ito-kazenokaori-umi,伊東温泉 ラグジュアリー 和 ホテル 風の薫UMI,ito-izu,静岡県,https://www.kazenokaori.jp/,https://www.jalan.net/yad301788/kuchikomi/,https://travel.rakuten.co.jp/HOTEL/72858/review.html,公式表面で客室風呂/貸切風呂が強い候補。Jalan/Rakutenで客室露天・貸切露天レビュー表面を確認,Jalan/Rakuten official-review surfaces exist; count not locked,official_and_multi_ota_surface_confirmed,needs_official_room_bath_detail_check,一部レビューに客室露天が狭い/温泉香が乏しいという弱温泉感 신호가 보임. 공식 객실별 온천 공급 재확인 필요,https://www.kazenokaori.jp/ ; https://www.jalan.net/yad301788/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/72858/review.html ; https://www.kazenokaori.jp/bbs-kazenokaori/dengonban/comment-page-2/
accommodation,66,ito-uchiyama,お宿うち山 伊豆高原 全室露天風呂付き隠れ宿,ito-izu,静岡県,https://www.oyado-uchiyama.com/,https://travel.rakuten.co.jp/HOTEL/42000/review.html,https://www.ikyu.com/00000981/,公式で六棟離れ・全室露天風呂付き、楽天/Yahooで内風呂・外風呂レビュー表面を確認,Yahoo shows 31 reviews; Rakuten/Ikkyu surfaces exist,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,完全巣ごもり型。内風呂/外風呂が両方ある部屋タイプとして細分化,https://www.oyado-uchiyama.com/ ; https://travel.rakuten.co.jp/HOTEL/42000/review.html ; https://www.ikyu.com/00000981/ ; https://travel.yahoo.co.jp/00000981/
accommodation,67,ito-yumenoya,全室半露天付 離れ御宿 夢のや,ito-izu,静岡県,https://www.onyado-yumenoya.com/,https://travel.rakuten.co.jp/HOTEL/39169/review.html,https://www.ikyu.com/00001015/review/,公式で全6室離れ、OTAレビューで半露天風呂付客室・貸切露天風呂を確認,Yahoo shows 35 reviews; Rakuten/Ikkyu surfaces exist,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,客室半露天と貸切露天が両方ある。リス/階段など体験要素もユーザー 기대와 연결,https://www.onyado-yumenoya.com/ ; https://travel.rakuten.co.jp/HOTEL/39169/review.html ; https://www.ikyu.com/00001015/review/ ; https://travel.yahoo.co.jp/00001015/
accommodation,68,ito-zagyo-so,ABBA RESORTS IZU - 坐漁荘,ito-izu,静岡県,https://zagyosoh.com/,https://www.ikyu.com/00000247/,https://travel.rakuten.co.jp/HOTEL/7554/review.html,公式で浮山温泉、露天風呂付き客室・離れなど多様な客室を確認,Ikkyu/Rakuten/JTB review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_room_type_bath_detail_check,露天風呂付き客室の期待差レビューが見える。全室ではないため部屋タイプ別 처리 필수,https://zagyosoh.com/ ; https://www.ikyu.com/00000247/ ; https://travel.rakuten.co.jp/HOTEL/7554/review.html ; https://www.jtb.co.jp/kokunai-hotel/htl/4339008/review/
accommodation,69,izu-yumotokan,全室半露天付 離れ御宿 夢のや,ito-izu,静岡県,https://www.onyado-yumenoya.com/,https://travel.yahoo.co.jp/00001015/,https://www.ikyu.com/00001015/review/,queue 67と同一日本語名・同一公式候補。別宿としての根拠未確認,same review pool as queue 67 probable,semantic_duplicate_or_slug_error,merge_with_ito-yumenoya_or_reidentify,slug izu-yumotokan と name_ja が一致しない。候補マスターで重複/誤命名の修正が必要,https://www.onyado-yumenoya.com/ ; https://travel.yahoo.co.jp/00001015/ ; https://www.ikyu.com/00001015/review/
accommodation,70,ibusuki-ginsyo,夫婦露天風呂の宿 吟松,ibusuki,鹿児島県,https://ginsyou.com/,https://www.jalan.net/yad356820/kuchikomi/,https://travel.yahoo.co.jp/00001731/review/,公式で露天風呂付き客室が人気と確認。Yahoo/Jalanで大浴場・9階露天・客室露天レビュー表面を確認,Jalan/Yahoo/Agoda surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,砂むし会館との動線価値が強い。宿泊温泉과 지역 온천시설 경험을 분리해야 함,https://ginsyou.com/ ; https://www.jalan.net/yad356820/kuchikomi/ ; https://travel.yahoo.co.jp/00001731/review/ ; https://www.agoda.com/ja-jp/hana-no-onsen-hotel-ginsho/hotel/default-city-km.html
