kind,queue_rank,slug,name_ja,area_slug,prefecture,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,verification_result,next_status,notes,source_urls
accommodation,51,atami-kaihourou,ATAMI 海峯楼,atami,静岡県,https://www.atamikaihourou.jp/,https://www.ikyu.com/00001663/,https://www.tour.ne.jp/j_hotel/23916/,公式でオーシャンビュー客室温泉付きラグジュアリースイートを確認,Ikkyu/Travelko surfaces exist; review count not locked,official_and_ota_bath_surface_confirmed,needs_review_pool_count,全室ではなくスイート中心の客室温泉に見えるため部屋タイプ別タグ必須,https://www.atamikaihourou.jp/ ; https://www.ikyu.com/00001663/ ; https://www.tour.ne.jp/j_hotel/23916/
accommodation,52,atami-karaku,熱海・伊豆山 佳ら久,atami,静岡県,https://izusan-karaku.orixhotelsandresorts.com/,https://www.ikyu.com/00003103/,https://www.ikyu.com/00003103/story/98011,公式で57室すべて温泉露天風呂付き客室を確認,Ikkyu review/story surface exists; count not locked,official_and_ota_bath_surface_confirmed,needs_review_pool_count,全室客室温泉露天の強い候補。新しめの宿なのでレビュー蓄積量確認が重要,https://izusan-karaku.orixhotelsandresorts.com/ ; https://www.ikyu.com/00003103/ ; https://www.ikyu.com/00003103/story/98011
accommodation,53,atami-new-tomiyoshi,味と湯の宿 ニューとみよし,atami,静岡県,https://newtomi.jp/,https://www.jalan.net/yad329779/,https://travel.rakuten.co.jp/HOTEL/7616/review.html,公式/OTAで海一望の貸切露天風呂と多数の貸切風呂を確認,"Jalan shows 3,500 reviews; Rakuten review surface exists",official_and_multi_ota_surface_confirmed,ready_for_deep_review_pool_count,貸切風呂が主要価値。客室露天風呂レビューもあるため private_bath と room_open_air_bath を分離,https://newtomi.jp/ ; https://www.jalan.net/yad329779/ ; https://travel.rakuten.co.jp/HOTEL/7616/review.html
accommodation,54,atami-pearl-star,熱海パールスターホテル,atami,静岡県,https://pearlstar.jp/,https://www.jalan.net/yad395257/,https://www.ikyu.com/00002645/review/,公式/OTAで全室自家源泉の温泉風呂とインフィニティ温泉を確認,Jalan shows 41 reviews; Ikkyu/Yahoo review surface exists,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,客室温泉と最上階大浴場が両方強い。大浴場の混雑/景観レビューも分ける,https://pearlstar.jp/ ; https://pearlstar.jp/rooms/ ; https://pearlstar.jp/infinity-bath/ ; https://www.jalan.net/yad395257/ ; https://www.ikyu.com/00002645/review/
accommodation,55,atami-sekaie,ATAMI せかいえ,atami,静岡県,https://www.atamisekaie.jp/,https://travel.yahoo.co.jp/00002107/review/,https://www.ikyu.com/00002107/,公式で全室太平洋向き・客室露天風呂付きと確認,Yahoo/Ikkyu review surfaces exist; recent review visible,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,レビューに温泉の匂いなど温泉感シグナルが見えるため深掘り価値高い,https://www.atamisekaie.jp/ ; https://travel.yahoo.co.jp/00002107/review/ ; https://www.ikyu.com/00002107/
accommodation,56,atami-sekitei,あたみ石亭,atami,静岡県,https://sekitei.co.jp/atami/,https://www.jalan.net/yad391391/,https://www.jalan.net/yad391391/kuchikomi/,公式で露天風呂付客室、Jalanで3本の源泉・大浴場/客室露天表面を確認,Jalan lodging surface shows 9 reviews; kuchikomi page has bath comments,official_and_jalan_bath_surface_confirmed,needs_review_pool_count,大浴場脱衣所の臭い言及が見えるため、温泉そのものと設備臭を区別,https://sekitei.co.jp/atami/ ; https://www.jalan.net/yad391391/ ; https://www.jalan.net/yad391391/kuchikomi/
accommodation,57,atami-soki,SOKI ATAMI,atami,静岡県,https://www.uds-hotels.com/soki/atami/,https://www.ikyu.com/00002855/,https://travel.rakuten.co.jp/HOTEL/179729/TOPIC/?f_tag=22,公式で一部客室の露天風呂温泉を確認,Ikkyu/Rakuten/Relux review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_room_type_bath_detail_check,全室ではなくテラスバス系客室が中心。部屋タイプごとに客室露天タグを分ける,https://www.uds-hotels.com/soki/atami/ ; https://www.ikyu.com/00002855/ ; https://travel.rakuten.co.jp/HOTEL/179729/TOPIC/?f_tag=22
accommodation,58,atami-watei-kazekomichi,WA亭 風こみち,atami,静岡県,https://www.kazekomichi.jp/,https://www.ikyu.com/00001277/review/,https://travel.yahoo.co.jp/00001277/review/,公式で全8室すべて露天風呂付き客室を確認,Ikkyu/Yahoo/Tripadvisor review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,小規模全室客室露天の強い候補。湯温管理レビューが見える,https://www.kazekomichi.jp/ ; https://www.ikyu.com/00001277/review/ ; https://travel.yahoo.co.jp/00001277/review/
accommodation,59,ito-akazawa-geihinkan,赤沢迎賓館,ito-izu,静岡県,https://www.izuakazawa.jp/stay/geihinkan/,https://travel.yahoo.co.jp/00001565/review/,https://www.ikyu.com/00001565/,公式で全15室すべて専用露天風呂付き、海洋深層水の湯を確認,Yahoo shows 73 reviews; Ikkyu/Tripadvisor surfaces exist,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,通常の温泉ではなく海洋深層水の湯という差分を温泉感評価から分離,https://www.izuakazawa.jp/stay/geihinkan/ ; https://travel.yahoo.co.jp/00001565/review/ ; https://www.ikyu.com/00001565/
accommodation,60,ito-atagawa-suiko,伊豆リトリート 熱川粋光 by 温故知新,ito-izu,静岡県,https://suiko.by-onko-chishin.com/,https://www.ikyu.com/00002242/review/,https://www.jalan.net/yad302232/kuchikomi/,公式で全16室オーシャンビュー源泉掛け流し露天風呂付き客室を確認,Ikkyu/Jalan review surfaces exist; count not locked,official_and_multi_ota_bath_surface_confirmed,needs_review_pool_count,源泉掛け流し客室露天が明確。景観・日の出レビューも強そう,https://suiko.by-onko-chishin.com/ ; https://www.ikyu.com/00002242/review/ ; https://www.jalan.net/yad302232/kuchikomi/
