canonical_name_ja,aliases,preliminary_inclusion,lodging_type_guess,onsen_signal_keywords,discovered_sources,official_url,rakuten_url,rakuten_review_count,jalan_url,jalan_review_count,official_room_text,official_bath_text,room_open_air_bath_scope,public_bath_claim,private_bath_claim,jalan_desc,source_checked_at,normalized_key
８A１(やえいち),８A１(やえいち),include_onsen_signal,unknown_lodging,源泉 | 掛け流し | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad311444/,27,,,,,,4.8 27件 接客、清潔感、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 組子細工と手作り家具が彩る和モダン空間で過ごす、ゆふいん時間。全室源泉掛け流し風呂付きで、静かな田園と駅近の利便性を両立し、自然の魅力を満喫できます。この心地よさは、連泊での滞在にも最適です。 【アクセス】 由布院駅から徒歩7分、由布院駅前バスセンターから徒歩9分、湯布院ICから車で9分 MAP,2026-06-29,8a1やえいち
AMBER Yufuin,AMBER Yufuin,include_onsen_signal,unknown_lodging,温泉 | 貸切 | 風呂 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad389071/,7,,,,,,5.0 7件 部屋、接客、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 極上の天然温泉に癒される贅沢な時間 195㎡の3LDK貸切空間で、 家族や仲間と【上質なひととき】を。 由布院駅から車で4分、駐車も3台まで可能！ 静けさと快適さを兼ね備えた空間。 【アクセス】 JR由布院駅から徒歩10分の好立地 スマートチェックインを使用しての現地宿にてのチェックインとなります。 MAP,2026-06-29,amberyufuin
Ｂ＆Ｂ由布,Ｂ＆Ｂ由布,include_onsen_signal,villa_pension_guesthouse,温泉 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad398896/,,,,,,,B＆Bはbook and bedです。川のほとりの豊かな自然の中で、ゆったりと過ごせます。町内に車で3～5分の距離に銭湯式の天然温泉有ります。由布院・別府・長湯温泉まで車で30分。 【アクセス】 JR久大本線小野屋駅徒歩7分 高速大分道由布院インターより25分 MAP,2026-06-29,b&b由布
Ｂ＆Ｂ由布 天領の里,Ｂ＆Ｂ由布 天領の里,low_priority_or_exclude_review,villa_pension_guesthouse,,jalan_spot_list,,,,https://www.jalan.net/yad336128/,,,,,,,,2026-06-29,b&b由布天領の里
COMICO ART HOUSE YUFUIN,COMICO ART HOUSE YUFUIN,needs_manual_review,unknown_lodging,,jalan_spot_list,,,,https://www.jalan.net/yad323085/,,,,,,,,2026-06-29,comicoarthouseyufuin
Ｃｏｍｉｎｋａ Ｙｕｆｕｉｎ,Ｃｏｍｉｎｋａ Ｙｕｆｕｉｎ,low_priority_or_exclude_review,villa_pension_guesthouse,由布院,jalan_spot_list,,,,https://www.jalan.net/yad358969/,,,,,,,【1日1組限定の一棟貸し】由布院の自然をを満喫！ 暮らすような滞在、お庭でのプライベートBBQ、ハンモックに揺られる時間 由布院観光の拠点としてご利用ください。 【アクセス】 【チェックイン】チェックインコード/QRコードをお送りします。コードをお控えの上施設にお越しください。 MAP,2026-06-29,cominkayufuin
ENOWA,ENOWA,include_official_association,unknown_lodging,温泉 | 露天 | 貸切 | 風呂,official_ryokan_association,https://www.2hon-no-ashitaba.co.jp/,,,,,和洋19（全室温泉付露天風呂）、離れ客室有,貸切サウナ有,all_or_many_rooms,unknown,official_association_claim,,2026-06-29,enowa
ENOWA YUFUIN,ENOWA YUFUIN,include_onsen_signal,unknown_lodging,温泉 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad350146/,,,,,,,答えはすべて畑にある――その哲学から生まれたファームドリブンの料理。 由布院の大地と調和する客室や温泉、感性を研ぎ澄ますサウナとスパ。自然と命を味わう唯一無二の体験を。 【アクセス】 由布院駅より車で約5分 MAP,2026-06-29,enowayufuin
ＥＴＡＶＩＡ 湯布院 金鱗湖,ＥＴＡＶＩＡ 湯布院 金鱗湖,include_onsen_signal,unknown_lodging,温泉 | 源泉 | かけ流し | 露天 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad353372/,6,,,,,,4.5 6件 風呂、接客、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 2022年4月にリニューアルオープン！湯の坪街道沿い！金鱗湖より徒歩5分♪ 源泉かけ流し温泉でつるつる美肌に！！☆露天風呂付の客室あり！ ご家族やご友人グループに♪シングルルームもあり一人旅にも！ 【アクセス】 JR由布院駅より徒歩18分 車で5分 MAP,2026-06-29,etavia湯布院金鱗湖
ＥＴＡＶＩＡ 湯布院駅前,ＥＴＡＶＩＡ 湯布院駅前,include_onsen_signal,unknown_lodging,源泉 | かけ流し | 露天 | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad387268/,38,,,,,,4.4 38件 部屋、風呂、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 JR由布院駅より徒歩1分！ 目玉は由布岳を望みながらの源泉かけ流し展望貸切露天風呂！ トリプルルームは最大6名様迄宿泊可能で、家族やご友人・グループ・カップルに人気です。 湯布院観光に最適です☆ 【アクセス】 JR由布院駅徒歩1分 MAP,2026-06-29,etavia湯布院駅前
GEMS YUFUIN（2023年11月26日 NEW OPEN）,GEMS YUFUIN（2023年11月26日 NEW OPEN）,include_onsen_signal,unknown_lodging,温泉 | 源泉 | かけ流し | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad379867/,,,,,,,由布院駅前◎源泉かけ流し温泉＆本格サウナ完備のデザイナーズホテル＿カフェ＆バー併設【宿泊特典】ご滞在中ドリンク（一部除く）50％OFF！スタイリッシュな広々デザイン客室で家族やグループステイに最適 【アクセス】 JR由布院駅から徒歩1分＿源泉かけ流し温泉＆本格サウナ＿カフェ＆クラフトバー併設のライフスタイルホテル MAP,2026-06-29,gemsyufuin2023年11月26日newopen
GRAN VILLA RIRERA HAKU,GRAN VILLA RIRERA HAKU,low_priority_or_exclude_review,villa_pension_guesthouse,,jalan_spot_list,,,,https://www.jalan.net/yad310896/,,,,,,,,2026-06-29,granvillarirerahaku
guest house 卯,guest house 卯,low_priority_or_exclude_review,villa_pension_guesthouse,,jalan_spot_list,,,,https://www.jalan.net/yad371444/,,,,,,,,2026-06-29,guesthouse卯
HOTEL MODA,HOTEL MODA,include_onsen_signal,onsen_hotel_or_resort,露天 | 風呂 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad342725/,,,,,,,2025年12月オープン。全7室露天風呂。15～18時フリーフロー（アルコール無料） 【アクセス】 JR久大本線「由布院駅」から徒歩約30分～40分、またはタクシーで約5～10分。 MAP,2026-06-29,hotelmoda
