slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
arima-gekkoen-korokan,月光園 鴻朧館,Gekkoen Korokan,arima,兵庫県,ryokan,Tier 1,hold,"금천/노천/객실탕 후보, 리뷰풀 가치",room_bath;open_air_public_bath,리뷰풀 수는 이번 샘플에서 미확정,https://kouroukan.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Arima accommodation exposure,needs_official_crosscheck,0,0,https://kouroukan.com/ ; https://www.feel-kobe.jp/facilities/0000000336/,공식/관광 표면에서 유료 숙박 료칸 및 금천 노천탕 신호 확인 | 공식 URL과 관광협회성 페이지가 일치. bath detail은 deep check 필요. | verification_result=official_identity_confirmed | next_status_raw=needs_review_pool_count
arima-goshobessho,有馬山叢 御所別墅,Goshobessho,arima,兵庫県,luxury villa ryokan,Tier 1,hold;split_needed,아리마 고급 빌라형 온천 후보,private_bath_or_family_bath_unclear;facility_wide_sotoyu_access,Ikkyu/Rakuten/Yahoo surfaces exist; review text suggests source-flow distinction matters,https://goshobessho.com/,객실/공용/당일/외탕 등 욕장 단위 분리 후 조사 필요,Rakuten Top20 area seed,needs_source_crosscheck,0,0,https://goshobessho.com/ ; https://www.ikyu.com/00001410/review/ ; https://travel.rakuten.co.jp/HOTEL/136937/review.html ; https://travel.yahoo.co.jp/00001410/review/,公式で有馬のヴィラ型宿、客室温泉/低温サウナ系体験を確認 | 客室・館内・外湯/貸切で源泉掛け流し評価が分かれる可能性。全域源泉掛け流し扱い禁止 | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=needs_source_flow_area_split
arima-goshoboh,陶泉 御所坊,Tocen Goshoboh,arima,兵庫県,traditional ryokan,Tier 1,hold,"노포 료칸, 금천/대욕장 후보",public_bath,Ikkyu/Rakuten/Yahoo surfaces exist; count not locked,https://goshoboh.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Arima luxury/traditional exposure,needs_bath_detail_crosscheck,0,0,https://goshoboh.com/ ; https://www.ikyu.com/00001453/review/ ; https://travel.rakuten.co.jp/HOTEL/80572/review.html ; https://travel.yahoo.co.jp/00001453/,公式で宿確認。OTAレビュー表面で金泉・半混浴的な浴場構造を確認 | 公式静的表面だけでは浴場詳細が弱い。金泉・浴場構造・清掃時間を追加 확인 | verification_result=official_identity_and_review_bath_surface_confirmed | next_status_raw=needs_official_bath_detail_check
arima-grand-hotel,有馬グランドホテル,Arima Grand Hotel,arima,兵庫県,large ryokan hotel,Tier 1,hold,"대형 아리마 온천호텔, 대욕장/전망탕 후보",room_open_air_bath;public_bath,Rakuten/Jalan review surfaces exist; Rakuten shows 286 marker in snippet,https://www.arima-gh.jp/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Rakuten Top20 area seed,needs_bath_detail_crosscheck,0,0,https://www.arima-gh.jp/ ; https://travel.rakuten.co.jp/HOTEL/25128/review.html ; https://www.jalan.net/yad313952/,公式で金泉露天風呂付ツインなど客室金泉露天、バラ風呂等を確認 | 金泉/銀泉/大浴場/客室金泉露天を 분리. 대형호텔이라 혼잡·이동성도 확인 | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=needs_review_pool_count
arima-hanamusubi,有馬温泉 御幸荘 花結び,Miyukiso Hanamusubi,arima,兵庫県,ryokan,Tier 1,ready,금천 객실 노천탕 5실 신호,room_open_air_bath;private_bath_or_family_bath_unclear,Jalan visible 114 reviews in search surface,https://www.hanamusubi.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten Arima room-open-air article,needs_official_crosscheck,0,0,https://www.hanamusubi.co.jp/ ; https://www.jalan.net/yad349968/ ; https://travel.rakuten.co.jp/HOTEL/9576/9576.html,공식은 금천 숙박 료칸. Jalan 표면에서 금천/은천 2종과 노천풍로付き客室/貸切風呂 신호 확인 | 공식 URL/OTA 표면 모두 안정적. Google/Naver count는 별도. | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
arima-hatago,有馬温泉 四季の彩 旅篭,Shiki no Irodori Hatago,arima,兵庫県,luxury ryokan,Tier 1,hold,전실 금천 노천탕 신호,room_bath;open_air_public_bath,리뷰풀 수는 이번 샘플에서 미확정,https://arima-hatago.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Ikkyu Arima room-open-air ranking,needs_official_crosscheck,0,0,https://arima-hatago.com/ ; https://arima-hatago.com/access/ ; https://tabiiro.jp/yado/s/101734-kobe-arima-hatago/,공식에서 2023년 GRAND OPEN 및 숙박 시설 확인. 온천/객실탕 세부는 추가 확인 필요 | 공식 접근 가능. bath fact는 공식 하위 페이지 확인 필요. | verification_result=official_identity_confirmed | next_status_raw=needs_bath_detail_and_review_pool_count
arima-hyoe-koyokaku,兵衛向陽閣,Hyoe Koyokaku,arima,兵庫県,large ryokan hotel,Tier 1,hold,"아리마 대형 노포, 금천 대욕장 리뷰풀 후보",public_bath;open_air_public_bath,Rakuten/Jalan/Ikkyu surfaces exist; chlorine smell signal visible on Ikkyu snippet,https://www.hyoe.co.jp/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Arima popular ryokan exposure,needs_bath_detail_crosscheck,0,0,https://www.hyoe.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/8636/review.html ; https://www.jalan.net/yad321542/kuchikomi/ ; https://www.ikyu.com/00000734/,公式宿として候補維持。OTAレビューで金泉・銀泉・複数大浴場・露天・サウナを確認 | 金泉評価が強い一方、銀泉の塩素臭言及が見える。浴場別 리뷰 태깅 가치 높음 | verification_result=official_identity_and_multi_ota_bath_surface_confirmed | next_status_raw=needs_official_bath_detail_and_review_pool_count
arima-kinzan,有馬温泉 欽山,Kinzan,arima,兵庫県,luxury ryokan,Tier 1,hold,"아리마 고급 료칸, 금천/은천 후보",public_bath;open_air_public_bath,리뷰풀 수는 이번 샘플에서 미확정,https://www.kinzan.co.jp/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Rakuten Top20 area seed,needs_official_crosscheck,0,0,https://www.kinzan.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/53390/53390.html ; https://www.feel-kobe.jp/facilities/0000000330/,공식 제목에서 은천 노천풍로付き客室과 금천 대욕장 신호. 관광 페이지에서도 금천/은천 이용 신호 확인 | 고급 료칸 정체성은 안정. 플랫폼별 리뷰 수 추가 필요. | verification_result=official_and_ota_surface_confirmed | next_status_raw=needs_review_pool_count
arima-kosenkaku,有馬温泉 元湯 古泉閣,Kosenkaku,arima,兵庫県,traditional ryokan,Tier 1,hold;operation_recheck,"자가원천/금천 후보, 로지·료칸 혼합형",unclear,과거 리뷰는 존재하지만 현행 리뷰풀로 취급 금지,https://www.kosenkaku.com/,운영/당일이용 조건 변동 가능성이 있어 최신 공식 공지 재확인 필요,Arima accommodation exposure,needs_official_crosscheck,0,0,https://www.kosenkaku.com/ ; https://www.instagram.com/kosenkaku_official/ ; https://www.facebook.com/p/%E6%9C%89%E9%A6%AC%E6%B8%A9%E6%B3%89-%E5%85%83%E6%B9%AF-%E5%8F%A4%E6%B3%89%E9%96%A3-Motoyu-Kosenkaku-100063586446329/,공식 도메인 후보는 서버 초기 페이지. SNS/외부 표면에서 폐관 신호가 보여 현행 숙박 후보로 사용 위험 | 후보 마스터에서 바로 deep review로 보내면 안 됨. 폐관/운영종료 여부 우선 확인. | verification_result=current_operation_problem | next_status_raw=hold_needs_current_operation_verification
arima-maruyama,有馬温泉 竹取亭円山,Taketoritei Maruyama,arima,兵庫県,ryokan,Tier 1,ready,"대절탕/객실탕 후보, 한국어 수요 가능성",room_bath;private_bath_or_family_bath_unclear,리뷰풀 수는 이번 샘플에서 미확정,https://www.taketoritei.com/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Arima accommodation exposure,needs_official_crosscheck,0,0,https://www.taketoritei.com/ ; https://www.jalan.net/yad327145/ ; https://travel.rakuten.co.jp/HOTEL/2093/2093.html,공식/OTA에서 온천付き客室과 8개貸切風呂·金泉/銀泉 신호 확인 | 객실온천/대절탕 구분이 중요. 가족탕과 객실탕을 분리 태깅해야 함. | verification_result=official_and_ota_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
arima-nakanobo,中の坊瑞苑,Nakanobo Zuien,arima,兵庫県,luxury ryokan,Tier 1,ready,"아리마 최고급 숙소, 대욕장·객실탕 후보",room_bath;public_bath;open_air_public_bath,Rakuten visible 767 reviews; Jalan visible 888 reviews in search surfaces,https://www.zuien.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",MyBest/Ikkyu Arima exposure,needs_official_crosscheck,0,0,https://www.zuien.jp/ ; https://travel.rakuten.co.jp/HOTEL/25288/25288.html ; https://www.jalan.net/yad342576/,공식에서 금泉/銀泉 이용형태와 입浴のみ営業なし 명시. OTA에서 대욕장/露天風呂/サウナ 표면 확인 | 숙박자 전용 성격이 강함. 시설형으로 오분류하지 말 것. | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
arima-okuno-hosomichi,天地の宿 奥の細道,Okuno Hosomichi,arima,兵庫県,luxury ryokan,Tier 1,hold;split_needed,객실 노천탕·자가원천/금천 신호,room_open_air_bath,review bodies/snippets visible on Rakuten and Oyutabi but count not locked,https://www.arima-okunohosomichi.com/,객실/공용/당일/외탕 등 욕장 단위 분리 후 조사 필요,Ikkyu Arima room-open-air ranking,needs_official_crosscheck,0,0,https://www.arima-okunohosomichi.com/ ; https://travel.rakuten.co.jp/HOTEL/67088/67088.html ; https://oyutabi.biglobe.ne.jp/h40478/,공식에서 객실 테라스/露天風呂 조망 신호. 외부 표면에서 방별 금泉/자가원천 차이 주의 신호 | 예약 혼동 가능성이 있어 객실별 탕 종류 확인 우선. | verification_result=official_and_risk_signal_confirmed | next_status_raw=needs_room_type_bath_detail_check
arima-shisui,SPA TERRACE紫翠,SPA TERRACE Shisui,arima,兵庫県,modern ryokan,Tier 1,hold,"객실 노천탕 후보, 현대형 스파 숙소",room_open_air_bath,리뷰풀 수는 이번 샘플에서 미확정,https://arima-shisui.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,MyBest Arima room-open-air ranking,needs_official_crosscheck,0,0,https://arima-shisui.com/ ; https://travel.rakuten.co.jp/HOTEL/164929/164929.html ; https://www.feel-kobe.jp/facilities/0000003512/,공식에서 자가泉源 金泉/銀泉 및 여성욕장 아로마ミストサウナ 신호. 12세 미만 제한과 계단 안내 확인 | 시설형 스파가 아니라 숙박시설로 유지. 접근성 주의 정보 중요. | verification_result=official_and_ota_surface_confirmed | next_status_raw=needs_review_pool_count
kinosaki-kawaguchiya-riverside,川口屋城崎リバーサイドホテル,Kawaguchiya Kinosaki Riverside Hotel,kinosaki,兵庫県,ryokan hotel,Tier 1,hold,객실 노천탕과 강변 대욕장 후보,room_open_air_bath;public_bath;private_bath_or_family_bath_unclear;facility_wide_sotoyu_access,review count not locked,https://www.kawaguchiya.co.jp/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Jalan Kinosaki room-open-air source,needs_official_crosscheck,0,0,https://www.kawaguchiya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/5307/5307.html ; https://resv.kinosaki-spa.gr.jp/kawagutiyariverside/,公式で貸切展望露天風呂を訴求。城崎温泉観光協会ページで温泉あり・家族貸切風呂あり・客室露天あり・露天風呂なしの施設情報を確認 | 通常の露天風呂なし/貸切展望露天/客室露天の区別が重要。 | verification_result=official_and_association_surface_confirmed | next_status_raw=needs_review_pool_count
kinosaki-mikiya,城崎温泉 三木屋,Mikiya,kinosaki,兵庫県,historic ryokan,Tier 1,hold;split_needed,문학성 있는 전통 료칸과 외탕 접근성 후보,room_bath;facility_wide_sotoyu_access,Ikkyu shows 46; Jalan shows 293; JTB review surface exists,https://kinosaki-mikiya.jp/,객실/공용/당일/외탕 등 욕장 단위 분리 후 조사 필요,regional high-value source,needs_source_crosscheck,0,0,https://kinosaki-mikiya.jp/ ; https://www.ikyu.com/00002006/review/ ; https://www.jalan.net/yad338212/kuchikomi/ ; https://www.jtb.co.jp/kokunai-hotel/htl/6318005/review/,公式で城崎温泉の老舗旅館として確認。外湯文化と内湯を分ける必要あり | 城崎は外湯が主要体験。宿単体の浴場評価と街の外湯巡りを混同しない | verification_result=official_and_multi_ota_surface_confirmed | next_status_raw=needs_inner_bath_vs_sotoyu_split
kinosaki-nishimuraya-honkan,西村屋本館,Nishimuraya Honkan,kinosaki,兵庫県,luxury ryokan,Tier 1,hold,기노사키 대표 고급 료칸과 외탕 접근성 후보,room_open_air_bath;public_bath;facility_wide_sotoyu_access,review count not locked,https://www.nishimuraya.ne.jp/honkan/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Ikkyu Kinosaki source,needs_official_crosscheck,0,0,https://www.nishimuraya.ne.jp/honkan/ ; https://www.nishimuraya.ne.jp/honkan/rooms/ ; https://resv.kinosaki-spa.gr.jp/nishimurayahonkan/,公式で大浴場・露天風呂と露天風呂付客室を確認。観光協会ページでも3つの風呂を確認 | 客室露天と大浴場露天を分けて深掘り対象。 | verification_result=official_and_bath_detail_confirmed | next_status_raw=needs_review_pool_count
kinosaki-nishimuraya-shogetsutei,西村屋ホテル招月庭,Nishimuraya Hotel Shogetsutei,kinosaki,兵庫県,luxury ryokan hotel,Tier 1,ready,정원 노천과 객실 노천탕 후보,room_open_air_bath;public_bath;private_bath_or_family_bath_unclear,Jalan visible 1113 reviews in search surface,https://www.nishimuraya.ne.jp/shogetsu/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Ikkyu and Jalan Kinosaki sources,needs_official_crosscheck,0,0,https://www.nishimuraya.ne.jp/shogetsu/ ; https://www.nishimuraya.ne.jp/shogetsu/spa/ ; https://www.jalan.net/yad332274/,公式で大浴場・露天風呂・サウナ・水風呂および露天風呂付客室を確認 | 貸切露天/露天付客室/大浴場が複数ありエリア分離必須。 | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
kinosaki-ryokufukaku,きのさきの宿 緑風閣,Ryokufukaku,kinosaki,兵庫県,ryokan,Tier 1,hold;split_needed,객실 노천탕과 외탕 접근성 후보,room_open_air_bath;facility_wide_sotoyu_access,Jalan visible 1666 reviews in search surface,https://ryokufukaku.com/room/,객실/공용/당일/외탕 등 욕장 단위 분리 후 조사 필요,Ikkyu and Jalan Kinosaki sources,needs_official_crosscheck,0,0,https://ryokufukaku.com/room/ ; https://www.jalan.net/yad342038/ ; https://resv.kinosaki-spa.gr.jp/ryokufukaku/,公式客室ページで露天風呂付客室を確認。一方観光協会ページでは客室露天なし表記があり情報差分あり | 公式客室ページと観光協会施設表の差分あり. 최신 객실 카테고리 기준 재확인 필요. | verification_result=conflicting_bath_detail_surface | next_status_raw=needs_official_room_type_recheck
shirahama-kachofugetsu,南紀白浜 和みの湯 花鳥風月,Kachofugetsu,shirahama,和歌山県,ryokan,Tier 1,ready,객실 노천탕/온천 숙소 후보,room_open_air_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten/Jalan/Yahoo surfaces mention in-room semi-open-air onsen, drinks while bathing, elderly family satisfaction, high privacy; public bath does not exist",https://shirahama-kachofugetsu.com/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan Shirahama room-open-air page,needs_official_crosscheck,0,0,https://shirahama-kachofugetsu.com/ ; https://travel.rakuten.co.jp/HOTEL/183409/review.html ; https://www.jalan.net/yad351872/kuchikomi/ ; https://travel.yahoo.co.jp/00913643/review/,公式で全24室、あえて大浴場を設けず各部屋に天然温泉を24時間楽しめる半露天風呂を用意と確認 | 大浴場なしの客室半露天温泉特化型。全室/24時間/高齢家族・プライベート需要を明確に扱う | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
