kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
facility,atami-fuua,オーシャンスパ Fuua,오션스파 후아,atami,静岡県,wellness_spa,Tier 1,ready;operation_recheck,verification_result: official_and_tourism_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式/熱海観光で絶景露天立ち湯・岩盤浴・休憩ラウンジ・カフェ를 확인. 料金/休館日 표면 확인 | visible_review_pool_observation: review count not locked | notes: 대형 온천시설형. 가격/휴식공간/혼잡 신호를 분리.,公式/熱海観光で絶景露天立ち湯・岩盤浴・休憩ラウンジ・カフェ를 확인. 料金/休館日 표면 확인,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.atamibayresort.com/fuua/ ; https://www.ataminews.gr.jp/spot/717 ; https://www.instagram.com/oceanspafuua_official/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,atami-nikkotei,日航亭・大湯,닛코테이 오유,atami,静岡県,historic_public_bath,Tier 1,hold;operation_recheck,verification_result: source_surface_probable | next_status: needs_official_site_open_check | official_bath_or_product_fact: 公式 후보와熱海観光 surface로徳川家康ゆかりの日帰り温泉 후보 확인 | visible_review_pool_observation: review count not locked | notes: 공식성/운영상태 추가 확인 필요.,公式 후보와熱海観光 surface로徳川家康ゆかりの日帰り温泉 후보 확인,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://nikkotei.amebaownd.com/ ; https://www.ataminews.gr.jp/spot/120,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,atami-marinespa,マリンスパあたみ,마린스파 아타미,atami,静岡県,wellness_spa,Tier 2,hold,"tier_priority_hold: Tier 2 outside this pass | initial_signal: 수영장/스파형 가족시설, 온천시설 후보 | existing_verification_status: needs_source_crosscheck",,not counted in this pass,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,atami-ekimae-onsen,熱海駅前温泉浴場（田原浴場）,아타미역앞 온천욕장,atami,静岡県,historic_public_bath,Tier 2,hold,"tier_priority_hold: Tier 2 outside this pass | initial_signal: 역앞 공동욕장, 수건/비누 지참 가능성 등 준비물 신호 후보 | existing_verification_status: needs_official_detail_crosscheck",,not counted in this pass,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,atami-yamadayu,山田湯,야마다유,atami,静岡県,historic_public_bath,Tier 2,hold,"tier_priority_hold: Tier 2 outside this pass | initial_signal: 공동욕장, 로컬 규칙/어메니티 신호 후보 | existing_verification_status: needs_official_detail_crosscheck",,not counted in this pass,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ito-tokaikan,東海館,도카이칸,ito-izu,静岡県,historic_public_bath,Tier 1,hold;operation_recheck,verification_result: municipal_surface_confirmed | next_status: needs_official_product_detail_check | official_bath_or_product_fact: 伊東市公式観光で文化施設・温泉入浴候補として 확인 | visible_review_pool_observation: review count not locked | notes: 문화재/목욕시설 운영일이 제한적일 수 있어 current operation 확인 필요.,伊東市公式観光で文化施設・温泉入浴候補として 확인,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://itospa.com/spot/detail_54002.html ; https://itospa.com/spa/index.html,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ito-marine-town-seaside-spa,伊東マリンタウン シーサイドスパ,이토 마린타운 시사이드스파,ito-izu,静岡県,wellness_spa,Tier 1,ready;operation_recheck,verification_result: official_product_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で道の駅内温浴施設・朝5時から営業・海景色を確認 | visible_review_pool_observation: review count not locked | notes: 早朝営業・道の駅複合性が特徴.,公式で道の駅内温浴施設・朝5時から営業・海景色を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://ito-marinetown.co.jp/seasidespa/ ; https://shizuoka.mytabi.net/izu/archives/seaside-spa.php?vmode=pcmode,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ito-akazawa-day-spa,赤沢日帰り温泉館,아카자와 일일온천관,ito-izu,静岡県,large_day_use_complex,Tier 1,ready;split_needed,verification_result: official_product_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で太平洋一望の絶景露天風呂・岩盤浴・ラウンジ等を確認 | visible_review_pool_observation: review count not locked | notes: 大型日帰り温泉館. 露天・岩盤浴・休憩空間を分離.,公式で太平洋一望の絶景露天風呂・岩盤浴・ラウンジ等を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.izuakazawa.jp/spa-health/higaeri-onsen/ ; https://itospa.com/spa/index.html,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ito-kawana-irukahama,川奈いるか浜公園 足湯候補,가와나 이루카하마 족탕 후보,ito-izu,静岡県,footbath,Tier 3,hold;footbath_only,"tier_priority_hold: Tier 3 outside this pass | initial_signal: 해변 관광동선형 족탕 후보, 현존/운영 확인 필요 | existing_verification_status: needs_source_crosscheck",,not counted in this pass,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ito-hokkawa-kuroane,黒根岩風呂,구로네이와부로,ito-izu,静岡県,open_air_public_bath,Tier 1,ready;operation_recheck,verification_result: official_operation_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で海沿い露天風呂・営業時間・料金・完全男女別を確認 | visible_review_pool_observation: review count not locked | notes: 海沿い露天型. 石鹸/設備/天候/混雑 신호 중요.,公式で海沿い露天風呂・営業時間・料金・完全男女別を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hokkawa-onsen.com/kurone,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
