slug,entity_type,region_group,area,prefecture,tier,candidate_status_original,name_ja,name_ko_or_en,identity_status,visible_review_pool,direct_review_count,onsen_related_count,platform_count,google_checked,naver_checked,bath_axis_split,grade_claimed,grade_verified,qa_status,issue,next_action,service_copy_qa_note,deep_research_folder,manifest_file,summary_file,platform_mapping_file,aggregate_file,platforms_direct
arima-gekkoen-korokan,accommodation,kansai,arima,兵庫県,Tier 1,hold,月光園 鴻朧館,Gekkoen Korokan,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-goshobessho,accommodation,kansai,arima,兵庫県,Tier 1,hold;split_needed,有馬山叢 御所別墅,Goshobessho,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-goshoboh,accommodation,kansai,arima,兵庫県,Tier 1,hold,陶泉 御所坊,Tocen Goshoboh,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-grand-hotel,accommodation,kansai,arima,兵庫県,Tier 1,hold,有馬グランドホテル,Arima Grand Hotel,matched_or_alias_checked,6537,402,189,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/arima-grand-hotel-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,arima_grand_signal_aggregate_2026-07-04.json,
arima-hanamusubi,accommodation,kansai,arima,兵庫県,Tier 1,ready,有馬温泉 御幸荘 花結び,Miyukiso Hanamusubi,matched_or_alias_checked,4246,548,306,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/arima-hanamusubi-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,hanamusubi_signal_aggregate_2026-07-04.json,Rakuten Travel;Jalan;JTB;Google Reviews;Naver Blog
arima-hatago,accommodation,kansai,arima,兵庫県,Tier 1,hold,有馬温泉 四季の彩 旅篭,Shiki no Irodori Hatago,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-hyoe-koyokaku,accommodation,kansai,arima,兵庫県,Tier 1,hold,兵衛向陽閣,Hyoe Koyokaku,matched_or_alias_checked,,565,285,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/arima-hyoe-koyokaku-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,hyoe_koyokaku_signal_aggregate_2026-07-04.json,
arima-kinzan,accommodation,kansai,arima,兵庫県,Tier 1,hold,有馬温泉 欽山,Kinzan,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-kosenkaku,accommodation,kansai,arima,兵庫県,Tier 1,hold;operation_recheck,有馬温泉 元湯 古泉閣,Kosenkaku,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-maruyama,accommodation,kansai,arima,兵庫県,Tier 1,ready,有馬温泉 竹取亭円山,Taketoritei Maruyama,incomplete_deep_folder,,,,,no,no,no,not_claimed,D,needs_research_reinforcement,manifest/summary/platform_mapping 세트 미완성; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정; bath axis 분리 산출 확인 필요,딥리서치 manifest/summary/platform/evidence 세트 작성부터 재개,강하게 반복 표현 금지; 탐색/B급 신호로 제한,research/onsen-deep-research/arima-maruyama-2026-07-04,,,,,
