slug,region_group,region,area,current_display_name_ko,name_ja,name_en,current_name,name_verification_status,issue,suggested_display_name_ko,suggested_aliases_ko,review_note
toyako-lake-suite-konosisu,hokkaido,hokkaido-toyako,홋카이도 hokkaido-toyako,ザ・レイクスイート湖の栖,ザ・レイクスイート湖の栖,,ザ・レイクスイート湖の栖,needs_review,missing_korean_display_name,,,
jozankei-grand-blissen,hokkaido,jozankei,홋카이도 jozankei,グランドブリッセンホテル定山渓,グランドブリッセンホテル定山渓,,グランドブリッセンホテル定山渓,needs_review,missing_korean_display_name,,,
jozankei-chalet-ivy,hokkaido,jozankei,홋카이도 jozankei,シャレーアイビー定山渓,シャレーアイビー定山渓,,シャレーアイビー定山渓,needs_review,missing_korean_display_name,,,
jozankei-suizantei,hokkaido,jozankei,홋카이도 jozankei,定山渓第一寶亭留 翠山亭,定山渓第一寶亭留 翠山亭,,定山渓第一寶亭留 翠山亭,needs_review,missing_korean_display_name,,,
noboribetsu-mahoroba,hokkaido,noboribetsu,홋카이도 noboribetsu,ホテルまほろば,ホテルまほろば,,ホテルまほろば,needs_review,missing_korean_display_name,,,
noboribetsu-hanayura,hokkaido,noboribetsu,홋카이도 noboribetsu,旅亭 花ゆら,旅亭 花ゆら,,旅亭 花ゆら,needs_review,missing_korean_display_name,,,
noboribetsu-bourou-noguchi,hokkaido,noboribetsu,홋카이도 noboribetsu,望楼NOGUCHI登別,望楼NOGUCHI登別,,望楼NOGUCHI登別,needs_review,missing_korean_display_name,,,
noboribetsu-manseikaku,hokkaido,noboribetsu,홋카이도 noboribetsu,登別万世閣,登別万世閣,,登別万世閣,needs_review,missing_korean_display_name,,,
noboribetsu-takinoya,hokkaido,noboribetsu,홋카이도 noboribetsu,登別温泉郷 滝乃家,登別温泉郷 滝乃家,,登別温泉郷 滝乃家,needs_review,missing_korean_display_name,,,
noboribetsu-grand,hokkaido,noboribetsu,홋카이도 noboribetsu,祝いの宿 登別グランドホテル,祝いの宿 登別グランドホテル,,祝いの宿 登別グランドホテル,needs_review,missing_korean_display_name,,,
noboribetsu-daiichi-takimotokan,hokkaido,noboribetsu,홋카이도 noboribetsu,第一滝本館,第一滝本館,,第一滝本館,needs_review,missing_korean_display_name,,,
tokachigawa-seijakubou,hokkaido,tokachigawa,홋카이도 tokachigawa,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,needs_review,missing_korean_display_name,,,
yunokawa-hanabishi,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,函館・湯の川温泉 花びしホテル,函館・湯の川温泉 花びしホテル,,函館・湯の川温泉 花びしホテル,needs_review,missing_korean_display_name,,,
yunokawa-heiseikan-shiosaitei,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,平成館 しおさい亭,平成館 しおさい亭,,平成館 しおさい亭,needs_review,missing_korean_display_name,,,
yunokawa-heiseikan-hanatsuki,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,平成館 しおさい亭 別館 花月,平成館 しおさい亭 別館 花月,,平成館 しおさい亭 別館 花月,needs_review,missing_korean_display_name,,,
yunokawa-nagisatei,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,湯の川プリンスホテル渚亭,湯の川プリンスホテル渚亭,,湯の川プリンスホテル渚亭,needs_review,missing_korean_display_name,,,
fujiyoshida-kaneyamaen,kanto,fujiyoshida,야마나시 가와구치코/후지요시다,후지산온센 호텔 카네야마엔,庭園と感動の宿 富士山温泉 ホテル鐘山苑,Hotel Kaneyamaen,후지산온센 호텔 카네야마엔,needs_review,korean_present_needs_style_review,,,
hakone-gen-gora,kanto,hakone,가나가와 하코네,겐 하코네 고라,玄 箱根強羅,Gen Hakone Gora,겐 하코네 고라,needs_review,korean_present_needs_style_review,,,
hakone-gora-kadan,kanto,hakone,가나가와 하코네,고라 카단,強羅花壇,Gora Kadan,고라 카단,needs_review,korean_present_needs_style_review,,,
hakone-matsuzakaya,kanto,hakone,가나가와 하코네,마츠자카야 혼텐,箱根の名湯 松坂屋本店,Matsuzakaya Honten,마츠자카야 혼텐,needs_review,korean_present_needs_style_review,,,
hakone-yama-no-chaya,kanto,hakone,가나가와 하코네,야마노차야,山の茶屋,Yama no Chaya,야마노차야,needs_review,korean_present_needs_style_review,,,
hakone-gora-karaku,kanto,hakone,가나가와 하코네,하코네 고라 가라쿠,箱根・強羅 佳ら久,Hakone Gora Karaku,하코네 고라 가라쿠,needs_review,korean_present_needs_style_review,,,
hakone-byakudan,kanto,hakone,가나가와 하코네,하코네 고라 백단,箱根強羅 白檀,Hakone Gora Byakudan,하코네 고라 백단,needs_review,korean_present_needs_style_review,,,
hakone-ginyu,kanto,hakone,가나가와 하코네,하코네 긴유,箱根吟遊,Hakone Ginyu,하코네 긴유,needs_review,korean_present_needs_style_review,,,
hakone-yuyado-zen,kanto,hakone,가나가와 하코네,하코네 유야도 젠,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,하코네 유야도 젠,needs_review,korean_present_needs_style_review,,,
hakone-kowakien-tenyu,kanto,hakone,가나가와 하코네,하코네 코와키엔 텐유,箱根小涌園 天悠,Hakone Kowakien Ten-yu,하코네 코와키엔 텐유,needs_review,korean_present_needs_style_review,,,
hakone-fontainebleau,kanto,hakone,가나가와 하코네,하코네 폰테느 블로 센고쿠테이,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,하코네 폰테느 블로 센고쿠테이,needs_review,korean_present_needs_style_review,,,
isawa-fujinoya,kanto,isawa,야마나시 이사와,Chateraise Hotel Ryokan Fujinoya / Fujinoya,シャトレーゼホテル 旅館 富士野屋,Chateraise Hotel Ryokan Fujinoya,Chateraise Hotel Ryokan Fujinoya / Fujinoya,needs_review,missing_korean_display_name,,,
isawa-itoyanagi,kanto,isawa,야마나시 이사와,Itoyanagi / Isawa Meito-kan Itoyanagi,石和名湯館 糸柳,Itoyanagi,Itoyanagi / Isawa Meito-kan Itoyanagi,needs_review,missing_korean_display_name,,,
isawa-itoyanagi-yuwa,kanto,isawa,야마나시 이사와,Itoyanagi Koyado Yuwa,糸柳こやど ゆわ,Itoyanagi Koyado Yuwa,Itoyanagi Koyado Yuwa,needs_review,missing_korean_display_name,,,
kawaguchiko-kukuna,kanto,kawaguchiko,야마나시 가와구치코/후지요시다,더 쿠쿠나,THE KUKUNA,The Kukuna,더 쿠쿠나,needs_review,korean_present_needs_style_review,,,
