research_order,slug,name_ja,name_ko_or_en,area,track,source_tier,bath_research_axes,initial_review_pool_signal,priority_reason,status
1,tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,세이자쿠보 / Seijakubou,tokachigawa,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath,"Ikkyu surfaces mention wide room open-air bath, source-flow moor water, yuno-hana, soft texture, star view, high food/service satisfaction; visible review pool is smaller but signal is clear","Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
2,toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,The Lake Suite Ko no Sumika,hokkaido-toyako,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath,"Rakuten surfaces mention all-room onsen open-air and sky open-air bath, but room bath temperature adjustment can be difficult; parking/check-in friction also visible","Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
3,noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Bourou Noguchi Noboribetsu,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_bath;public_bath,"Ikkyu shows 147 reviews; visible reviews mention in-room onsen bath large enough for adults, milky/toro-toro public bath, quiet smaller-luxury preference and some aging facilities","Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
4,jozankei-suizantei,定山渓第一寶亭留 翠山亭,Jozankei Daiichi Hotel Suizantei,jozankei,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_bath,"Rakuten shows 1,380+ review scale; visible reviews mention room bath wide/easy, public bath temperature good, lounge and facility comfort","Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
5,yunokawa-nagisatei,湯の川プリンスホテル渚亭,Yunokawa Prince Hotel Nagisatei,yunokawa-hakodate,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath,Ikkyu/JTB/Rakuten surfaces mention room open-air bath view and spring quality; service expectation gap also visible,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
6,noboribetsu-daiichi-takimotokan,第一滝本館,Dai-ichi Takimotokan,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath;public_bath;open_air_public_bath,Rakuten review surface shows 1.6k marker; official/Rakuten both bath-variety emphasis,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
7,noboribetsu-mahoroba,ホテルまほろば,Hotel Mahoroba,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath;public_bath;open_air_public_bath,"Rakuten shows 2,067 review marker and visible reviews strongly mention large bath, many bath types, Noboribetsu onsen feeling; 4travel also highlights 4泉質/31 baths","Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
8,noboribetsu-grand,祝いの宿 登別グランドホテル,Noboribetsu Grand Hotel,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath;public_bath;open_air_public_bath,Rakuten review surface has 2026 review praising spacious baths and variety,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
9,noboribetsu-manseikaku,登別万世閣,Noboribetsu Manseikaku,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath;public_bath;open_air_public_bath,Rakuten/Sauna-ikitai surfaces exist; sauna and private sauna signal visible,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_one_platform_sampled
10,noboribetsu-takinoya,登別温泉郷 滝乃家,Takinoya,noboribetsu,accommodation_deep_review_expanded_static_multi_platform,Tier 1,room_open_air_bath;public_bath;open_air_public_bath,Rakuten shows 335 marker; Jalan/楽天 surfaces mention room bath and high bath scores,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",expanded_static_multi_platform_sampled
