slug,row_index,platform,rating,onsen_related,signal_tags,issue_tags,signal_direction,rule,confidence
beppu-bettei-haruki,1,Jalan,,True,風呂;露天;半露天;湯;お湯;時間,,positive,body_positive,high
beppu-bettei-haruki,2,Jalan,,True,温泉;風呂;露天;半露天,,positive,body_positive,high
beppu-bettei-haruki,3,Jalan,,True,風呂;露天;半露天;貸切,,positive,body_positive,high
beppu-bettei-haruki,4,Jalan,,True,風呂;予約,,mixed,body_positive_and_negative,high
beppu-bettei-haruki,5,Jalan,,False,,,positive,body_positive,high
beppu-bettei-haruki,6,Jalan,,False,,,positive,body_positive,high
beppu-bettei-haruki,7,Jalan,,True,風呂;露天;半露天;貸切;狭,,mixed,body_negative_with_context,high
beppu-bettei-haruki,8,Jalan,,True,風呂;露天;半露天;貸切,,positive,body_positive,high
beppu-bettei-haruki,9,Jalan,,True,水,,mixed,body_positive_and_negative,high
beppu-bettei-haruki,10,Jalan,,True,風呂,,mixed,body_positive_and_negative,high
beppu-bettei-haruki,11,Jalan,,True,風呂;露天,,positive,body_positive,high
beppu-bettei-haruki,12,Jalan,,True,風呂;浴;時間,,positive,body_positive,high
beppu-bettei-haruki,13,Jalan,,True,温泉;貸切;予約,,positive,body_positive,high
beppu-bettei-haruki,14,Jalan,,False,,,positive,body_positive,high
beppu-bettei-haruki,15,Jalan,,True,温泉,,mixed,body_positive_and_negative,high
beppu-bettei-haruki,16,Jalan,,True,温泉;風呂;源泉;時間,,positive,body_positive,high
beppu-bettei-haruki,17,Jalan,,True,温泉;風呂;湯;浴,,mixed,body_positive_and_negative,high
beppu-bettei-haruki,18,Jalan,,True,浴,,positive,body_positive,high
beppu-bettei-haruki,19,Jalan,,True,温泉;風呂;露天;浴,,positive,body_positive,high
beppu-bettei-haruki,20,Jalan,,True,風呂;貸切,,positive,body_positive,high
beppu-hachiyo,1,Rakuten Travel,5,1,room_open_air_bath;small_bath_or_room;food,,positive,body_positive,high
beppu-hachiyo,2,Rakuten Travel,5,1,room_open_air_bath;food,,positive,body_positive,high
beppu-hachiyo,3,Rakuten Travel,4,1,private_bath;small_bath_or_room;food,,mixed,body_positive_and_negative,high
beppu-hachiyo,4,Rakuten Travel,4,1,room_open_air_bath;food,,positive,rating_positive_signal,medium
beppu-hachiyo,5,Rakuten Travel,3,1,room_open_air_bath;food;access,,mixed,body_negative_with_context,high
beppu-hachiyo,6,Rakuten Travel,5,1,room_open_air_bath;food;access,,mixed,body_positive_and_negative,high
beppu-hachiyo,7,Rakuten Travel,5,1,room_open_air_bath;food,,positive,body_positive,high
beppu-hachiyo,8,Rakuten Travel,5,1,room_open_air_bath;food;access,,positive,body_positive,high
beppu-hachiyo,9,Rakuten Travel,5,1,room_open_air_bath;room_bath;food,,positive,body_positive,high
beppu-hachiyo,10,Rakuten Travel,5,1,room_open_air_bath;room_bath;food,,mixed,body_positive_and_negative,high
beppu-hachiyo,11,Rakuten Travel,5,1,private_bath;food,,positive,body_positive,high
