Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Priority,Components,Fix Version
Epic,"[E0] Contract & Compliance Foundation","Goal: Team-wide contract alignment and release-blocking compliance baseline.","E0 Contract & Compliance Foundation",,"getbathtime v3_10_2 market_first compliance",Highest,"core-engine,compliance",v3.10.2-MVP
Story,"[E0-S1] PRD contract types and runtime validation","Goal:\n- Lock PRD contracts to code types.\nAcceptance Criteria:\n- [ ] 1:1 field mapping for HomeOrchestrationContract, EngineSelector, ProductProfile, ModeProtocol\n- [ ] Runtime validation logs errors without silent fallback\nDependencies:\n- None\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Sections 24,26)\n- /Users/exem/DK/BathSommelier/docs/POLICY_APPENDIX.md",,"E0 Contract & Compliance Foundation","getbathtime v3_10_2 market_first contract",Highest,core-engine,v3.10.2-MVP
Story,"[E0-S2] Persistent legal disclaimer","Goal:\n- Keep legal disclaimer always visible in required surfaces.\nAcceptance Criteria:\n- [ ] Same fixed text shown in settings and recipe\n- [ ] No shortened/modified copy\n- [ ] Screenshot QA checklist passes\nDependencies:\n- None\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Section 21)",,"E0 Contract & Compliance Foundation","getbathtime v3_10_2 market_first legal",Highest,compliance,v3.10.2-MVP
Story,"[E0-S3] Copy safety gate","Goal:\n- Prevent medical-claim copy from entering product surfaces.\nAcceptance Criteria:\n- [ ] Forbidden claim detection checklist defined\n- [ ] Applied to recommendation/product/trip narrative text\n- [ ] Release checklist includes 0 policy violations\nDependencies:\n- E0-S2\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Section 13)",,"E0 Contract & Compliance Foundation","getbathtime v3_10_2 market_first copy",Highest,compliance,v3.10.2-MVP
Epic,"[E1] Onboarding & Intake","Goal: Collect minimum signal for state, safety, and environment with low friction.","E1 Onboarding & Intake",,"getbathtime v3_10_2 market_first onboarding",High,app-ui,v3.10.2-MVP
Story,"[E1-S1] Lightweight onboarding (2-3 questions)","Goal:\n- Complete onboarding under 30 seconds.\nAcceptance Criteria:\n- [ ] onboarding_variant_exposed and onboarding_completed events recorded\n- [ ] questions_count included\nDependencies:\n- E0-S1\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Section 9)\n- /Users/exem/DK/BathSommelier/docs/ANALYTICS_APPENDIX.md",,"E1 Onboarding & Intake","getbathtime v3_10_2 market_first onboarding analytics",High,"app-ui,analytics",v3.10.2-MVP
Story,"[E1-S2] Today Signal + optional safety input","Goal:\n- Persist active_state and optional safety context.\nAcceptance Criteria:\n- [ ] Exactly one active_state is always stored\n- [ ] Health input is optional with safety reason text\n- [ ] health_input_prompt_seen and health_input_submitted_optional events recorded\nDependencies:\n- E1-S1\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Sections 6,9)",,"E1 Onboarding & Intake","getbathtime v3_10_2 market_first onboarding safety",High,"app-ui,core-engine",v3.10.2-MVP
Story,"[E1-S3] Environment normalization","Goal:\n- Normalize partial bath subtype data shape.\nAcceptance Criteria:\n- [ ] partial_bath_subtype persists as low_leg or footbath\n- [ ] Legacy direct footbath value blocked\n- [ ] environment and partial_bath_subtype included in recommendation events\nDependencies:\n- E1-S2\nSource References:\n- /Users/exem/DK/BathSommelier/docs/PRD_CURRENT.md (Section 6)\n- /Users/exem/DK/BathSommelier/docs/ANALYTICS_APPENDIX.md",,"E1 Onboarding & Intake","getbathtime v3_10_2 market_first onboarding analytics",High,"core-engine,analytics",v3.10.2-MVP
Epic,"[E2] EngineSelector Policy Implementation","Goal: Deterministic mode selection from policy appendix.","E2 EngineSelector Policy Implementation",,"getbathtime v3_10_2 market_first engine",Highest,core-engine,v3.10.2-MVP
Story,"[E2-S1] Base state-to-mode mapping","Goal:\n- Implement appendix v1.1 base mapping exactly.\nAcceptance Criteria:\n- [ ] cant_sleep->sleep, want_reset->reset, heavy->recovery, tension->recovery, low_mood->recovery\n- [ ] Unit tests pass for all 5 mappings\nDependencies:\n- E1-S2\nSource References:\n- /Users/exem/DK/BathSommelier/docs/POLICY_APPENDIX.md (3.1)",,"E2 EngineSelector Policy Implementation","getbathtime v3_10_2 market_first engine policy",Highest,core-engine,v3.10.2-MVP
