slug,kind,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,visible_review_or_rating_signal,why_prioritized,source_basis,verification_status,source_urls,notes
hakone-byakudan,accommodation,箱根強羅 白檀,Hakone Gora Byakudan,hakone,神奈川県,luxury ryokan,Tier 1,ready,公式で全16室源泉掛け流し露天風呂と大浴場へ自家源泉供給を確認,Rakuten visible 77 reviews in search surface,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://www.byakudan.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/153496/review.html ; https://www.ikyu.com/00002343/review/,객실노천·원천가케나가시 신호가 강함. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-fontainebleau,accommodation,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,hakone,神奈川県,auberge ryokan,Tier 1,ready,公式で全室露天風呂付き・源泉100%かけ流し白濁湯を確認。箱根観光協会で全13室の展望露天風呂を確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_tourism_bath_surface_confirmed,https://www.fontenu-hakone.com/ ; https://www.fontenu-hakone.com/room/ ; https://www.hakone.or.jp/331,오베르주형이라 식사 평가와 온천 평가를 분리할 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-gen-gora,accommodation,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,luxury ryokan,Tier 1,ready,箱ぴたで全18室すべて源泉かけ流し露天風呂付きと確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_association_bath_surface_confirmed,https://www.gen-hakone.com/ ; https://www.hakone-ryokan.or.jp/search/00517/ ; https://www.489pro.com/asp/489/menu.asp?id=14000045&lan=JPN&ty=ser,공식 사이트 본문보다 협회/예약表면에서 bath detail이 더 선명. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-ginyu,accommodation,箱根吟遊,Hakone Ginyu,hakone,神奈川県,luxury ryokan,Tier 1,ready,公式で全室露天風呂付き客室を確認。箱根観光協会でも全室専用露天風呂表面確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_tourism_bath_surface_confirmed,https://www.hakoneginyu.co.jp/ ; https://www.hakoneginyu.co.jp/guestroom.html ; https://www.hakone.or.jp/337,전실 객실노천형. 객실별 전망/프라이버시 후기 가치 큼. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-gora-kadan,accommodation,強羅花壇,Gora Kadan,hakone,神奈川県,luxury ryokan,Tier 1,ready|split_needed,公式で高級旅館 identity 확인. 관광/외부 표면에서 일부 객실源泉かけ流し露天風呂 후보 확인,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_identity_confirmed_bath_partial,https://www.gorakadan.com/ ; https://www.hakone.or.jp/1681 ; https://otonatabi-japan.com/stay/gorakadan/,일부 객실형으로 보이며 전실로 오해하면 안 됨. / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-gora-karaku,accommodation,箱根・強羅 佳ら久,Hakone Gora Karaku,hakone,神奈川県,luxury ryokan,Tier 1,ready,公式で全70室温泉露天風呂を確認。Ikkyu visible 362 reviews in search surface,Ikkyu visible 362 reviews,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://gora-karaku.orixhotelsandresorts.com/ ; https://www.ikyu.com/00002805/ ; https://www.tabiulala.com/odahako/spot357/,全室温泉露天+展望露天+貸切風呂의 복합형. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-kanaya-resort,accommodation,KANAYA RESORT HAKONE,KANAYA RESORT HAKONE,hakone,神奈川県,luxury resort ryokan,Tier 1,ready,公式で全14室の温泉リゾート identity 확인. 箱根観光協会で14室それぞれに源泉かけ流し温泉風呂を確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_tourism_bath_surface_confirmed,https://hakonekanaya.com/ ; https://www.hakone.or.jp/4872 ; https://www.ikyu.com/00002486/,露天/内風呂 표현이 표면별로 다르므로 room detail 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-kowakien-tenyu,accommodation,箱根小涌園 天悠,Hakone Kowakien Ten-yu,hakone,神奈川県,large resort ryokan,Tier 1,ready,公式で全客室温泉露天風呂付きと大浴場「浮雲の湯」を確認. 箱ぴたで150室すべて露天風呂付きと確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_association_bath_surface_confirmed,https://www.ten-yu.com/ ; https://www.hakone.or.jp/3676 ; https://www.hakone-ryokan.or.jp/search/01389/,대형 전실노천 숙소. 리뷰풀 볼륨 클 가능성 높음. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-matsuzakaya,accommodation,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,traditional ryokan,Tier 1,ready,公式で全21室・露天風呂付客室/離れ/メゾネット等を確認。箱ぴたで一部温泉付客室・貸切風呂5・源泉かけ流しを確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_association_bath_surface_confirmed,https://kinnotake-resorts.com/matsuzakayahonten/?lang=ja ; https://kinnotake-resorts.com/matsuzakayahonten/room/ ; https://www.hakone-ryokan.or.jp/search/00557/,全室温泉付ではなく一部温泉付客室. 貸切風呂와 구분. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-suisyoen,accommodation,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,luxury ryokan,Tier 1,ready,公式で自家源泉の客室露天風呂を確認。箱ぴたで全23室源泉掛け流し自家源泉露天風呂を確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_tourism_bath_surface_confirmed,https://www.hakonesuishoen.jp/ ; https://www.hakone-ryokan.or.jp/search/00512/ ; https://www.hakone.or.jp/325,전실 스위트 객실노천형. 대욕장/사우나도 별도. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
