slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
hakone-ginyu,箱根吟遊,Hakone Ginyu,hakone,神奈川県,luxury ryokan,Tier 1,"객실 노천탕·전망형 고급 료칸 대표 후보","Hakone Ikkyu/Jalan room-open-air lists",needs_official_crosscheck
hakone-gora-kadan,強羅花壇,Gora Kadan,hakone,神奈川県,luxury ryokan,Tier 1,"하코네 최고급 료칸, 대욕장·객실탕 후보","Hakone Ikkyu/Jalan luxury exposure",needs_official_crosscheck
hakone-suisyoen,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,luxury ryokan,Tier 1,"스위트·객실 노천탕 중심 후보","Hakone Ikkyu room-open-air list",needs_official_crosscheck
hakone-gora-karaku,箱根・強羅 佳ら久,Hakone Gora Karaku,hakone,神奈川県,luxury ryokan,Tier 1,"전실 온천 노천풍로 완비 신호, 리뷰풀 큼","Ikkyu Hakone room-open-air listing",needs_official_crosscheck
hakone-gen-gora,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,luxury ryokan,Tier 1,"객실 노천탕 추천 숙소 신호","Jalan/Ikkyu Hakone room-open-air exposure",needs_official_crosscheck
hakone-matsuzakaya,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,traditional ryokan,Tier 1,"명탕·원천 신호 강한 노포 료칸","Ikkyu nationwide onsen ranking seed",needs_official_crosscheck
hakone-kanaya-resort,KANAYA RESORT HAKONE,KANAYA RESORT HAKONE,hakone,神奈川県,luxury resort ryokan,Tier 1,"센고쿠하라 고급 객실 노천탕 후보","Ikkyu Hakone room-open-air list",needs_official_crosscheck
hakone-fontainebleau,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,hakone,神奈川県,auberge ryokan,Tier 1,"전 13실 노천풍로 객실 신호, 음식 평가 강함","Ikkyu Hakone room-open-air dining list",needs_official_crosscheck
hakone-yuyado-zen,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,hakone,神奈川県,small ryokan,Tier 1,"전 10실 반노천 객실 신호, 후지산 조망 후보","Ikkyu Hakone room-open-air list",needs_official_crosscheck
hakone-byakudan,箱根強羅 白檀,Hakone Gora Byakudan,hakone,神奈川県,luxury ryokan,Tier 1,"강라 고급 료칸, 객실 노천탕 후보","Ikkyu Hakone room-open-air list",needs_official_crosscheck
hakone-kowakien-tenyu,箱根小涌園 天悠,Hakone Kowakien Ten-yu,hakone,神奈川県,large resort ryokan,Tier 1,"전 객실 온천 노천풍로 계열 신호, 대형 리뷰풀 후보","Hakone room-open-air lists",needs_official_crosscheck
hakone-yama-no-chaya,山の茶屋,Yama no Chaya,hakone,神奈川県,traditional ryokan,Tier 1,"탑노사와 고급 료칸, 객실 노천탕 후보","Hakone luxury/room-open-air exposure",needs_official_crosscheck
hakone-kai,星野リゾート 界 箱根,Hoshino Resorts KAI Hakone,hakone,神奈川県,brand ryokan,Tier 1,"하코네 브랜드 료칸, 대욕장·온천감 리뷰풀 후보","Jalan/Hakone lodging exposure",needs_bath_detail_crosscheck
hakone-airu,箱根藍瑠,Hakone Airu,hakone,神奈川県,ryokan,Tier 2,"객실 노천탕 후보, 젊은 커플 수요 가능","Hakone room-open-air exposure",needs_official_crosscheck
hakone-pax-yoshino,箱根パークス吉野,Hakone Pax Yoshino,hakone,神奈川県,hotel ryokan,Tier 2,"객실 노천탕·대욕장 후보, 가격형 비교군","Hakone accommodation exposure",needs_bath_detail_crosscheck
hakone-hotel-okada,箱根湯本温泉 ホテルおかだ,Hotel Okada,hakone,神奈川県,large hotel ryokan,Tier 2,"대형 온천호텔, 대욕장·노천·리뷰풀 후보","Jalan Hakone lodging exposure",needs_bath_detail_crosscheck
hakone-tenseien,箱根湯本温泉 天成園,Tenseien,hakone,神奈川県,large hotel ryokan,Tier 2,"객실 노천탕 목록 노출, 대형 온천시설형 숙소","MyBest/Jalan Hakone room-open-air exposure",needs_official_crosscheck
hakone-nanpuso,箱根湯本温泉 ホテル南風荘,Hotel Nanpuso,hakone,神奈川県,large hotel ryokan,Tier 2,"객실 노천탕·대욕장 후보, 가족형 리뷰풀","Jalan Hakone lodging exposure",needs_bath_detail_crosscheck
hakone-setsugetsuka,季の湯 雪月花,Tokinoyu Setsugetsuka,hakone,神奈川県,ryokan hotel,Tier 2,"강라역 접근, 객실탕/대욕장/대절탕 후보","Hakone accommodation exposure",needs_official_crosscheck
hakone-mikawaya,箱根小涌園 三河屋旅館,Mikawaya Ryokan,hakone,神奈川県,traditional ryokan,Tier 2,"노포 료칸, 대욕장·객실탕 후보","Hakone accommodation exposure",needs_bath_detail_crosscheck
hakone-oukyuan,源泉かけ流しの宿 櫻休庵,Oukyuan,hakone,神奈川県,small ryokan,Tier 2,"전실 전용 전망 노천온천풍로 신호","Jalan Hakone room-open-air page",needs_official_crosscheck
hakone-oukyuan-rin,源泉かけ流しの宿 櫻休庵 別亭 凛,Oukyuan Bettei Rin,hakone,神奈川県,small ryokan,Tier 2,"전 객실 전망 노천온천풍로 신호","Jalan Hakone room-open-air page",needs_official_crosscheck
kusatsu-tokino-niwa,湯宿 季の庭,Yuyado Tokinoniwa,kusatsu,群馬県,ryokan,Tier 1,"객실 노천탕·대욕장·대절탕 후보","Kusatsu popular ryokan/room-open-air lists",needs_official_crosscheck
kusatsu-konoha,お宿 木の葉,Oyado Konoha,kusatsu,群馬県,ryokan,Tier 1,"대욕장·대절탕·탕 종류 다양성 후보","Kusatsu popular ryokan lists",needs_bath_detail_crosscheck
kusatsu-naraya,草津温泉 奈良屋,Naraya,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 노포 료칸, 유황천/대욕장 신호","Kusatsu popular ryokan lists",needs_official_crosscheck
kusatsu-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보","Kusatsu popular ryokan lists",needs_bath_detail_crosscheck
kusatsu-sakurai,草津温泉 ホテル櫻井,Hotel Sakurai,kusatsu,群馬県,large ryokan hotel,Tier 1,"객실 노천탕 목록 노출, 대형 리뷰풀 후보","MyBest/Rakuten Kusatsu room-open-air exposure",needs_official_crosscheck
kusatsu-now-resort,草津ナウリゾートホテル,Kusatsu Now Resort Hotel,kusatsu,群馬県,resort hotel,Tier 1,"객실 노천탕 후보, 리조트형 온천 비교군","Kusatsu room-open-air ranking exposure",needs_official_crosscheck
kusatsu-lavista-hills,ラビスタ草津ヒルズ,La Vista Kusatsu Hills,kusatsu,群馬県,resort ryokan,Tier 1,"전실 히노키 노천풍로, 대욕장·대절탕 신호","Rakuten Kusatsu room-open-air article",needs_official_crosscheck
kusatsu-boun,草津温泉 望雲,Boun,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 대표 료칸, 다원천/대욕장 후보","Kusatsu popular ryokan exposure",needs_bath_detail_crosscheck
kusatsu-kanemidori,草津温泉 金みどり,Kanemidori,kusatsu,群馬県,traditional ryokan,Tier 2,"湯畑 접근성, 대욕장·노천 후보","Kusatsu popular ryokan exposure",needs_bath_detail_crosscheck
kusatsu-eidaya,草津温泉 源泉一乃湯 / 永田屋,Eidaya / Gensen Ichinoyu,kusatsu,群馬県,ryokan,Tier 2,"소형/가격형 숙소, 원천·객실탕 여부 확인 후보","Kusatsu accommodation exposure",needs_identity_crosscheck
kusatsu-hotel-village,草津温泉 ホテルヴィレッジ,Kusatsu Onsen Hotel Village,kusatsu,群馬県,large resort hotel,Tier 2,"대형 리조트, 온천+가족형 수요 후보","Kusatsu popular lodging exposure",needs_bath_detail_crosscheck
kusatsu-tsutsujitei,草津温泉 つつじ亭,Tsutsujitei,kusatsu,群馬県,luxury ryokan,Tier 1,"고급 료칸, 객실탕/대욕장 후보","Kusatsu luxury lodging exposure",needs_official_crosscheck
kusatsu-osakaya,草津温泉 大阪屋,Osakaya,kusatsu,群馬県,traditional ryokan,Tier 2,"湯畑 인근 노포, 대욕장 후보","Kusatsu popular lodging exposure",needs_bath_detail_crosscheck
kusatsu-kirishimaya,草津温泉 桐島屋旅館,Kirishimaya Ryokan,kusatsu,群馬県,small ryokan,Tier 3,"소형 료칸, 로컬/가격형 비교군","Kusatsu accommodation exposure",needs_source_crosscheck
