kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
accommodation,atami-fufu,ふふ 熱海,Fufu Atami,atami,静岡県,luxury ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で全室露天風呂付きスイートを確認 | visible_review_pool_observation: Ikkyu/Yahoo/Rakuten/Relux review surfaces exist;露天のみ注意 signal visible | notes: 全室客室露天の強い候補。ただし露天のみで寒がりに不向きという期待差レビューに注意,公式で全室露天風呂付きスイートを確認,Ikkyu/Yahoo/Rakuten/Relux review surfaces exist;露天のみ注意 signal visible,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.fufuatami.jp/ ; https://www.ikyu.com/00001360/review/ ; https://travel.yahoo.co.jp/00001360/review/ ; https://travel.rakuten.co.jp/HOTEL/165597/165597.html ; https://rlx.jp/21941/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-sekaie,ATAMI せかいえ,ATAMI Sekaie,atami,静岡県,luxury ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で全室太平洋向き・客室露天風呂付きと確認 | visible_review_pool_observation: Yahoo/Ikkyu review surfaces exist; recent review visible | notes: レビューに温泉の匂いなど温泉感シグナルが見えるため深掘り価値高い,公式で全室太平洋向き・客室露天風呂付きと確認,Yahoo/Ikkyu review surfaces exist; recent review visible,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.atamisekaie.jp/ ; https://travel.yahoo.co.jp/00002107/review/ ; https://www.ikyu.com/00002107/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,ito-futarikomorebi,ホテルふたり木もれ陽,Hotel Futari Komorebi,ito-izu,静岡県,luxury hotel,Tier 1,ready;split_needed,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で全室オーシャンビュー半露天・客室風呂の掛け流し温泉を確認 | visible_review_pool_observation: Yahoo surface shows 352 reviews; Ikkyu review body surface exists | notes: 全室客室温泉型の強い候補。半露天/窓開放型の表現を客室露天と混同しない,公式で全室オーシャンビュー半露天・客室風呂の掛け流し温泉を確認,Yahoo surface shows 352 reviews; Ikkyu review body surface exists,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://komorebi.bz/ ; https://www.ikyu.com/00002295/review/ ; https://travel.yahoo.co.jp/00002295/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,izu-yumotokan,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,Tier 1,merge;split_needed,verification_result: semantic_duplicate_or_slug_error | next_status: merge_with_ito-yumenoya_or_reidentify | official_bath_or_product_fact: queue 67と同一日本語名・同一公式候補。別宿としての根拠未確認 | visible_review_pool_observation: same review pool as queue 67 probable | notes: slug izu-yumotokan と name_ja が一致しない。候補マスターで重複/誤命名の修正が必要,queue 67と同一日本語名・同一公式候補。別宿としての根拠未確認,same review pool as queue 67 probable,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.onyado-yumenoya.com/ ; https://travel.yahoo.co.jp/00001015/ ; https://www.ikyu.com/00001015/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-karaku,熱海・伊豆山 佳ら久,Atami Izusan Karaku,atami,静岡県,luxury ryokan,Tier 1,ready,verification_result: official_and_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で57室すべて温泉露天風呂付き客室を確認 | visible_review_pool_observation: Ikkyu review/story surface exists; count not locked | notes: 全室客室温泉露天の強い候補。新しめの宿なのでレビュー蓄積量確認が重要,公式で57室すべて温泉露天風呂付き客室を確認,Ikkyu review/story surface exists; count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://izusan-karaku.orixhotelsandresorts.com/ ; https://www.ikyu.com/00003103/ ; https://www.ikyu.com/00003103/story/98011,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-kaihourou,ATAMI 海峯楼,ATAMI Kaihourou,atami,静岡県,luxury ryokan,Tier 1,ready;split_needed,verification_result: official_and_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式でオーシャンビュー客室温泉付きラグジュアリースイートを確認 | visible_review_pool_observation: Ikkyu/Travelko surfaces exist; review count not locked | notes: 全室ではなくスイート中心の客室温泉に見えるため部屋タイプ別タグ必須,公式でオーシャンビュー客室温泉付きラグジュアリースイートを確認,Ikkyu/Travelko surfaces exist; review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.atamikaihourou.jp/ ; https://www.ikyu.com/00001663/ ; https://www.tour.ne.jp/j_hotel/23916/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-new-tomiyoshi,味と湯の宿 ニューとみよし,New Tomiyoshi,atami,静岡県,seaside ryokan,Tier 1,ready;split_needed,"verification_result: official_and_multi_ota_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式/OTAで海一望の貸切露天風呂と多数の貸切風呂を確認 | visible_review_pool_observation: Jalan shows 3,500 reviews; Rakuten review surface exists | notes: 貸切風呂が主要価値。客室露天風呂レビューもあるため private_bath と room_open_air_bath を分離",公式/OTAで海一望の貸切露天風呂と多数の貸切風呂を確認,"Jalan shows 3,500 reviews; Rakuten review surface exists",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://newtomi.jp/ ; https://www.jalan.net/yad329779/ ; https://travel.rakuten.co.jp/HOTEL/7616/review.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-kamenoi,亀の井ホテル 熱海,Kamenoi Hotel Atami,atami,静岡県,large hotel ryokan,Tier 1,ready;split_needed,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: needs_bath_detail_and_review_pool_count | official_bath_or_product_fact: 公式で熱海温泉ホテルとして温泉大浴場系を確認。客室/別館差は追加確認対象 | visible_review_pool_observation: Jalan review surface shows 200 reviews; Rakuten/Agoda surfaces exist | notes: ファミリー大型宿候補。熱海本館/別館や客室風呂有無の混同に注意,公式で熱海温泉ホテルとして温泉大浴場系を確認。客室/別館差は追加確認対象,Jalan review surface shows 200 reviews; Rakuten/Agoda surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://kamenoi-hotels.com/atami/ ; https://travel.rakuten.co.jp/HOTEL/84856/review.html ; https://www.jalan.net/yad343766/kuchikomi/ ; https://www.agoda.com/ja-jp/kanponoyado-atami-honkan-h31187197/hotel/atami-jp.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-pearl-star,熱海パールスターホテル,Atami Pearl Star Hotel,atami,静岡県,luxury hotel,Tier 1,ready;split_needed,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式/OTAで全室自家源泉の温泉風呂とインフィニティ温泉を確認 | visible_review_pool_observation: Jalan shows 41 reviews; Ikkyu/Yahoo review surface exists | notes: 客室温泉と最上階大浴場が両方強い。大浴場の混雑/景観レビューも分ける,公式/OTAで全室自家源泉の温泉風呂とインフィニティ温泉を確認,Jalan shows 41 reviews; Ikkyu/Yahoo review surface exists,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://pearlstar.jp/ ; https://pearlstar.jp/rooms/ ; https://pearlstar.jp/infinity-bath/ ; https://www.jalan.net/yad395257/ ; https://www.ikyu.com/00002645/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,atami-korakuen,熱海後楽園ホテル,Atami Korakuen Hotel,atami,静岡県,large resort hotel,Tier 1,ready;split_needed,verification_result: official_resort_surface_confirmed_partial | next_status: needs_hotel_vs_fuua_split_check | official_bath_or_product_fact: 公式系でATAMI BAY RESORT内のホテル/日帰り温浴 Fuua を確認。ホテル浴場詳細は補強対象 | visible_review_pool_observation: Fuua Jalan review surface exists; hotel review pool needs separate lock | notes: 宿泊ホテルと日帰り温浴施設Fuuaを分ける必要あり。施設データとの重複にも注意,公式系でATAMI BAY RESORT内のホテル/日帰り温浴 Fuua を確認。ホテル浴場詳細は補強対象,Fuua Jalan review surface exists; hotel review pool needs separate lock,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.atamikorakuen.co.jp/ ; https://www.atamibayresort.com/fuua/ ; https://www.jalan.net/kankou/spt_guide000000227364/kuchikomi/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
