slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status
kusatsu-ohtakinoyu,大滝乃湯,오타키노유,kusatsu,群馬県,large_day_use_complex,Tier 1,"대욕장·노천탕·合わせ湯·貸切風呂, 煮川源泉 신호","Official Kusatsu Sanyu site",needs_review_pool_crosscheck
kusatsu-gozanoyu,御座之湯,고자노유,kusatsu,群馬県,historic_public_bath,Tier 1,"草津三湯, 관광동선형 공중탕","Official Kusatsu Sanyu site",needs_official_detail_crosscheck
kusatsu-sainokawara,西の河原露天風呂,사이노카와라 노천탕,kusatsu,群馬県,open_air_public_bath,Tier 1,"대형 노천탕, 조망/혼잡/온천감 후보","Official Kusatsu Sanyu site",needs_review_pool_crosscheck
kusatsu-shirahata,白旗の湯,시라하타노유,kusatsu,群馬県,historic_public_bath,Tier 2,"공동탕형, 강한 로컬 이용 규칙 후보","Kusatsu public bath seed",needs_source_crosscheck
kusatsu-jizonoyu,地蔵の湯,지조노유,kusatsu,群馬県,historic_public_bath,Tier 2,"공동탕형, 온천감/로컬 규칙 후보","Kusatsu public bath seed",needs_source_crosscheck
kusatsu-chiyonoyu,千代の湯,치요노유,kusatsu,群馬県,historic_public_bath,Tier 2,"시간탕/공동탕 문화 신호 후보","Kusatsu public bath seed",needs_source_crosscheck
hakone-yuryo,箱根湯寮,하코네유료,hakone,神奈川県,large_day_use_complex,Tier 1,"일일온천, 대욕장·貸切個室露天風呂·식음·무료송영·문신 허용 신호","Official Hakone Yuryo site",needs_review_pool_crosscheck
hakone-tenzan,天山湯治郷,텐잔토지쿄,hakone,神奈川県,public_bath_facility,Tier 1,"奥湯本 탕치형 당일치기, 원천욕/노천 후보","Official Tenzan site",needs_review_pool_crosscheck
hakone-yunessun-morinoyu,箱根小涌園ユネッサン 森の湯,유넷상 모리노유,hakone,神奈川県,wellness_spa,Tier 1,"일일온천, 노천·내탕·사우나, 가족형 복합시설","Official Yunessun Mori no Yu site",needs_review_pool_crosscheck
hakone-kappa-tengoku,かっぱ天国,갓파텐고쿠,hakone,神奈川県,public_bath_facility,Tier 2,"하코네유모토 역근처 당일치기 노천 후보","Hakone day-use seed",needs_source_crosscheck
hakone-no-yu,箱根の湯,하코네노유,hakone,神奈川県,public_bath_facility,Tier 2,"당일치기 온천, 가족/휴게 이용 후보","Hakone day-use seed",needs_source_crosscheck
atami-fuua,オーシャンスパ Fuua,오션스파 후아,atami,静岡県,wellness_spa,Tier 1,"상모만 조망 노천立ち湯, 암반욕·로우류·카페 복합","Official Atami Bay Resort Fuua site",needs_review_pool_crosscheck
