slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,세이자쿠보 / Seijakubou,tokachigawa,北海道,luxury ryokan,Tier 1,ready,전실 원천가케나가시 노천풍로 신호,room_open_air_bath,"Ikkyu surfaces mention wide room open-air bath, source-flow moor water, yuno-hana, soft texture, star view, high food/service satisfaction; visible review pool is smaller but signal is clear",https://seijyakubow.jp/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Ikkyu nationwide onsen ranking snippet,needs_official_crosscheck,0,0,https://seijyakubow.jp/ ; https://www.ikyu.com/00003001/ ; https://oyutabi.biglobe.ne.jp/h18156807/ ; https://www.instagram.com/seijyakubow/,全室源泉かけ流しモール温泉の強候補。湯の華/やわらかさ/客室露天の広さを重点タグ化
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,The Lake Suite Ko no Sumika,hokkaido-toyako,北海道,lake resort ryokan,Tier 1,ready,호수 전망 객실 노천탕 후보,room_open_air_bath,"Rakuten surfaces mention all-room onsen open-air and sky open-air bath, but room bath temperature adjustment can be difficult; parking/check-in friction also visible",https://www.konosumika.com/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,0,0,https://www.konosumika.com/ ; https://travel.rakuten.co.jp/HOTEL/172346/review.html ; https://travel.rakuten.co.jp/HOTEL/172346/172346.html ; https://travel.rakuten.co.jp/HOTEL/172346/172346_onsen.html,全室温泉露天+大浴場眺望が強い。客室湯温調整、湖ビュー、サンパレス本館利用/動線を確認
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Bourou Noguchi Noboribetsu,noboribetsu,北海道,luxury ryokan,Tier 1,ready,노보리베쓰 고급 객실탕/대욕장 후보,room_bath;public_bath,"Ikkyu shows 147 reviews; visible reviews mention in-room onsen bath large enough for adults, milky/toro-toro public bath, quiet smaller-luxury preference and some aging facilities",https://www.bourou.com/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",regional high-demand seed,needs_source_crosscheck,0,0,https://www.bourou.com/ ; https://www.ikyu.com/00001211/review/ ; https://www.ikyu.com/00001211/,全室温泉展望風呂付の強候補。大浴場の濁り湯/客室風呂の広さ/段差・経年感を分ける
jozankei-suizantei,定山渓第一寶亭留 翠山亭,Jozankei Daiichi Hotel Suizantei,jozankei,北海道,ryokan hotel,Tier 1,ready,"조잔케이 대형 온천숙소, 객실탕 후보",room_bath,"Rakuten shows 1,380+ review scale; visible reviews mention room bath wide/easy, public bath temperature good, lounge and facility comfort",https://www.jyozankei-daiichi.co.jp/suizantei/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Rakuten Top20 area seed,needs_source_crosscheck,0,0,https://www.jyozankei-daiichi.co.jp/suizantei/ ; https://travel.rakuten.co.jp/HOTEL/875/review.html ; https://travel.rakuten.co.jp/HOTEL/875/875.html ; https://travel.rakuten.co.jp/group/DH.html,全室温泉の主張と部屋タイプ別展望風呂/大浴場を分離。温泉よりラウンジ評価に埋もれやすい
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Yunokawa Prince Hotel Nagisatei,yunokawa-hakodate,北海道,onsen hotel,Tier 1,ready,객실 노천탕 수량이 큰 유노카와 대표 후보,room_open_air_bath,Ikkyu/JTB/Rakuten surfaces mention room open-air bath view and spring quality; service expectation gap also visible,https://nagisatei.info/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Rakuten Top20 area seed,needs_official_crosscheck,0,0,https://nagisatei.info/ ; https://travel.rakuten.co.jp/HOTEL/5842/5842.html ; https://www.ikyu.com/00000746/review/ ; https://www.jtb.co.jp/kokunai-hotel/htl/1610006/review/,客室露天数が非常に強い候補。機械化/ビジネスホテル化 기대차와 온천 평가를 분리
noboribetsu-daiichi-takimotokan,第一滝本館,Dai-ichi Takimotokan,noboribetsu,北海道,large ryokan hotel,Tier 1,ready,"登別 대표 대형 온천호텔, 31湯めぐり/대욕장·객실 노천탕 후보",room_open_air_bath;public_bath;open_air_public_bath,Rakuten review surface shows 1.6k marker; official/Rakuten both bath-variety emphasis,https://takimotokan.co.jp/ja/spa/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선","Jalan Noboribetsu room-open-air, Ikkyu couple list",needs_official_crosscheck,0,0,https://takimotokan.co.jp/ja/spa/ ; https://takimotokan.co.jp/ja/ ; https://travel.rakuten.co.jp/HOTEL/30109/review.html ; https://travel.rakuten.co.jp/HOTEL/30109/30109.html,登別の代表的な多泉質大型宿。泉質別浴槽・大浴場規模・混雑/動線を分けて深掘り
noboribetsu-mahoroba,ホテルまほろば,Hotel Mahoroba,noboribetsu,北海道,large ryokan hotel,Tier 1,ready,대형 대욕장·다양한 욕조·객실 노천탕 후보,room_open_air_bath;public_bath;open_air_public_bath,"Rakuten shows 2,067 review marker and visible reviews strongly mention large bath, many bath types, Noboribetsu onsen feeling; 4travel also highlights 4泉質/31 baths",https://h-mahoroba.jp/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Jalan Noboribetsu room-open-air page,needs_bath_detail_crosscheck,0,0,https://h-mahoroba.jp/ ; https://travel.rakuten.co.jp/HOTEL/12568/review.html ; https://travel.rakuten.co.jp/HOTEL/12568/12568_onsen.html ; https://4travel.jp/dm_hotel-10040712,宿泊施設だが温泉施設級の大浴場候補。31湯/複数泉質/家族・大型ホテル混雑/源泉露天客室を分ける
noboribetsu-grand,祝いの宿 登別グランドホテル,Noboribetsu Grand Hotel,noboribetsu,北海道,large ryokan hotel,Tier 1,ready,"硫黄泉·食塩泉·鉄泉 3泉질, 객실 노천탕·鬼サウナ 신호",room_open_air_bath;public_bath;open_air_public_bath,Rakuten review surface has 2026 review praising spacious baths and variety,https://www.nobogura.co.jp/hotspring/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선","Ikkyu Noboribetsu room-open-air, official day-use page",needs_official_crosscheck,0,0,https://www.nobogura.co.jp/hotspring/ ; https://www.nobogura.co.jp/newslist/9%E6%9C%8810%E6%97%A5%E3%80%8C%E9%AC%BC%E3%82%B5%E3%82%A6%E3%83%8A%E3%80%8D%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%EF%BC%81/ ; https://travel.rakuten.co.jp/HOTEL/39175/review.html ; https://travel.rakuten.co.jp/HOTEL/39175/39175.html,鬼サウナと多泉質大浴場が主要価値。宿泊/日帰り/サウナ目的レビューを 분리
noboribetsu-manseikaku,登別万世閣,Noboribetsu Manseikaku,noboribetsu,北海道,large hotel ryokan,Tier 1,ready,"객실 노천탕 목록 노출, 올인클루시브/대욕장 후보",room_open_air_bath;public_bath;open_air_public_bath,Rakuten/Sauna-ikitai surfaces exist; sauna and private sauna signal visible,https://www.noboribetsu-manseikaku.jp/spa/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Jalan Noboribetsu room-open-air page,needs_official_crosscheck,0,0,https://www.noboribetsu-manseikaku.jp/spa/ ; https://www.noboribetsu-manseikaku.jp/sauna/ ; https://travel.rakuten.co.jp/HOTEL/28637/review.html ; https://sauna-ikitai.com/saunas/281,大浴場温泉・セルフロウリュ・貸切温泉サウナを分ける。ビュッフェ評価と温泉評価を混同しない
noboribetsu-takinoya,登別温泉郷 滝乃家,Takinoya,noboribetsu,北海道,luxury ryokan,Tier 1,ready,"고급 료칸, 객실 노천탕·대욕장 후보",room_open_air_bath;public_bath;open_air_public_bath,Rakuten shows 335 marker; Jalan/楽天 surfaces mention room bath and high bath scores,https://www.takinoya.co.jp/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Ikkyu Noboribetsu room-open-air list,needs_official_crosscheck,0,0,https://www.takinoya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/72815/72815.html ; https://travel.rakuten.co.jp/HOTEL/72815/review.html ; https://www.jalan.net/yad320864/kuchikomi/detail_14662962/,高級老舗。客室展望風呂・館内浴場・4泉質を分ける。レビュー量は中規模
noboribetsu-hanayura,旅亭 花ゆら,Ryotei Hanayura,noboribetsu,北海道,ryokan,Tier 1,ready,원천을 끌어온 히노키 객실 노천탕 신호,room_open_air_bath,"Rakuten and Jalan review surfaces mention room onsen, not-crowded public bath, cloudy good onsen",https://hanayura.com/,"Tier 1 공식/OTA 표면 검증 완료, 딥리서치 우선",Ikkyu Noboribetsu room-open-air list,needs_official_crosscheck,0,0,https://hanayura.com/ ; https://hanayura.com/rooms/ ; https://www.ikyu.com/00001501/ ; https://travel.rakuten.co.jp/HOTEL/37380/review.html ; https://www.jalan.net/yad311313/kuchikomi/,客室温泉付き部屋と大浴場を分ける。高級小規模宿として混雑少なめ 신호 확인 가치
noboribetsu-sekisuitei,登別 石水亭,Noboribetsu Sekisuitei,noboribetsu,北海道,large hotel ryokan,Tier 2,hold,"대형 온천호텔, 당일치기/대욕장 후보",public_bath,not_mapped_in_this_candidate_pass,,정체성/욕장 세부/운영 정보 재확인 후 딥리서치 판단,Noboribetsu day-use association page,needs_bath_detail_crosscheck,0,0,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv,Tier 1 기존 검증 파일에서 확인되지 않은 후보이거나 Tier 2/3 후보. 딥리서치 전 공식 URL/리뷰풀 확인 필요.
