direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
1,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15387249,ja,2026/6/25,2026年5月宿泊,5,5,5,すべてにゆきとどいた宿,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,435,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;aging_or_access,温泉;椎葉の湯;送迎;シャトル;大正屋,"계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
2,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15385288,ja,2026/6/24,2026年6月宿泊,5,5,5,高齢者との温泉旅行にオススメ,和洋室 【じゃらんスペシャルウィーク】初夏 限定◆大正屋特選牛をメインとした椎葉会席《佐賀厳選食材を愉しむ》,274,yes,room_bath;open_air_public_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;aging_or_access,温泉;露天;露天風呂;大浴場;檜風呂;大正屋,"계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 객실 내탕/檜風呂 맥락 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
3,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15376802,ja,2026/6/20,2026年6月宿泊,5,5,5,雰囲気も良く、接客対応も最高です。,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,132,yes,public_bath,public_bath_hot_spring;booking_confusion,sister_property_movement,椎葉山荘;大正屋,대욕장/공용탕 이용 경험 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
4,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15374760,ja,2026/6/19,2026年4月宿泊,5,5,5,食事がとても美味しかった,和洋室 ◆お部屋おまかせでお得◆大正屋特選牛をメインとしたスタンダード椎葉会席プラン,128,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
5,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15372838,ja,2026/6/18,2026年6月宿泊,4,5,5,自然とともに過ごせる幸せ,和洋室 【もっと佐賀旅キャンペーン】佐賀のブランド佐賀牛陶板焼き付プラン《選りすぐりの厳選食材満載》,99,yes,facility_wide,water_texture,,温泉,우레시노 물성/피부감 또는 온천수 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
6,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15349731,ja,2026/6/7,2026年6月宿泊,5,5,5,間違いない,和洋室 【大部屋◆最大8名迄OK】5名以上の利用が断然お得◆グループ・三世代旅行にオススメ《メゾネット和洋室》,57,yes,facility_wide,water_texture,,温泉,우레시노 물성/피부감 또는 온천수 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
7,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15332801,ja,2026/5/30,2026年5月宿泊,5,5,5,ご飯も温泉も素晴らしい宿,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,241,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
8,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15217480,ja,2026/4/11,2026年4月宿泊,5,5,4,笑顔の丁寧な接客が心地よい,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,103,yes,unclear,crowding;booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
9,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15154173,ja,2026/3/14,2026年3月宿泊,5,4,4,おもてなしが良すぎました,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,131,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
10,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15151265,ja,2026/3/12,2026年2月宿泊,4,5,3,爽やか,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,95,yes,room_bath;private_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture;private_bath_experience;booking_confusion,sister_property_movement,温泉;大浴場;檜風呂;貸切;大正屋,대욕장/공용탕 이용 경험 언급; 객실 내탕/檜風呂 맥락 언급; 대절탕/프라이빗탕 맥락 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
11,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15130766,ja,2026/3/3,2026年3月宿泊,5,5,5,古希祝い,和室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,156,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;椎葉山荘;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
12,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15130503,ja,2026/3/3,2026年2月宿泊,5,5,4,おもてなしが最高,和洋室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,140,yes,unclear,booking_confusion,sister_property_movement,椎葉山荘;大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
13,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15126150,ja,2026/3/1,2026年2月宿泊,5,5,5,お部屋にも温泉がありゆっくり過ごせました,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,316,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;大浴場;大正屋,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
14,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15102048,ja,2026/2/19,2026年2月宿泊,5,4,4,のんびりゆっくりと過ごせる宿,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,511,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;露天;露天風呂;大正屋,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
15,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15057166,ja,2026/1/28,2026年1月宿泊,5,5,5,息子の結婚祝いを兼ねて,和洋室 【いつもより贅沢に】大正屋特選牛陶板焼プラン《四季の彩を味わう椎葉会席》,141,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
16,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_15000027,ja,2026/1/4,2025年11月宿泊,5,5,5,お風呂の開放感最高,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,199,yes,open_air_public_bath;public_bath,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,しいばの湯;大正屋,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
17,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14940843,ja,2025/12/8,2025年11月宿泊,5,5,4,友人の還暦お祝い温泉旅行,和洋室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,308,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;椎葉山荘;送迎;大正屋,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
