kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
accommodation,kurokawa-yamamizuki,黒川温泉 山みず木,Yamamizuki,kurokawa,熊本県,ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で黒川温泉の川沿い露天系宿として確認。浴場別公式 detail は追加確認対象 | visible_review_pool_observation: Jalan shows 568 and bath 5.0 surface; Ikkyu shows 60; Yahoo/JTB surfaces exist | notes: 露天風呂の景観/川沿い体験が強い候補。山みず木本館と新明館系の混同確認,公式で黒川温泉の川沿い露天系宿として確認。浴場別公式 detail は追加確認対象,Jalan shows 568 and bath 5.0 surface; Ikkyu shows 60; Yahoo/JTB surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://yamamizuki.com/ ; https://www.jalan.net/yad356096/kuchikomi/ ; https://www.ikyu.com/00001801/review/ ; https://travel.yahoo.co.jp/00001801/review/ ; https://www.jtb.co.jp/kokunai-hotel/htl/8332007/review/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-takefue,竹ふえ,Takefue,kurokawa,熊本県,luxury ryokan,Tier 1,ready,verification_result: official_and_ota_bath_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で源泉掛け流し温泉・3つの貸切露天風呂を確認。Jalan/Yahoo surfaces show all rooms have indoor bath and detached rooms have open-air baths | visible_review_pool_observation: Jalan surface exists but count not locked | notes: 全客室内湯+離れ露天+貸切露天の多層構造. 객실탕/대절탕 분리 필수.,公式で源泉掛け流し温泉・3つの貸切露天風呂を確認。Jalan/Yahoo surfaces show all rooms have indoor bath and detached rooms have open-air baths,Jalan surface exists but count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.takefue.com/ ; https://www.jalan.net/yad314917/ ; https://travel.yahoo.co.jp/00001491/room/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
accommodation,kirishima-lavista,ラビスタ霧島ヒルズ,La Vista Kirishima Hills,kirishima,鹿児島県,resort hotel,Tier 1,ready,"verification_result: official_and_high_volume_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で錦江湾と桜島を望む全室天然温泉露天風呂付き、館内大浴場・貸切風呂・岩盤浴/寝湯表面を確認 | visible_review_pool_observation: Rakuten review surface mentions all-room open-air, rock bed/lying bath, pet-room and resort stay; third-party pages cite 1,400+ review scale | notes: 全室天然温泉露天風呂付きの高ボリューム候補。共立リゾート型サービス/眺望/館内浴場を分ける",公式で錦江湾と桜島を望む全室天然温泉露天風呂付き、館内大浴場・貸切風呂・岩盤浴/寝湯表面を確認,"Rakuten review surface mentions all-room open-air, rock bed/lying bath, pet-room and resort stay; third-party pages cite 1,400+ review scale",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://dormy-hotels.com/resort/hotels/la_kirishima/ ; https://travel.rakuten.co.jp/HOTEL/168482/review.html ; https://travel.rakuten.co.jp/HOTEL/168482/168482.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_04_complete_v0_1_2026-07-03.csv
accommodation,ibusuki-hakusuikan,指宿白水館,Ibusuki Hakusuikan,ibusuki,鹿児島県,large ryokan hotel,Tier 1,ready,"verification_result: official_and_multi_platform_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で砂むし温泉・元禄風呂を確認。楽天/JTB/Agodaで砂むし・露天・大浴場レビュー表面を確認 | visible_review_pool_observation: Agoda shows 1,050 reviews; Jalan/Rakuten/JTB surfaces exist | notes: 宿泊施設だが砂むし体験が主要価値。宿泊温泉/砂むし/大浴場を分離",公式で砂むし温泉・元禄風呂を確認。楽天/JTB/Agodaで砂むし・露天・大浴場レビュー表面を確認,"Agoda shows 1,050 reviews; Jalan/Rakuten/JTB surfaces exist",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hakusuikan.co.jp/ ; https://www.jalan.net/yad357348/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/12529/review.html ; https://www.agoda.com/ja-jp/ibusuki-hakusuikan/hotel/kagoshima-jp.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,unzen-kyushu-hotel,雲仙九州ホテル,Unzen Kyushu Hotel,unzen,長崎県,luxury hotel,Tier 1,ready,verification_result: official_identity_confirmed | next_status: needs_bath_detail_and_review_pool_count | official_bath_or_product_fact: 公式で雲仙地獄中心のラグジュアリーリゾート identity 확인. bath detail은 별도 하위페이지 확인 필요 | visible_review_pool_observation: review count not locked | notes: 초기 Tier 1 유지하되 온천 세부 미잠금.,公式で雲仙地獄中心のラグジュアリーリゾート identity 확인. bath detail은 별도 하위페이지 확인 필요,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://kyushuhtl.co.jp/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-gekkoujyu,黒川温泉御処 月洸樹,Gekkoju,kurokawa,熊本県,luxury ryokan,Tier 1,ready,verification_result: official_and_review_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式/黒川温泉公式で8棟のみ・露天風呂・源泉掛け流し 신호 확인 | visible_review_pool_observation: Ikkyu visible 56 reviews in search surface | notes: 고급 객실노천형으로 Tier 1 유지.,公式/黒川温泉公式で8棟のみ・露天風呂・源泉掛け流し 신호 확인,Ikkyu visible 56 reviews in search surface,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://gekkoujyu.com/ ; https://www.ikyu.com/00002369/ ; https://www.kurokawaonsen.or.jp/oyado/innInfo.php?intYKey=33,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-okunoyu,黒川温泉 旅館奥の湯,Ryokan Okunoyu,kurokawa,熊本県,ryokan,Tier 1,ready;operation_recheck,verification_result: official_bath_surface_confirmed | next_status: needs_current_operation_and_review_pool_count | official_bath_or_product_fact: 公式で大浴場・洞窟風呂・女性専用露天・貸切風呂などを確認。外来入浴再開/休館お知らせあり | visible_review_pool_observation: review count not locked | notes: 公式に日帰り可風呂と宿泊者限定時間が 섞여 있어 세부 운영 확인 필요.,公式で大浴場・洞窟風呂・女性専用露天・貸切風呂などを確認。外来入浴再開/休館お知らせあり,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.okunoyu.com/ ; https://www.okunoyu.com/spa/ ; https://www.kurokawaonsen.or.jp/nyuyoku/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-sanga,黒川温泉 旅館山河,Ryokan Sanga,kurokawa,熊本県,ryokan,Tier 1,ready,verification_result: official_and_multi_ota_bath_surface_confirmed | next_status: ready_for_deep_review_pool_count | official_bath_or_product_fact: 公式で2本の自家源泉、源泉かけ流し、露天・貸切を含む7つの風呂を確認 | visible_review_pool_observation: Ikkyu/Jalan/Rakuten review surfaces exist | notes: 黒川の中でも湯量/自家源泉/浴場数が強い。貸切と大浴場を分ける,公式で2本の自家源泉、源泉かけ流し、露天・貸切を含む7つの風呂を確認,Ikkyu/Jalan/Rakuten review surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.sanga-ryokan.com/ ; https://www.ikyu.com/00002062/review/ ; https://www.jalan.net/yad320028/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/138061/review.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-noshiyu,黒川温泉 お宿 のし湯,Oyado Noshiyu,kurokawa,熊本県,ryokan,Tier 1,ready,verification_result: official_and_multi_ota_surface_confirmed | next_status: needs_bath_detail_check | official_bath_or_product_fact: 公式で黒川温泉の宿として確認。露天/貸切/客室詳細は追加確認対象 | visible_review_pool_observation: Rakuten review surface shows 408 marker; Jalan/Booking surfaces exist | notes: 黒川らしい露天/貸切の可能性が高いが公式浴場別 detail 고정 필요,公式で黒川温泉の宿として確認。露天/貸切/客室詳細は追加確認対象,Rakuten review surface shows 408 marker; Jalan/Booking surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://noshiyu.jp/ ; https://travel.rakuten.co.jp/HOTEL/78187/review.html ; https://www.jalan.net/yad315969/kuchikomi/ ; https://www.booking.com/hotel/jp/kurokawa-onsen-oyado-noshiyu.ja.html,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
accommodation,kurokawa-kounoyu,黒川温泉 こうの湯,Kounoyu,kurokawa,熊本県,ryokan,Tier 1,ready,verification_result: official_and_facility_surface_confirmed | next_status: needs_room_bath_detail_recheck | official_bath_or_product_fact: 公式で日帰り可能な男女別露天「森の湯」・立ち湯を確認。Nifty surface says all 9 rooms have open-air bath | visible_review_pool_observation: review count not locked | notes: 숙박 객실露天과日帰り森の湯 모두 있어 모델 분리 필요.,公式で日帰り可能な男女別露天「森の湯」・立ち湯を確認。Nifty surface says all 9 rooms have open-air bath,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kounoyu.jp/ ; https://www.kounoyu.jp/spa02.html ; https://onsen.nifty.com/kurokawaonsen-onsen/onsen004410/,nationwide_accommodation_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
