kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
facility,ibusuki-saraku,砂むし会館 砂楽,이부스키 모래찜질회관 사라쿠,ibusuki,鹿児島県,sand_bath_facility,Tier 1,ready,verification_result: official_identity_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で砂むし会館として確認済み. 이부스키 대표 모래찜질 시설 | visible_review_pool_observation: review count not locked | notes: 대기/마감/복장/샤워/수건 신호를 시설형 모델로 수집.,公式で砂むし会館として確認済み. 이부스키 대표 모래찜질 시설,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.ibusuki-saraku.jp/ja ; https://www.ibusuki.or.jp/spa/sunamushi/saraku/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,beppu-hyotan,ひょうたん温泉,효탄온천,beppu,大分県,large_day_use_complex,Tier 1,ready,verification_result: official_product_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で源泉十割かけ流し・砂湯・蒸し風呂・大浴場・露天風呂・家族風呂を確認 | visible_review_pool_observation: review count not locked | notes: 벳푸 시설형 대표. 상품영역 다수.,公式で源泉十割かけ流し・砂湯・蒸し風呂・大浴場・露天風呂・家族風呂を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.hyotan-onsen.com/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,beppu-takegawara,竹瓦温泉,타케가와라온천,beppu,大分県,historic_public_bath,Tier 1,ready,verification_result: official_and_municipal_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式/別府市で明治創設の歴史公衆浴場・砂湯を確認 | visible_review_pool_observation: review count not locked | notes: 역사 공동탕+모래탕. 시설노후/샤워/관광객 기대차 신호 중요.,公式/別府市で明治創設の歴史公衆浴場・砂湯を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.takegawara-onsen.com/ ; https://www.city.beppu.oita.jp/sisetu/shieionsen/detail4.html,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,beppu-sakurayu,別府桜湯,벳푸 사쿠라유,beppu,大分県,family_private_bath_facility,Tier 1,ready,verification_result: official_product_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で20種類の家族風呂・大浴場・営業時間を確認 | visible_review_pool_observation: review count not locked | notes: 가족탕 중심 시설. 예약/대기/방 선택 신호 중요.,公式で20種類の家族風呂・大浴場・営業時間を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.sakurayu.net/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ibusuki-sayuri,山川砂むし温泉 砂湯里,야마가와 모래찜질온천 사유리,ibusuki,鹿児島県,sand_bath_facility,Tier 1,ready,verification_result: official_and_review_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式/観光で砂むし料金・営業時間・水曜/荒天休業・タオル別料金を確認 | visible_review_pool_observation: Nifty surface exists but count not locked | notes: 날씨 휴업/타월/샤워/접수마감 신호 중요.,公式/観光で砂むし料金・営業時間・水曜/荒天休業・タオル別料金を確認,Nifty surface exists but count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.ibusuki.or.jp/spa/sunamushi/sayuri/ ; https://www.kagoshima-kankou.com/guide/10682 ; https://onsen.nifty.com/ibusuki-onsen/onsen004779/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ibusuki-tamatebako,ヘルシーランド 露天風呂 たまて箱温泉,타마테바코온천,ibusuki,鹿児島県,open_air_public_bath,Tier 1,ready;operation_recheck,verification_result: official_and_tourism_surface_confirmed | next_status: needs_current_price_recheck | official_bath_or_product_fact: 公式/観光サイトで絶景露天・男女日替り・共通券・料金表面を確認 | visible_review_pool_observation: review count not locked | notes: 料金表面が複数あり. リニューアル後価格 확인 필요.,公式/観光サイトで絶景露天・男女日替り・共通券・料金表面を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.ibusuki.or.jp/spa/open/tamatebako/ ; https://www.kagoshima-kankou.com/guide/10674 ; https://www.kagoshima-yokanavi.jp/spot/20066,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-nyuto-tegata,黒川温泉 入湯手形,Kurokawa Onsen Nyuto Tegata,kurokawa,熊本県,open_air_bath_route,Tier 1,route_or_pass,verification_result: official_product_hub_confirmed | next_status: keep_as_route_product | official_bath_or_product_fact: 公式で25軒露天から3ヶ所選択・大人1500円・6ヶ月有効などを確認 | visible_review_pool_observation: not a review pool | notes: 시설 1곳이 아니라 탕순례 상품. 가격/이용제한/혼잡 연동 확인.,公式で25軒露天から3ヶ所選択・大人1500円・6ヶ月有効などを確認,not a review pool,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kurokawaonsen.or.jp/tegata ; https://www.kurokawaonsen.or.jp/nyuyoku/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-day-use-status,黒川温泉 日帰り入浴情報,Kurokawa day-use bath status,kurokawa,熊本県,open_air_bath_route,Tier 1,route_or_pass,verification_result: official_operation_hub_confirmed | next_status: keep_as_route_hub | official_bath_or_product_fact: 黒川温泉公式の日帰り入浴状況ページ。各宿の混雑/休止/受付時間表示あり | visible_review_pool_observation: not a review pool | notes: 개별 시설이 아니라 운영 허브. 후보 master에서는 route/status row로 유지 가능.,黒川温泉公式の日帰り入浴状況ページ。各宿の混雑/休止/受付時間表示あり,not a review pool,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kurokawaonsen.or.jp/nyuyoku/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-kounoyu-dayuse,こうの湯 日帰り入浴,Kounoyu day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,ready;operation_recheck,verification_result: official_dayuse_confirmed_with_price_diff | next_status: needs_current_price_recheck | official_bath_or_product_fact: 公式で日帰り利用 8:30-21:00・大人600円・入湯手形利用可を確認。黒川温泉公式では最終受付20:30・700円表面あり | visible_review_pool_observation: Nifty surface exists; count not locked | notes: 料金が公式施設ページ600円/黒川公式700円で差分. 최신料金確認 필요.,公式で日帰り利用 8:30-21:00・大人600円・入湯手形利用可を確認。黒川温泉公式では最終受付20:30・700円表面あり,Nifty surface exists; count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kounoyu.jp/spa02.html ; https://www.kurokawaonsen.or.jp/nyuyoku/ ; https://onsen.nifty.com/kurokawaonsen-onsen/onsen004410/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-senomoto-kogen-dayuse,瀬の本高原ホテル 日帰り入浴,Senomoto Kogen Hotel day-use bath,kurokawa,熊本県,public_bath_facility,Tier 1,ready,verification_result: official_dayuse_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で露天風呂・展望大浴場・貸切風呂を確認。黒川温泉公式で15:00-21:00/最終20:30 표면 확인 | visible_review_pool_observation: review count not locked | notes: 公式ホテル告知と黒川公式で時間差の可能性あり. 최신 운영 확인 필요.,公式で露天風呂・展望大浴場・貸切風呂を確認。黒川温泉公式で15:00-21:00/最終20:30 표면 확인,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://hotel.senomoto.com/spa/ ; https://www.kurokawaonsen.or.jp/nyuyoku/ ; https://hotel.senomoto.com/news/20240926-473.html,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-yamamizuki-dayuse,山みず木 日帰り入浴,Yamamizuki day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,hold,verification_result: source_surface_probable | next_status: needs_official_site_open_check | official_bath_or_product_fact: 公式 URL 후보 및黒川公式 day-use route 후보. 本文確認未完 | visible_review_pool_observation: review count not locked | notes: 日帰り可否/時間 변동성이 있어 공식 입욕상황 우선.,公式 URL 후보 및黒川公式 day-use route 후보. 本文確認未完,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.yamamizuki.com/ ; https://www.kurokawaonsen.or.jp/nyuyoku/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-ikoi-dayuse,いこい旅館 日帰り入浴,Ikoi Ryokan day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,hold,verification_result: source_surface_probable | next_status: needs_official_site_open_check | official_bath_or_product_fact: 公式 URL 후보 및黒川公式 day-use route 후보. 本文確認未完 | visible_review_pool_observation: review count not locked | notes: 黒川 day-use는 공식 혼잡/중지 페이지와 항상 대조 필요.,公式 URL 후보 및黒川公式 day-use route 후보. 本文確認未完,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kurokawa-ikoi.com/ ; https://www.kurokawaonsen.or.jp/nyuyoku/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-kurokawaso-dayuse,黒川荘 日帰り入浴,Kurokawaso day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,hold;operation_recheck,verification_result: operation_notice_confirmed | next_status: hold_until_current_operation_clear | official_bath_or_product_fact: 公式/黒川温泉日帰り状況で日帰り候補だがメンテ休館告知あり. 旧外部ページは600円等の古い可能性あり | visible_review_pool_observation: review count not locked | notes: 日帰り候補としては休館/料金差分を 먼저 해소해야 함.,公式/黒川温泉日帰り状況で日帰り候補だがメンテ休館告知あり. 旧外部ページは600円等の古い可能性あり,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kurokawaso.com/ ; https://www.kurokawaonsen.or.jp/nyuyoku/ ; https://www.yukoyuko.net/onsen/spot/h0000514,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,kurokawa-okunoyu-dayuse,旅館奥の湯 日帰り入浴,Okunoyu day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ibusuki-healthyland,ヘルシーランド温泉保養館,Healthy Land Onsen Hoyo-kan,ibusuki,鹿児島県,public_bath_facility,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ibusuki-kokoro-no-yu,指宿こころの湯,Ibusuki Kokoro no Yu,ibusuki,鹿児島県,large_day_use_complex,Tier 1,hold,verification_result: source_surface_probable | next_status: needs_official_product_detail_check | official_bath_or_product_fact: 公式 URL 후보 확인. 대형 당일온천/숙박 병설 가능성 있어 시설·숙박 분리 필요 | visible_review_pool_observation: review count not locked | notes: 시설형으로 유지하되 숙박 상품과 혼동 주의.,公式 URL 후보 확인. 대형 당일온천/숙박 병설 가능성 있어 시설·숙박 분리 필요,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://ibusukikokoro.jp/ ; https://www.kagoshima-kankou.com/guide/10679,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,ibusuki-muranoyu,村之湯温泉,Muranoyu Onsen,ibusuki,鹿児島県,historic_public_bath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ibusuki-yajigayu,弥次ヶ湯温泉,Yajigayu Onsen,ibusuki,鹿児島県,historic_public_bath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,unzen-kojigoku-onsenkan,小地獄温泉館,Kojigoku Onsenkan,unzen,長崎県,public_bath_facility,Tier 1,ready,verification_result: official_product_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で小地獄源泉白濁湯・日帰り温泉施設 identity 확인 | visible_review_pool_observation: review count not locked | notes: 운젠 시설형 대표. 영업시간/정휴일 최신확인.,公式で小地獄源泉白濁湯・日帰り温泉施設 identity 확인,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.seiunso.jp/kojigoku/ ; https://unzenonsen.unzen.org/daytrip/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,unzen-yokayuu,雲仙よか湯,Unzen Yokayu,unzen,長崎県,public_bath_facility,Tier 1,hold,verification_result: source_surface_probable | next_status: needs_official_site_open_check | official_bath_or_product_fact: 公式 URL 후보 확인 필요. 운젠 관광 daytrip 표면으로 당일온천 후보 식별 | visible_review_pool_observation: review count not locked | notes: 이번 확장에서는 URL 후보만 확보. 공식 본문 확인 필요.,公式 URL 후보 확인 필요. 운젠 관광 daytrip 표면으로 당일온천 후보 식별,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.unzen-yokayuu.com/ ; https://unzenonsen.unzen.org/daytrip/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
facility,unzen-shinyu-kyodoyokujo,新湯共同浴場,Shinyu Public Bath,unzen,長崎県,historic_public_bath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,unzen-kojigoku-footbath,雲仙地獄 足蒸し,Unzen Jigoku foot steam,unzen,長崎県,steam_bath_facility,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,unzen-seiunso-dayuse,青雲荘 日帰り入浴,Seiunso day-use bath,unzen,長崎県,public_bath_facility,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,kirishima-sakura-sakura-dayuse,さくらさくら温泉 日帰り入浴,Sakura Sakura Onsen day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,ready,verification_result: official_and_review_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 公式で天然掛け流し・天然泥湯・弱酸性乳白色硫黄泉を確認 | visible_review_pool_observation: Nifty/4travel/blog surfaces exist; expectation-gap signal visible | notes: 泥湯期待と実際の使い方にギャップレビューが見える。泥湯体験ルールを 공식 재확인,公式で天然掛け流し・天然泥湯・弱酸性乳白色硫黄泉を確認,Nifty/4travel/blog surfaces exist; expectation-gap signal visible,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.sakura-sakura.jp/ ; https://onsen.nifty.com/kirishima-onsen/onsen004784/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11344598,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,kirishima-maeda-onsen,前田温泉 カジロが湯,Maeda Onsen Kajiroga-yu,kirishima,鹿児島県,public_bath_facility,Tier 1,ready;operation_recheck,verification_result: review_surface_confirmed_official_weak | next_status: needs_operator_official_crosscheck | official_bath_or_product_fact: Nifty/Sauna-ikitaiで施設表面を確認。運営公式ページはこのパスでは未固定 | visible_review_pool_observation: Nifty shows 13; Sauna-ikitai posts surface exists | notes: 泉質候補として維持するが公式/運営ソースが弱い。次回最優先で確認,Nifty/Sauna-ikitaiで施設表面を確認。運営公式ページはこのパスでは未固定,Nifty shows 13; Sauna-ikitai posts surface exists,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://onsen.nifty.com/kirishima-onsen/onsen004782/kuchikomi/ ; https://sauna-ikitai.com/saunas/4169/posts,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,kirishima-shinyu-onsen,新湯温泉 新燃荘,Shinmoe-so day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,operation_recheck,verification_result: tourism_surface_and_review_surface_confirmed | next_status: needs_official_site_or_operator_crosscheck | official_bath_or_product_fact: 地域公式系ページで立ち寄り湯・貸切風呂・混浴露天、硫化水素注意を確認 | visible_review_pool_observation: Nifty/review blogs exist; direct official site not locked in this pass | notes: 乳白色・硫黄臭・混浴露天が強いが、公式運営ページの確認が弱い. 보강 필요,地域公式系ページで立ち寄り湯・貸切風呂・混浴露天、硫化水素注意を確認,Nifty/review blogs exist; direct official site not locked in this pass,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.kagobura.net/shop/shop.shtml?s=2261 ; https://onsen.nifty.com/kirishima-onsen/onsen004792/kuchikomi/ ; https://www.xn--octt84bmki.com/%E4%BC%9A%E5%93%A1%E5%AE%BF%E4%BB%A5%E5%A4%96%E3%81%AE%E6%B8%A9%E6%B3%89%E5%AE%BF/kagoshima-kirishima-shinmoesou/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,kirishima-maruo-taki-footbath,丸尾滝周辺 足湯,Maruo area footbath,kirishima,鹿児島県,footbath,Tier 3,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,kirishima-hinata-no-yu,日当山温泉郷 家族湯,Hinata-yama family baths,kirishima,鹿児島県,family_private_bath_facility,Tier 1,ready;split_needed,verification_result: area_cluster_with_individual_official_example_confirmed | next_status: area_cluster_split_needed | official_bath_or_product_fact: 個別施設 木の花 公式で家族風呂・源泉かけ流し表面を確認。日当山温泉郷は家族湯エリアとして確認 | visible_review_pool_observation: YUASOBI route/list surface exists; area-level review pool not locked | notes: 日当山温泉郷 家族湯はエリアクラスタ。木の花など個別施設に分割してから深掘り,個別施設 木の花 公式で家族風呂・源泉かけ流し表面を確認。日当山温泉郷は家族湯エリアとして確認,YUASOBI route/list surface exists; area-level review pool not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://kono87.jp/ ; https://yuasobi.com/spots/kyushu-okinawa/kagoshima/hinatayama/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,obama-hot-foot-105,小浜温泉 ほっとふっと105,Hot Foot 105,obama-unzen,長崎県,footbath,Tier 1,footbath_only,"verification_result: tourism_official_and_review_surface_confirmed | next_status: footbath_only_keep | official_bath_or_product_fact: ながさき旅ネットで全長105mの無料足湯、ウォーキング足湯、ペット足湯、蒸し釜、季節別営業時間を確認 | visible_review_pool_observation: Jalan surfaces mention sea view, sunset, towel sales; review text sometimes mixes nearby lodging, so facility-only filtering required | notes: footbath + food_steam stopover。入浴施設ではなく夕日/蒸し釜/無料足湯体験として扱う",ながさき旅ネットで全長105mの無料足湯、ウォーキング足湯、ペット足湯、蒸し釜、季節別営業時間を確認,"Jalan surfaces mention sea view, sunset, towel sales; review text sometimes mixes nearby lodging, so facility-only filtering required",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.nagasaki-tabinet.com/guide/50084 ; https://www.shimakanren.com/spot/detail_10080.html ; https://www.jalan.net/kankou/spt_guide000000178292/kuchikomi/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
facility,obama-naminoyu-akane,小浜温泉 波の湯 茜,Nami no Yu Akane,obama-unzen,長崎県,open_air_public_bath,Tier 1,ready,"verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 小浜温泉旅館組合で貸切海上露天風呂、1グループ3000円/50分、10:00-23:00、要予約を確認 | visible_review_pool_observation: Nifty/Jalan surfaces mention ocean view, sunset, simple changing room/no towel, salty chloride spring | notes: 貸切海上露天。景色は強いが予約/簡易設備/タオルなし/アメニティの注意が重要",小浜温泉旅館組合で貸切海上露天風呂、1グループ3000円/50分、10:00-23:00、要予約を確認,"Nifty/Jalan surfaces mention ocean view, sunset, simple changing room/no towel, salty chloride spring",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://obama.or.jp/onsen/naminoyu-akane/ ; https://onsen.nifty.com/unzen-onsen/onsen004174/kuchikomi/ ; https://www.jalan.net/kankou/spt_42367cc3360157823/kuchikomi/ ; https://www.jalan.net/kankou/spt_42367cc3360157823/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
facility,obama-wakihama-kyodoyokujo,小浜温泉 脇浜共同浴場,Wakihama Public Bath,obama-unzen,長崎県,historic_public_bath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ibusuki-ekimae-ashiyu,指宿駅前足湯,Ibusuki Station Footbath,ibusuki,鹿児島県,footbath,Tier 3,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,kirishima-onsen-ichiba-footbath,霧島温泉市場 足湯,Kirishima Onsen Market Footbath,kirishima,鹿児島県,footbath,Tier 2,hold,Tier 2/3 row in requested prefectures; not covered by Tier 1 verification pass.,,,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,ureshino-siebold-no-yu,嬉野温泉 シーボルトの湯,Siebold no Yu,ureshino,佐賀県,historic_public_bath,Tier 1,ready,verification_result: official_and_tourism_surface_confirmed | next_status: needs_review_pool_count | official_bath_or_product_fact: 嬉野市/観光協会で大浴場・貸切湯・休憩室・営業時間・料金を確認 | visible_review_pool_observation: review count not locked | notes: 貸切湯/大浴場/バリアフリー貸切을 분리.,嬉野市/観光協会で大浴場・貸切湯・休憩室・営業時間・料金を確認,review count not locked,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.city.ureshino.lg.jp/kanko/siebold.html ; https://spa-u.net/facility/2022/12/-siebold-spa.php,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_01_complete_v0_1_2026-07-03.csv
