slug,display_name_ko,region_group,changed,forbidden_terms,before_summary,after_summary,before_primary_bath,after_primary_bath,before_operation_notes,after_operation_notes,evidence_note
jozankei-chalet-ivy,샬레 아이비 조잔케이,hokkaido,false,,"조잔케이의 소형 럭셔리 숙소입니다. 객실 내 프라이빗탕과 조용한 서비스 경험을 중심으로 보는 곳이라, 큰 대욕장보다 개인 온천 체류를 중시할 때 잘 맞습니다.","조잔케이의 소형 럭셔리 숙소입니다. 객실 내 프라이빗탕과 조용한 서비스 경험을 중심으로 보는 곳이라, 큰 대욕장보다 개인 온천 체류를 중시할 때 잘 맞습니다.",객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 내 프라이빗탕 중심 고급 숙소입니다,객실 구조 확인을 권장합니다","객실 내 프라이빗탕 중심 고급 숙소입니다,객실 구조 확인을 권장합니다","직접 읽은 후기 312건, 온천 관련 103건, 본문 확인 플랫폼 12개"
jozankei-grand-blissen,그랜드 블리센 호텔 조잔케이,hokkaido,true,,"조잔케이의 신식 호텔형 온천 숙소입니다. 객실 내 프라이빗탕과 공용 대욕장을 함께 볼 수 있어, 방 안의 편안함과 큰 탕의 여유를 나눠 비교하기 좋습니다.","조잔케이의 신식 호텔형 온천 숙소입니다. 객실 내 프라이빗탕과 공용 대욕장을 함께 볼 수 있어, 방 안의 편안함과 큰 탕의 여유를 나눠 비교하기 좋습니다.",객실 내 프라이빗탕 + 공용 대욕장,객실 내 프라이빗탕 + 공용 대욕장,"객실 타입별 욕장 구성 확인이 필요합니다,공용 온천 동선 함께 확인합니다","객실 타입별 욕장 구성 확인이 필요합니다,공용 온천 동선을 함께 확인합니다","직접 읽은 후기 305건, 온천 관련 216건, 본문 확인 플랫폼 3개"
jozankei-suizantei,조잔케이 다이이치 호텔 스이잔테이,hokkaido,false,,"조잔케이의 전통 료칸형 숙소입니다. 객실 내 프라이빗탕, 대욕장, 대절탕을 함께 볼 수 있어 욕장별 이용 조건을 나눠 확인하는 편이 좋습니다.","조잔케이의 전통 료칸형 숙소입니다. 객실 내 프라이빗탕, 대욕장, 대절탕을 함께 볼 수 있어 욕장별 이용 조건을 나눠 확인하는 편이 좋습니다.",객실 내 프라이빗탕 + 대욕장/대절탕,객실 내 프라이빗탕 + 대욕장/대절탕,"객실 타입별 욕장 구성 확인이 필요합니다,대절탕 운영 조건 확인이 필요합니다","객실 타입별 욕장 구성 확인이 필요합니다,대절탕 운영 조건 확인이 필요합니다","직접 읽은 후기 313건, 온천 관련 199건, 본문 확인 플랫폼 9개"
noboribetsu-bourou-noguchi,보로 노구치 노보리베츠,hokkaido,true,,노보리베츠에서 객실 내 프라이빗탕과 조용한 성인형 체류를 기대하는 숙소입니다. 큰 대욕장보다 객실 단위의 프라이빗한 온천 시간을 중시할 때 어울립니다.,노보리베츠에서 객실 내 프라이빗탕과 조용한 성인형 체류를 기대하는 숙소입니다. 큰 대욕장보다 객실 단위의 프라이빗한 온천 시간을 중시할 때 어울립니다.,객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 타입별 욕장 구성 확인이 필요합니다,고가 숙소 기대치 확인합니다","객실 타입별 욕장 구성 확인이 필요합니다,고가 숙소 기대치를 확인합니다","직접 읽은 후기 368건, 온천 관련 247건, 본문 확인 플랫폼 11개"
noboribetsu-daiichi-takimotokan,다이이치 타키모토칸,hokkaido,false,,노보리베츠를 대표하는 대형 대욕장형 숙소입니다. 여러 종류의 탕을 한곳에서 즐기고 싶은 여행자에게 잘 맞습니다.,노보리베츠를 대표하는 대형 대욕장형 숙소입니다. 여러 종류의 탕을 한곳에서 즐기고 싶은 여행자에게 잘 맞습니다.,대형 대욕장/탕 다양성 중심,대형 대욕장/탕 다양성 중심,"대형 온천시설 중심입니다,혼잡과 이동 동선 확인을 권장합니다","대형 온천시설 중심입니다,혼잡과 이동 동선 확인을 권장합니다","직접 읽은 후기 300건, 온천 관련 189건, 본문 확인 플랫폼 8개"
noboribetsu-grand,노보리베츠 그랜드 호텔,hokkaido,false,,"노보리베츠의 대형 온천호텔입니다. 객실 내 프라이빗탕보다 대욕장, 노천탕, 사우나형 시설을 중심으로 보는 숙소에 가깝습니다.","노보리베츠의 대형 온천호텔입니다. 객실 내 프라이빗탕보다 대욕장, 노천탕, 사우나형 시설을 중심으로 보는 숙소에 가깝습니다.",대욕장/사우나형 온천 중심,대욕장/사우나형 온천 중심,"공용 온천 시설 중심입니다,혼잡 시간대 확인을 권장합니다","공용 온천 시설 중심입니다,혼잡 시간대 확인을 권장합니다","직접 읽은 후기 324건, 온천 관련 200건, 본문 확인 플랫폼 8개"
noboribetsu-hanayura,료테이 하나유라,hokkaido,false,,노보리베츠에서 객실 노천탕과 료칸형 접객을 함께 기대하는 숙소입니다. 대형 호텔보다 객실 내 프라이빗탕이 있는 조용한 료칸에 가깝게 보는 편이 좋습니다.,노보리베츠에서 객실 노천탕과 료칸형 접객을 함께 기대하는 숙소입니다. 대형 호텔보다 객실 내 프라이빗탕이 있는 조용한 료칸에 가깝게 보는 편이 좋습니다.,객실 노천탕 중심,객실 노천탕 중심,"객실 타입별 욕장 구성 확인이 필요합니다,계절에 따라 벌레나 온도 체감 차이 가능합니다","객실 타입별 욕장 구성 확인이 필요합니다,계절에 따라 벌레나 온도 체감 차이 가능합니다","직접 읽은 후기 306건, 온천 관련 211건, 본문 확인 플랫폼 8개"
noboribetsu-mahoroba,호텔 마호로바,hokkaido,false,,"노보리베츠의 대형 온천호텔로, 다양한 탕과 대욕장 경험이 핵심입니다. 후기에서는 온천 규모에 대한 만족과 함께 혼잡·시설 연식 신호도 반복되어, 대욕장형 숙소로 기대치를 잡는 편이 적합합니다.","노보리베츠의 대형 온천호텔로, 다양한 탕과 대욕장 경험이 핵심입니다. 후기에서는 온천 규모에 대한 만족과 함께 혼잡·시설 연식 신호도 반복되어, 대욕장형 숙소로 기대치를 잡는 편이 적합합니다.",대욕장/탕 다양성 중심,대욕장/탕 다양성 중심,"혼잡 신호가 있습니다,대형 온천호텔형으로 안내합니다,예약/객실타입 혼동 신호가 있습니다,온천감 약함 신호가 일부 있습니다","혼잡 신호가 있습니다,대형 온천호텔형으로 안내합니다,예약/객실타입 혼동 신호가 있습니다,온천감 약함 신호가 일부 있습니다","직접 읽은 후기 330건, 온천 관련 216건, 본문 확인 플랫폼 8개"
noboribetsu-manseikaku,노보리베츠 만세이카쿠,hokkaido,false,,"노보리베츠에서 접근성이 좋은 대형 온천호텔입니다. 대욕장과 온천 수질을 기대하기 좋지만, 시설 연식과 혼잡감도 함께 확인하는 편이 좋습니다.","노보리베츠에서 접근성이 좋은 대형 온천호텔입니다. 대욕장과 온천 수질을 기대하기 좋지만, 시설 연식과 혼잡감도 함께 확인하는 편이 좋습니다.",실속형 대욕장 중심,실속형 대욕장 중심,"대욕장 중심 숙소입니다,시설 연식과 혼잡감 확인을 권장합니다","대욕장 중심 숙소입니다,시설 연식과 혼잡감 확인을 권장합니다","직접 읽은 후기 351건, 온천 관련 228건, 본문 확인 플랫폼 7개"
noboribetsu-takinoya,노보리베츠 타키노야,hokkaido,false,,노보리베츠에서 조용한 료칸 체류와 객실 노천탕을 기대할 때 보기 좋은 숙소입니다. 객실 타입에 따라 욕장 구성이 달라질 수 있어 예약 조건 확인이 중요합니다.,노보리베츠에서 조용한 료칸 체류와 객실 노천탕을 기대할 때 보기 좋은 숙소입니다. 객실 타입에 따라 욕장 구성이 달라질 수 있어 예약 조건 확인이 중요합니다.,객실 노천탕 중심,객실 노천탕 중심,"객실 타입별 노천탕 여부 확인이 필요합니다,조용한 료칸형 체류","객실 타입별 노천탕 여부 확인이 필요합니다,조용한 료칸형 체류","직접 읽은 후기 312건, 온천 관련 184건, 본문 확인 플랫폼 4개"
