kind,queue_rank,slug,name_ja,area_slug,prefecture,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,verification_result,next_status,notes,source_urls
accommodation,25,kurokawa-senomoto-kogen-hotel,瀬の本高原ホテル,kurokawa,熊本県,https://hotel.senomoto.com/spa/,https://www.kurokawaonsen.or.jp/nyuyoku/,https://hotel.senomoto.com/news/20240926-473.html,公式で露天風呂・展望大浴場・貸切風呂を確認。黒川公式で日帰り入浴時間も確認,review count not locked,official_bath_and_dayuse_surface_confirmed,needs_review_pool_count,"숙박 후보와 일귀리 입욕 후보가 겹치므로 분리 태깅 필요.",https://hotel.senomoto.com/spa/ ; https://www.kurokawaonsen.or.jp/nyuyoku/ ; https://hotel.senomoto.com/news/20240926-473.html
accommodation,26,kurokawa-takefue,竹ふえ,kurokawa,熊本県,https://www.takefue.com/,https://www.jalan.net/yad314917/,https://travel.yahoo.co.jp/00001491/room/,公式で源泉掛け流し温泉・3つの貸切露天風呂を確認。Jalan/Yahoo surfaces show all rooms have indoor bath and detached rooms have open-air baths,Jalan surface exists but count not locked,official_and_ota_bath_surface_confirmed,needs_review_pool_count,"全客室内湯+離れ露天+貸切露天の多層構造. 객실탕/대절탕 분리 필수.",https://www.takefue.com/ ; https://www.jalan.net/yad314917/ ; https://travel.yahoo.co.jp/00001491/room/
accommodation,27,kurokawa-yusai,黒川温泉 湯峡の響き 優彩,kurokawa,熊本県,https://www.yusai.com/onsen.html,https://travel.rakuten.co.jp/HOTEL/31796/31796.html,https://www.kurokawaonsen.or.jp/oyado/innInfo.php?intYKey=23,公式で4大浴場・3露天・2貸切風呂すべて源泉かけ流しと確認,Rakuten surface exists but count not locked,official_and_ota_bath_surface_confirmed,needs_review_pool_count,"대욕장/노천/대절탕이 모두 강한 숙소. 객실탕 후보와 혼동 금지.",https://www.yusai.com/onsen.html ; https://travel.rakuten.co.jp/HOTEL/31796/31796.html ; https://www.kurokawaonsen.or.jp/oyado/innInfo.php?intYKey=23
accommodation,28,hakone-byakudan,箱根強羅 白檀,hakone,神奈川県,https://www.byakudan.co.jp/,https://travel.rakuten.co.jp/HOTEL/153496/review.html,https://www.ikyu.com/00002343/review/,公式で全16室源泉掛け流し露天風呂と大浴場へ自家源泉供給を確認,Rakuten visible 77 reviews in search surface,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,"객실노천·원천가케나가시 신호가 강함.",https://www.byakudan.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/153496/review.html ; https://www.ikyu.com/00002343/review/
accommodation,29,hakone-fontainebleau,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,hakone,神奈川県,https://www.fontenu-hakone.com/,https://www.fontenu-hakone.com/room/,https://www.hakone.or.jp/331,公式で全室露天風呂付き・源泉100%かけ流し白濁湯を確認。箱根観光協会で全13室の展望露天風呂を確認,review count not locked,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,"오베르주형이라 식사 평가와 온천 평가를 분리할 필요.",https://www.fontenu-hakone.com/ ; https://www.fontenu-hakone.com/room/ ; https://www.hakone.or.jp/331
accommodation,30,hakone-gen-gora,玄 箱根強羅,hakone,神奈川県,https://www.gen-hakone.com/,https://www.hakone-ryokan.or.jp/search/00517/,https://www.489pro.com/asp/489/menu.asp?id=14000045&lan=JPN&ty=ser,箱ぴたで全18室すべて源泉かけ流し露天風呂付きと確認,review count not locked,official_and_association_bath_surface_confirmed,needs_review_pool_count,"공식 사이트 본문보다 협회/예약表면에서 bath detail이 더 선명.",https://www.gen-hakone.com/ ; https://www.hakone-ryokan.or.jp/search/00517/ ; https://www.489pro.com/asp/489/menu.asp?id=14000045&lan=JPN&ty=ser
accommodation,31,hakone-ginyu,箱根吟遊,hakone,神奈川県,https://www.hakoneginyu.co.jp/,https://www.hakoneginyu.co.jp/guestroom.html,https://www.hakone.or.jp/337,公式で全室露天風呂付き客室を確認。箱根観光協会でも全室専用露天風呂表面確認,review count not locked,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,"전실 객실노천형. 객실별 전망/프라이버시 후기 가치 큼.",https://www.hakoneginyu.co.jp/ ; https://www.hakoneginyu.co.jp/guestroom.html ; https://www.hakone.or.jp/337
accommodation,32,hakone-gora-kadan,強羅花壇,hakone,神奈川県,https://www.gorakadan.com/,https://www.hakone.or.jp/1681,https://otonatabi-japan.com/stay/gorakadan/,公式で高級旅館 identity 확인. 관광/외부 표면에서 일부 객실源泉かけ流し露天風呂 후보 확인,review count not locked,official_identity_confirmed_bath_partial,needs_room_type_bath_detail_check,"일부 객실형으로 보이며 전실로 오해하면 안 됨.",https://www.gorakadan.com/ ; https://www.hakone.or.jp/1681 ; https://otonatabi-japan.com/stay/gorakadan/
accommodation,33,hakone-gora-karaku,箱根・強羅 佳ら久,hakone,神奈川県,https://gora-karaku.orixhotelsandresorts.com/,https://www.ikyu.com/00002805/,https://www.tabiulala.com/odahako/spot357/,公式で全70室温泉露天風呂を確認。Ikkyu visible 362 reviews in search surface,Ikkyu visible 362 reviews,official_and_review_surface_confirmed,ready_for_deep_review_pool_count,"全室温泉露天+展望露天+貸切風呂의 복합형.",https://gora-karaku.orixhotelsandresorts.com/ ; https://www.ikyu.com/00002805/ ; https://www.tabiulala.com/odahako/spot357/
accommodation,34,hakone-kanaya-resort,KANAYA RESORT HAKONE,hakone,神奈川県,https://hakonekanaya.com/,https://www.hakone.or.jp/4872,https://www.ikyu.com/00002486/,公式で全14室の温泉リゾート identity 확인. 箱根観光協会で14室それぞれに源泉かけ流し温泉風呂を確認,review count not locked,official_and_tourism_bath_surface_confirmed,needs_review_pool_count,"露天/内風呂 표현이 표면별로 다르므로 room detail 확인 필요.",https://hakonekanaya.com/ ; https://www.hakone.or.jp/4872 ; https://www.ikyu.com/00002486/
