kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_bath_or_facility_signals,verification_status,source_basis,official_url,google_maps_url,primary_review_or_ota_url,secondary_url,global_url,naver_search_url,visible_review_pool_google,visible_review_pool_primary,visible_review_pool_global,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
accommodation,51,atami-kaihourou,ATAMI 海峯楼,ATAMI Kaihourou,atami,静岡県,luxury ryokan,"소형 초고급 숙소, 객실탕/온천 세부 확인 후보",needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,52,atami-karaku,熱海・伊豆山 佳ら久,Atami Izusan Karaku,atami,静岡県,luxury ryokan,"객실 노천탕 인기 고급숙, 리뷰풀 큼",needs_official_crosscheck,Ikkyu Atami room-open-air list,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,53,atami-new-tomiyoshi,味と湯の宿 ニューとみよし,New Tomiyoshi,atami,静岡県,seaside ryokan,객실 노천탕 많은 대중형 후보,needs_official_crosscheck,MyBest Atami room-open-air ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,54,atami-pearl-star,熱海パールスターホテル,Atami Pearl Star Hotel,atami,静岡県,luxury hotel,전실 오션뷰·객실탕/온천 후보,needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,55,atami-sekaie,ATAMI せかいえ,ATAMI Sekaie,atami,静岡県,luxury ryokan,바다 전망 객실 노천탕 후보,needs_official_crosscheck,Rakuten/YuKoyuko top area seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,56,atami-sekitei,あたみ石亭,Atami Sekitei,atami,静岡県,luxury ryokan,"노포 고급 료칸, 객실탕/대욕장 후보",needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,57,atami-soki,SOKI ATAMI,SOKI Atami,atami,静岡県,modern ryokan,"현대형 온천 숙소, 객실탕/대욕장 후보",needs_official_crosscheck,Atami luxury/new lodging exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,58,atami-watei-kazekomichi,WA亭 風こみち,Watei Kazekomichi,atami,静岡県,small luxury ryokan,"객실 노천탕 후보, 소형 고급숙",needs_official_crosscheck,Atami room-open-air exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,59,ito-akazawa-geihinkan,赤沢迎賓館,Akazawa Geihinkan,ito-izu,静岡県,luxury ryokan,"이즈고원 고급 숙소, 객실탕/대욕장 후보",needs_official_crosscheck,Ikkyu Izu Kogen room-open-air page,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,60,ito-atagawa-suiko,伊豆リトリート 熱川粋光 by 温故知新,Izu Retreat Atagawa Suiko,ito-izu,静岡県,luxury ryokan,"자가원천·정원형 고급숙, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu Izu room-open-air ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,61,ito-fugetsumuhen,御宿 風月無辺,Fugaku Muhen / Fugetsu Muhen,ito-izu,静岡県,luxury ryokan,"전실 자가원천 노천풍로, 바다 조망 후보",needs_official_crosscheck,Rakuten Izu luxury room-open-air article,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,62,ito-futarikomorebi,ホテルふたり木もれ陽,Hotel Futari Komorebi,ito-izu,静岡県,luxury hotel,"이토 고평점 온천 숙소, 객실탕 후보",needs_official_crosscheck,Ikkyu nationwide onsen ranking snippet,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,63,ito-gensen-tsuki,伊東温泉 源泉と離れのお宿 月,Gensen to Hanare no Oyado Tsuki,ito-izu,静岡県,detached ryokan,"전 9동 오션뷰 노천풍로離れ, Rakuten 1300건급 리뷰풀",needs_official_crosscheck,Rakuten Ito lodging and room-open-air pages,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,64,ito-il-azzurri,il azzurri,Il Azzurri,ito-izu,静岡県,seaside hotel,"이즈 객실 노천탕 랭킹 노출, 바다 전망 후보",needs_official_crosscheck,Ikkyu Izu room-open-air ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
