kind,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_tier,candidate_status,status_basis,official_or_product_fact_seen,visible_review_pool_observation,direct_read_review_count,onsen_related_direct_review_count,review_access_note,source_urls,source_master,verification_file
facility,spa-herbs,美楽温泉 SPA-HERBS,미라쿠온천 SPA-HERBS,saitama-metro,埼玉県,wellness_spa,Tier 1,ready,verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式でさいたま市の温泉スパ/岩盤浴系施設として確認 | visible_review_pool_observation: Nifty/4travel/Sauna-ikitai surfaces exist | notes: wellness_spa。温泉・サウナ・岩盤浴・食事/休憩・混雑を別 signal 로 처리,公式でさいたま市の温泉スパ/岩盤浴系施設として確認,Nifty/4travel/Sauna-ikitai surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://spa-herbs.jp/ ; https://onsen.nifty.com/saitamashi-onsen/onsen012278/ ; https://4travel.jp/dm_shisetsu/11613452 ; https://sauna-ikitai.com/saunas/1469/posts,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,ryusenji-soka-yatsuka,竜泉寺の湯 草加谷塚店,류센지노유 소카야쓰카점,saitama-metro,埼玉県,wellness_spa,Tier 1,ready,verification_result: official_and_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式でスーパー銭湯/温浴施設として確認 | visible_review_pool_observation: Nifty/Jalan/Yahoo Map surfaces exist | notes: 大都市近郊の混雑/サウナ/岩盤浴/炭酸泉評価を温泉感と分ける,公式でスーパー銭湯/温浴施設として確認,Nifty/Jalan/Yahoo Map surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://ryusenjinoyu.com/souka/ ; https://onsen.nifty.com/souka-onsen/onsen012366/ ; https://www.jalan.net/kankou/spt_guide000000188667/kuchikomi/ ; https://map.yahoo.co.jp/v3/place/TBcLbbNJPYc/review,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,kumagaya-hanayuspa,熊谷天然温泉 花湯スパリゾート,구마가야 하나유 스파리조트,saitama-metro,埼玉県,large_day_use_complex,Tier 1,ready,verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式で大型日帰り温泉/スパリゾートとして確認 | visible_review_pool_observation: Jalan/Nifty/Sauna-ikitai review surfaces exist | notes: 首都圏大型スパ。温泉泉質より施設充実/岩盤浴/混雑/価格価値が主信号になりやすい,公式で大型日帰り温泉/スパリゾートとして確認,Jalan/Nifty/Sauna-ikitai review surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://hanayuspa.jp/ ; https://www.jalan.net/kankou/spt_guide000000205778/kuchikomi/ ; https://onsen.nifty.com/kumagaya-onsen/onsen012480/kuchikomi/ ; https://sauna-ikitai.com/saunas/4583/posts,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,sugito-utano-yu,杉戸天然温泉 雅楽の湯,스기토 우타노유,saitama-metro,埼玉県,large_day_use_complex,Tier 1,ready,verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式で天然温泉日帰り施設として確認 | visible_review_pool_observation: Nifty/Jalan/Sauna-ikitai surfaces exist | notes: 首都圏日帰り温泉上位候補。源泉感/食事/庭園露天/混雑を 분리,公式で天然温泉日帰り施設として確認,Nifty/Jalan/Sauna-ikitai surfaces exist,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://utanoyu.com/ ; https://onsen.nifty.com/kuki-onsen/onsen010231/kuchikomi/ ; https://www.jalan.net/kankou/spt_guide000000179861/kuchikomi/ ; https://sauna-ikitai.com/saunas/1413/posts,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_02_complete_v0_1_2026-07-03.csv
facility,ryogoku-edoyu,両国湯屋江戸遊,료고쿠 유야 에도유,tokyo-metro,東京都,wellness_spa,Tier 1,ready,"verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式で大浴場・岩盤浴・サウナ・休憩/エステを備える都市型湯屋として確認 | visible_review_pool_observation: Nifty/Sauna-ikitai/blog surfaces exist; blog claims Nifty 453 and Asoview 3,146 but needs direct count check | notes: 天然温泉感より都市型スパ/サウナ/岩盤浴/価格価値。温泉施設としては wellness_spa 분류",公式で大浴場・岩盤浴・サウナ・休憩/エステを備える都市型湯屋として確認,"Nifty/Sauna-ikitai/blog surfaces exist; blog claims Nifty 453 and Asoview 3,146 but needs direct count check",0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://www.edoyu.com/ryougoku ; https://onsen.nifty.com/asakusa-onsen/onsen001483/ ; https://sauna-ikitai.com/saunas/1808/posts ; https://otsuka-seiya.com/edoyu-ryogoku-review/,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
facility,tokyo-toyosu-manyoclub,東京豊洲 万葉倶楽部,도쿄 도요스 만요클럽,tokyo-metro,東京都,wellness_spa,Tier 1,ready,verification_result: official_and_multi_review_surface_confirmed | next_status: ready_for_facility_deep_review_pool_count | official_bath_or_product_fact: 公式で24時間営業の日帰り温泉/宿泊/岩盤浴/展望足湯庭園系施設として確認 | visible_review_pool_observation: Jalan shows 92; Rakuten review surface has 2026 review. low-rated review mentions no bath access/crowding possibility | notes: 新しめ大型都市スパ。展望足湯・豊洲観光・料金/混雑/湯船入れない系の運用 신호 확인,公式で24時間営業の日帰り温泉/宿泊/岩盤浴/展望足湯庭園系施設として確認,Jalan shows 92; Rakuten review surface has 2026 review. low-rated review mentions no bath access/crowding possibility,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,https://tokyo-toyosu.manyo.co.jp/ ; https://www.jalan.net/kankou/spt_guide000000224515/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/191560/review.html,nationwide_facility_master_v0_6_2026-07-03.csv,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
facility,tsukuba-kirari,つくば温泉 喜楽里 別邸,쓰쿠바온천 키라리 벳테이,ibaraki,茨城県,large_day_use_complex,Tier 2,hold,verification_result: not_tier1_verified_in_this_pass | next_status: needs_official_crosscheck | seed_signal: 노천·암반욕·성인형/초등학생 이상 시설,Tier 1 공식/OTA 검증 미완료; seed signal만 보존: 노천·암반욕·성인형/초등학생 이상 시설,review count not locked; candidate-stage seed basis: Nifty Onsen 2025 nationwide ranking,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,hanatyoufugetsu,天然温泉 花鳥風月,천연온천 화조풍월,saitama-metro,埼玉県,large_day_use_complex,Tier 2,hold,"verification_result: not_tier1_verified_in_this_pass | next_status: needs_official_crosscheck | seed_signal: 사이보쿠 내 온천, 노천·식음 결합","Tier 1 공식/OTA 검증 미완료; seed signal만 보존: 사이보쿠 내 온천, 노천·식음 결합",review count not locked; candidate-stage seed basis: Nifty Onsen 2025 nationwide ranking,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,heiwajima-onsen,天然温泉平和島,천연온천 헤이와지마,tokyo-metro,東京都,wellness_spa,Tier 2,hold,"verification_result: not_tier1_verified_in_this_pass | next_status: needs_official_crosscheck | seed_signal: 도심 온천·암반욕·로우류, 공항/심야 수요 후보","Tier 1 공식/OTA 검증 미완료; seed signal만 보존: 도심 온천·암반욕·로우류, 공항/심야 수요 후보",review count not locked; candidate-stage seed basis: Nifty Onsen 2025 nationwide ranking,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
facility,hitachinaka-kirari,ひたちなか温泉 喜楽里 別邸,히타치나카온천 키라리 벳테이,ibaraki,茨城県,large_day_use_complex,Tier 2,hold,verification_result: not_tier1_verified_in_this_pass | next_status: needs_official_crosscheck | seed_signal: 전원풍경 노천·식음 신호,Tier 1 공식/OTA 검증 미완료; seed signal만 보존: 전원풍경 노천·식음 신호,review count not locked; candidate-stage seed basis: Nifty Onsen 2025 nationwide ranking,0,0,candidate_verification_stage_only; no direct review-body tagging in this pass,,nationwide_facility_master_v0_6_2026-07-03.csv,
