slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status,source_files
spa-herbs,美楽温泉 SPA-HERBS,미라쿠온천 SPA-HERBS,saitama-metro,埼玉県,wellness_spa,Tier 1,"천연온천+암반욕+식음/휴게 복합시설, Nifty 전국 1위",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
ryusenji-soka-yatsuka,竜泉寺の湯 草加谷塚店,류센지노유 소카야쓰카점,saitama-metro,埼玉県,wellness_spa,Tier 1,"천연온천·탄산천·사우나·휴게공간, Nifty 전국 상위",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
yokohama-spa-hills-ryusenji,横濱スパヒルズ 竜泉寺の湯,요코하마 스파힐즈 류센지노유,yokohama,神奈川県,wellness_spa,Tier 1,천연온천·탄산천·사우나·암반욕 복합시설,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
kumagaya-hanayuspa,熊谷天然温泉 花湯スパリゾート,구마가야 하나유 스파리조트,saitama-metro,埼玉県,large_day_use_complex,Tier 1,생원천·정원 노천·암반욕/휴게 신호,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
sugito-utano-yu,杉戸天然温泉 雅楽の湯,스기토 우타노유,saitama-metro,埼玉県,large_day_use_complex,Tier 1,"가온/가수 없는 생원천 내탕, 대노천, 식사 신호",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
shonan-ryusenji,湘南RESORT SPA 竜泉寺の湯,쇼난 리조트 스파 류센지노유,kanagawa-metro,神奈川県,wellness_spa,Tier 1,12종 욕조·천연온천·사우나·암반욕,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
arima-taikounoyu,有馬温泉 太閤の湯,아리마 온천 타이코노유,arima,兵庫県,large_day_use_complex,Tier 1,금천·은천·혼합탕·탄산천·증기탕·사우나,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
yokohama-aoba-kirari,横浜青葉温泉 喜楽里 別邸,요코하마 아오바온천 키라리 벳테이,yokohama,神奈川県,large_day_use_complex,Tier 1,"노천·오토로우류·암반욕, 초등학생 이상 시설",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
mizonokuchi-kirari,溝口温泉 喜楽里,미조노쿠치온천 키라리,kanagawa-metro,神奈川県,public_bath_facility,Tier 1,"탄산수소염천 원천가케나가시, 성인형 시설",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
ryogoku-edoyu,両国湯屋江戸遊,료고쿠 유야 에도유,tokyo-metro,東京都,wellness_spa,Tier 1,도심 사우나·온욕·휴게/워크스페이스 복합,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
yokohama-manyoclub,横浜みなとみらい 万葉倶楽部,요코하마 미나토미라이 만요클럽,yokohama,神奈川県,wellness_spa,Tier 1,"열해/유가와라 원천 운반, 24시간 도시형 온천시설",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
tokyo-toyosu-manyoclub,東京豊洲 万葉倶楽部,도쿄 도요스 만요클럽,tokyo-metro,東京都,wellness_spa,Tier 1,"도요스 관광동선, 유가와라/하코네 원천 운반, 사우나/암반욕",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
manten-no-yu,天然温泉 満天の湯,만텐노유,yokohama,神奈川県,public_bath_facility,Tier 1,"역앞 천연온천+다양한 욕조, 반복 방문형 시설",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
arima-suzurannoyu,有馬街道温泉すずらんの湯,아리마가도온천 스즈란노유,arima,兵庫県,large_day_use_complex,Tier 1,"대형 노천, 원천가케나가시, 허브욕/요모기찜",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
yao-kitanoyu,八尾温泉 喜多の湯,야오온천 기타노유,osaka-metro,大阪府,wellness_spa,Tier 2,탄산탕·수소탕·암반욕·사우나 복합,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
tsukuba-kirari,つくば温泉 喜楽里 別邸,쓰쿠바온천 키라리 벳테이,ibaraki,茨城県,large_day_use_complex,Tier 2,노천·암반욕·성인형/초등학생 이상 시설,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
hanatyoufugetsu,天然温泉 花鳥風月,천연온천 화조풍월,saitama-metro,埼玉県,large_day_use_complex,Tier 2,"사이보쿠 내 온천, 노천·식음 결합",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
heiwajima-onsen,天然温泉平和島,천연온천 헤이와지마,tokyo-metro,東京都,wellness_spa,Tier 2,"도심 온천·암반욕·로우류, 공항/심야 수요 후보",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
miurayu,黒湯天然温泉みうら湯,구로유 천연온천 미우라유,yokohama,神奈川県,public_bath_facility,Tier 2,흑탕·탄산천·사우나·나노수 신호,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
hitachinaka-kirari,ひたちなか温泉 喜楽里 別邸,히타치나카온천 키라리 벳테이,ibaraki,茨城県,large_day_use_complex,Tier 2,전원풍경 노천·식음 신호,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
