slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status
nozawa-grand-hotel,野沢温泉 野沢グランドホテル,Nozawa Grand Hotel,nozawa,長野県,ryokan hotel,Tier 1,전망 노천과 객실 노천탕 후보,Jalan Nagano/Nozawa ranking source,needs_official_crosscheck
nozawa-sakaya,野沢温泉 旅館さかや,Ryokan Sakaya,nozawa,長野県,ryokan,Tier 1,자가원천과 전통 대욕장 후보,regional high-demand source,needs_official_crosscheck
nozawa-kiriya-ryokan,野沢温泉 桐屋旅館,Kiriya Ryokan,nozawa,長野県,ryokan,Tier 2,외탕 순례와 전통 료칸 후보,regional OTA source,needs_source_crosscheck
nozawa-kawamotoya,野沢温泉 河一屋旅館,Kawamotoya,nozawa,長野県,ryokan,Tier 1,객실 노천탕과 외탕 접근성 후보,regional OTA source,needs_official_crosscheck
nozawa-sumiyosiya,野沢温泉 住吉屋,Sumiyosiya,nozawa,長野県,ryokan,Tier 2,역사 료칸과 원천 대욕장 후보,regional OTA source,needs_source_crosscheck
yudanaka-tsubakino,湯田中温泉 ホテル椿野,Hotel Tsubakino,yudanaka-shibu,長野県,ryokan hotel,Tier 1,객실 노천탕과 전망 대욕장 후보,Jalan Nagano keyword source,needs_official_crosscheck
yudanaka-aburaya-tousen,湯田中温泉 あぶらや燈千,Aburaya Tousen,yudanaka-shibu,長野県,ryokan,Tier 1,객실 노천탕과 옥상 노천탕 후보,regional OTA source,needs_official_crosscheck
shibu-kokuya,渋温泉 古久屋,Kokuya,yudanaka-shibu,長野県,ryokan,Tier 1,다원천 내탕과 객실탕 후보,regional high-value source,needs_official_crosscheck
shibu-kanaguya,渋温泉 歴史の宿 金具屋,Kanaguya,yudanaka-shibu,長野県,historic ryokan,Tier 1,역사 건축과 다욕장 온천 후보,regional high-demand source,needs_official_crosscheck
shibu-sakaeya,渋温泉 春蘭の宿さかえや,Sakaeya,yudanaka-shibu,長野県,ryokan,Tier 1,객실 노천탕과 외탕 순례 후보,regional OTA source,needs_official_crosscheck
shibu-ichinoyu-katei,渋温泉 一乃湯 果亭,Ichinoyu Katei,yudanaka-shibu,長野県,ryokan,Tier 2,전통 료칸과 외탕 순례 후보,regional OTA source,needs_source_crosscheck
bessho-nakamatsuya,別所温泉 旅館中松屋,Nakamatsuya,bessho,長野県,ryokan,Tier 1,전망 대욕장과 가족 수요 후보,regional OTA source,needs_source_crosscheck
bessho-nanjo-ryokan,別所温泉 旅館花屋,Ryokan Hanaya,bessho,長野県,historic ryokan,Tier 1,문화재급 목조 료칸과 원천탕 후보,regional high-value source,needs_official_crosscheck
bessho-kashiwaya-honten,別所温泉 かしわや本店,Kashiwaya Honten,bessho,長野県,ryokan,Tier 1,객실 노천탕과 전통 료칸 후보,regional OTA source,needs_official_crosscheck
shirahonet-onsen-awano-yu,白骨温泉 泡の湯,Awanoyu,shirahonet,長野県,ryokan,Tier 1,대형 혼욕 노천과 백탁 온천 신호,regional high-demand source,needs_official_crosscheck
shirahonet-sasaya,白骨温泉 湯元齋藤旅館,Yumoto Saito Ryokan,shirahonet,長野県,ryokan,Tier 1,백탁 원천과 고급 료칸 후보,regional OTA source,needs_official_crosscheck
shirahonet-tsuruya,白骨温泉 白船荘新宅旅館,Shirafuneso Shintaku Ryokan,shirahonet,長野県,ryokan,Tier 2,백탁 대욕장과 산악 온천 후보,regional OTA source,needs_source_crosscheck
echigo-yuzawa-nakaya,越後湯沢温泉 一望千里 御湯宿 中屋,Oyado Nakaya,echigo-yuzawa,新潟県,ryokan,Tier 1,객실 노천탕과 전망 온천 후보,Rakuten Echigo Yuzawa room-open-air source,needs_official_crosscheck
echigo-yuzawa-ryugon,ryugon,ryugon,echigo-yuzawa,新潟県,luxury ryokan,Tier 1,설국 고택형 료칸과 온천 체류 후보,Rakuten Echigo Yuzawa source,needs_official_crosscheck
echigo-yuzawa-quattro,四季Yuzawa QUATTRO,Shiki Yuzawa Quattro,echigo-yuzawa,新潟県,luxury suite ryokan,Tier 1,전실 원천가케나가시 노천과 내탕 후보,Rakuten MyTrip Niigata source,needs_official_crosscheck
echigo-yuzawa-hatago-isen,越後湯澤 HATAGO井仙,HATAGO Isen,echigo-yuzawa,新潟県,ryokan hotel,Tier 1,역앞 온천숙소와 대욕장 후보,regional OTA source,needs_source_crosscheck
echigo-yuzawa-takahan,越後湯沢温泉 雪国の宿 高半,Takahan,echigo-yuzawa,新潟県,historic ryokan,Tier 1,원천가케나가시와 설국 문학성 후보,regional high-demand source,needs_official_crosscheck
tsukioka-kahou,月岡温泉 白玉の湯 華鳳,Kahou,tsukioka,新潟県,luxury ryokan,Tier 1,에메랄드 온천과 대형 고급 대욕장 후보,regional OTA source,needs_official_crosscheck
tsukioka-senkei,月岡温泉 摩周,Mashu,tsukioka,新潟県,ryokan,Tier 1,황화수소계 미인탕과 고급 료칸 후보,regional OTA source,needs_official_crosscheck
tsukioka-seifuen,月岡温泉 ホテル清風苑,Hotel Seifuen,tsukioka,新潟県,ryokan hotel,Tier 2,대형 온천호텔과 가족 수요 후보,regional OTA source,needs_source_crosscheck
tsukioka-hisagoso,月岡温泉 ひさご荘,Hisagoso,tsukioka,新潟県,ryokan,Tier 2,소규모 료칸과 월오카 온천 후보,regional OTA source,needs_source_crosscheck
senami-haginoya,瀬波温泉 瀬波グランドホテル はぎのや,Haginoya,senami,新潟県,ryokan hotel,Tier 1,객실 노천탕 다수와 일본해 해안 온천 후보,Rakuten Kaetsu source,needs_official_crosscheck
senami-taikanso,瀬波温泉 大観荘せなみの湯,Taikanso Senami no Yu,senami,新潟県,large ryokan,Tier 1,일본해 전망 노천탕 후보,regional OTA source,needs_official_crosscheck
senami-seiunsou,瀬波温泉 くつろぎの宿 旅館 静雲荘,Seiunsou,senami,新潟県,ryokan,Tier 1,해변 객실 노천탕 후보,Rakuten Niigata rotsuki source,needs_official_crosscheck
yamashiro-araya-totoan,山代温泉 あらや滔々庵,Araya Totoan,yamashiro,石川県,luxury ryokan,Tier 1,야마시로 대표 고급 료칸과 원천 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck
yamashiro-beniya-mukayu,山代温泉 べにや無何有,Beniya Mukayu,yamashiro,石川県,luxury ryokan,Tier 1,객실 노천탕과 고급 온천 체류 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck
yamashiro-yunokuni-tensyo,山代温泉 ゆのくに天祥,Yunokuni Tensyo,yamashiro,石川県,large ryokan,Tier 1,복수 대욕장과 객실 노천탕 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck
yamashiro-rurikoh,山代温泉 瑠璃光,Rurikoh,yamashiro,石川県,ryokan hotel,Tier 1,대욕장과 노천 객실 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck
yamashiro-hatori,山代温泉 葉渡莉,Hatori,yamashiro,石川県,ryokan,Tier 2,대욕장과 야마시로 온천가 접근성 후보,Ikkyu Yamashiro ranking source,needs_source_crosscheck
yamanaka-kayotei,山中温泉 花紫,Hanamurasaki,yamanaka,石川県,luxury ryokan,Tier 1,계곡 전망 고급 료칸과 객실 노천탕 후보,regional OTA source,needs_official_crosscheck
yamanaka-kissho-yamanaka,山中温泉 吉祥やまなか,Kissho Yamanaka,yamanaka,石川県,ryokan,Tier 1,대욕장과 대절탕 후보,regional OTA source,needs_official_crosscheck
yamanaka-kagari-kisshotei,山中温泉 かがり吉祥亭,Kagari Kisshotei,yamanaka,石川県,ryokan,Tier 1,계곡 노천탕과 가족 수요 후보,regional OTA source,needs_official_crosscheck
yamanaka-ohanami-kyubei,山中温泉 お花見久兵衛,Ohanami Kyubei,yamanaka,石川県,ryokan,Tier 2,대욕장과 노천탕 후보,Ikkyu Hokuriku open-air source,needs_source_crosscheck
wakura-kagaya,和倉温泉 加賀屋,Kagaya,wakura,石川県,luxury ryokan,Tier 1,전국 인지도 높은 대형 고급 온천 료칸 후보,regional high-demand source,needs_official_crosscheck
wakura-niji-to-umi,和倉温泉 虹と海,Niji to Umi,wakura,石川県,ryokan hotel,Tier 1,바다 전망 대욕장과 현대형 료칸 후보,regional OTA source,needs_source_crosscheck
wakura-notoraku,和倉温泉 ホテル海望,Hotel Kaibo,wakura,石川県,ryokan hotel,Tier 2,바다 전망 대욕장 후보,regional OTA source,needs_source_crosscheck
katayamazu-morimoto,片山津温泉 湖畔の宿 森本,Kohan no Yado Morimoto,katayamazu,石川県,ryokan,Tier 1,호수 전망 온천과 객실 후보,Ikkyu Hokuriku open-air source,needs_official_crosscheck
katayamazu-kasuisou,片山津温泉 季がさね,Toki Kasane,katayamazu,石川県,ryokan,Tier 2,시바야마가타 전망 대욕장 후보,regional OTA source,needs_source_crosscheck
unazuki-yamanoi,宇奈月温泉 延楽,Enraku,unazuki,富山県,luxury ryokan,Tier 1,구로베 협곡 전망 노천탕 후보,regional OTA source,needs_official_crosscheck
unazuki-suginoi,宇奈月温泉 やまのは,Yamanoha,unazuki,富山県,ryokan hotel,Tier 1,협곡 전망 대형 온천호텔 후보,regional OTA source,needs_official_crosscheck
unazuki-kurobe-unazukionsen-yamanoi,黒部・宇奈月温泉 桃源,Togen,unazuki,富山県,ryokan,Tier 2,구로베 강변 온천 후보,regional OTA source,needs_source_crosscheck
amaharashi-iso-hanabi,雨晴温泉 磯はなび,Iso Hanabi,amaharashi,富山県,ryokan hotel,Tier 1,바다 전망 노천탕과 도야마만 조망 후보,Ikkyu Hokuriku source,needs_official_crosscheck
misasa-izanro-iwasaki,三朝温泉 依山楼岩崎,Izanro Iwasaki,misasa,鳥取県,ryokan,Tier 1,라듐 온천과 대형 회유식 대욕장 후보,Jalan Chugoku/Shikoku source,needs_official_crosscheck
misasa-mansuirou,三朝温泉 万翆楼,Mansuirou,misasa,鳥取県,ryokan,Tier 1,객실 노천탕과 라듐 온천 후보,regional OTA source,needs_official_crosscheck
