slug,qa_status,grade_verified,direct_review_count,onsen_related_count,platform_count,seed_status,backlog_bucket,reason,next_action
arima-gekkoen-korokan,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-goshobessho,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-goshoboh,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-grand-hotel,ready_for_db,A,402,189,5,seeded_lite,2차 표본 보강,full 표본 기준 미달,"직접 0건, 온천 관련 11건 이상 보강 여부를 확인합니다."
arima-hanamusubi,ready_for_db,A,548,306,5,seeded_lite,3차 상세 signal row 복원,상세 signal row 없음,원천 sample index 또는 숙소별 상세 signal row를 복원한 뒤 full/lite를 다시 판정합니다.
arima-hatago,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-kinzan,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-kosenkaku,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-maruyama,needs_research_reinforcement,D,,,,not_seeded,재조사 필요,manifest/summary/platform_mapping 세트 미완성; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정; bath axis 분리 산출 확인 필요,"manifest, summary, platform mapping, aggregate 세트를 먼저 완성합니다."
arima-okuno-hosomichi,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
arima-shisui,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
kinosaki-kawaguchiya-riverside,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
kinosaki-mikiya,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
kinosaki-nishimuraya-honkan,candidate_only,D,,,,not_seeded,딥리서치 대기,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,"ready 딥리서치 대상 여부를 먼저 결정하고, 직접 본문 300건 목표로 조사합니다."
kinosaki-nishimuraya-shogetsutei,ready_for_db,A,321,184,7,seeded_lite,2차 표본 보강,full 표본 기준 미달,"직접 0건, 온천 관련 16건 이상 보강 여부를 확인합니다."
