sample_id,platform,review_date,rating,source_url,language,author_hash,lodging_context,onsen_related,bath_area_tags,signal_tags,caution_tags,original_keywords,paraphrase_ko,source_access,included_in_lodging_direct_count,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
kounokura-0001,Jalan,2026/6/2,,https://www.jalan.net/yad362472/kuchikomi/,ja,580e0792f559,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,public_bath;room_open_air_bath,booking_confusion;onsen_related;public_bath_hot_spring;room_bath_hot_spring,,温泉;露天風呂;露天;風呂;大浴場;貸し切り;部屋の露天;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0002,Jalan,2026/5/26,,https://www.jalan.net/yad362472/kuchikomi/,ja,9e44d3d8c0cd,【早割21】1000円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,,露天;部屋に露天;予約;アクセス,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0003,Jalan,2026/5/23,,https://www.jalan.net/yad362472/kuchikomi/,ja,c7ff91032790,【早割14】1000円OFF☆早期予約特典付きプラン！ 和室 朝・夕,false,unclear,booking_confusion,,予約,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0004,Jalan,2026/4/22,,https://www.jalan.net/yad362472/kuchikomi/,ja,44b74eda1025,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,public_bath;room_open_air_bath,booking_confusion;onsen_related;public_bath_hot_spring;room_bath_hot_spring,temperature,露天風呂;露天;風呂;大浴場;寒;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,body_negative_with_context,high,issue_caution_calibration_needed
kounokura-0005,Jalan,2026/4/15,,https://www.jalan.net/yad362472/kuchikomi/,ja,3e80e7f21bed,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,,温泉;露天風呂;露天;風呂;部屋付き露天;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0006,Jalan,2026/4/8,,https://www.jalan.net/yad362472/kuchikomi/,ja,6d142142dd84,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,,露天風呂;露天;風呂;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0007,Jalan,2026/3/21,,https://www.jalan.net/yad362472/kuchikomi/,ja,cc95365c7b9d,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,room_bath,booking_confusion;onsen_related;room_bath_hot_spring,,風呂;部屋風呂;予約,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0008,Jalan,2026/3/15,,https://www.jalan.net/yad362472/kuchikomi/,ja,ab1fb151e4d5,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,false,unclear,booking_confusion,,予約,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0009,Jalan,2026/2/17,,https://www.jalan.net/yad362472/kuchikomi/,ja,219a05a4c66f,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,false,unclear,booking_confusion,temperature,寒;予約,온도·동선·청결 등 운영상 주의 신호가 포함된 후기.,direct_readable,true,mixed,body_negative_with_context,high,issue_caution_calibration_needed
kounokura-0010,Jalan,2025/12/16,,https://www.jalan.net/yad362472/kuchikomi/,ja,5f47b72d5244,一度は泊まりたい美食の宿♪あこがれの温泉露天風呂付客室プラン♪ 和室 朝・夕,true,public_bath;room_open_air_bath,onsen_related;public_bath_hot_spring;room_bath_hot_spring;water_texture,temperature,温泉;露天風呂;露天;風呂;大浴場;湯;肌;寒;暑,객실 노천탕과 온천 수질·피부감 언급이 함께 나타난 후기.,direct_readable,true,mixed,body_negative_with_context,high,issue_caution_calibration_needed
kounokura-0011,Jalan,2025/12/11,,https://www.jalan.net/yad362472/kuchikomi/,ja,596c7cb6a193,一度は泊まりたい美食の宿♪あこがれの温泉露天風呂付客室プラン♪ 和室 朝・夕,true,room_open_air_bath,onsen_related;room_bath_hot_spring,,温泉;露天風呂;露天;風呂;送迎,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
kounokura-0012,Jalan,2025/11/19,,https://www.jalan.net/yad362472/kuchikomi/,ja,604f2ec8bdc9,【早割21】1500円OFF☆早期予約特典付きプラン！ 和洋室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,,露天風呂;露天;風呂;湯;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0013,Jalan,2025/11/16,,https://www.jalan.net/yad362472/kuchikomi/,ja,6749b9173354,一度は泊まりたい美食の宿♪あこがれの温泉露天風呂付客室プラン♪ 和室 朝・夕,true,room_open_air_bath,onsen_related;room_bath_hot_spring;water_texture,temperature,温泉;露天風呂;露天;風呂;肌;部屋の露天;温度;寒;ちょうど良,객실 노천탕과 온천 수질·피부감 언급이 함께 나타난 후기.,direct_readable,true,mixed,body_negative_with_context,high,issue_caution_calibration_needed
kounokura-0014,Jalan,2025/11/4,,https://www.jalan.net/yad362472/kuchikomi/,ja,30b3e1cac050,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,false,unclear,booking_confusion,,予約,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0015,Jalan,2025/11/1,,https://www.jalan.net/yad362472/kuchikomi/,ja,b38eb3082bca,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,facility_wide,booking_confusion;onsen_related,,温泉;予約,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0016,Jalan,2025/10/26,,https://www.jalan.net/yad362472/kuchikomi/,ja,0b8f2e607cfa,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,facility_wide,booking_confusion;onsen_related,,湯;予約;送迎,송영·위치·예약 동선을 함께 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
kounokura-0017,Jalan,2025/10/20,,https://www.jalan.net/yad362472/kuchikomi/,ja,738612580cd8,【早割21】1500円OFF☆早期予約特典付きプラン！ 和室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,temperature,露天風呂;露天;風呂;お風呂;ちょうど良;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
kounokura-0018,Jalan,2025/10/6,,https://www.jalan.net/yad362472/kuchikomi/,ja,2ee310114c82,一度は泊まりたい美食の宿♪あこがれの温泉露天風呂付客室プラン♪ 和室 朝・夕,true,room_open_air_bath,booking_confusion;onsen_related;room_bath_hot_spring,,温泉;露天風呂;露天;風呂;湯;予約,객실 노천탕을 숙박 경험의 핵심 장점으로 언급한 후기.,direct_readable,true,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
